© 2000-2025 QIAGEN. All rights reserved.

Upstream Regulators	Doxo14 vs Cycling0	Doxo21 vs Cycling0	Doxo14 vs Doxo3	Doxo21 vs Doxo3	Palbo14 vs Cycling0	Palbo28 vs Cycling0	Palbo14 vs Palbo3	Palbo28 vs Palbo3
CASP8	1.177	1.177	1.177	1.177	1.177	1.177	1.177	1.177
genistein	-0.864	-0.864	-1.253	-1.203	-0.864	-0.864	-1.805	-1.577
mir-1 (includes others)	-1.131	-1.131	-1.131	-1.131	-1.131	-1.131	-1.131	-1.131
pirinixic acid	-1.279	-1.279	N/A	-1.886	-1.279	-1.279	N/A	-1.886
adenosine triphosphate	1.268	1.268	N/A	1.268	1.268	1.268	1.268	1.268
ITGB1	1.268	1.268	N/A	1.268	1.268	1.268	1.268	1.268
palmitic acid	1.248	1.248	1.248	N/A	1.248	1.248	1.248	1.248
retinol	1.091	1.091	1.091	1.091	1.091	1.091	1.091	1.091
PARP1	1.242	1.242	N/A	1.242	1.242	1.242	1.242	1.242
PDGF-BB	1.121	1.121	0.845	1.121	1.121	1.121	1.121	1.121
ELANE	1.24	1.24	N/A	1.24	1.24	1.24	1.24	1.24
BCL2	1.076	1.076	1.076	1.076	1.076	1.076	1.076	1.076
CIAP	-1.067	-1.067	-1.067	-1.067	-1.067	-1.067	-1.067	-1.067
trichostatin A	-0.894	-0.646	-1.229	-1.437	-1.362	-0.894	-1.149	-0.894
dexamethasone	-0.881	-0.654	-1.843	-1.274	-0.535	-0.881	-1.49	-0.926
BMP4	-1.526	-1.526	N/A	N/A	-1.526	-1.526	-1.153	-1.153
rosiglitazone	-1.677	-0.728	N/A	-1.677	-1.677	-1.677	0.485	-0.152
TAB1	-1.153	-1.153	-1.153	-1.153	-1.153	-1.153	-1.153	N/A
medroxyprogesterone acetate	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
CYLD-AS1	2.0	2.0	N/A	N/A	2.0	2.0	N/A	N/A
RHOA	2.0	2.0	N/A	N/A	2.0	2.0	N/A	N/A
dopamine	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
IL13	1.265	1.265	0.483	0.459	1.265	1.265	0.995	0.995
methamphetamine	1.432	1.432	N/A	1.131	1.432	1.432	N/A	1.131
RBPJ	-0.816	-0.816	-1.0	-1.0	-0.816	-0.816	-1.342	-1.342
SLC15A4	1.982	1.982	N/A	N/A	1.982	1.982	N/A	N/A
oleic acid	-1.132	-1.132	N/A	-1.132	-1.132	-1.132	-1.132	-1.132
prostaglandin D2	1.957	1.957	N/A	N/A	1.957	1.957	N/A	N/A
quercetin	-1.117	-1.117	N/A	-1.117	-1.117	-1.117	-1.117	-1.117
SIRT1	-1.952	-1.952	N/A	N/A	-1.952	-1.952	N/A	N/A
TWIST1	1.114	1.114	N/A	1.114	1.114	1.114	1.114	1.114
TAFAZZIN	1.4	1.4	N/A	N/A	1.4	1.4	1.091	1.091
indomethacin	-1.105	-1.105	-1.105	N/A	-1.105	-1.105	-1.105	-1.105
TNFRSF1A	0.994	0.994	0.699	0.994	0.994	0.994	0.994	0.994
IL17RA	0.943	0.943	0.943	0.943	0.943	0.943	0.943	0.943
SPP1	0.932	0.932	0.932	0.932	0.932	0.932	0.932	0.932
CEBPA	1.387	1.387	N/A	N/A	1.067	1.387	1.067	1.067
MMP9	0.896	0.896	1.067	0.896	0.896	0.896	0.896	0.896
TRIM28	-0.864	-0.864	-0.864	-1.268	-0.864	-0.864	-0.864	-0.864
PTGER2	0.911	0.911	0.911	0.911	0.911	0.911	0.911	0.911
thapsigargin	1.034	1.034	N/A	1.034	1.034	1.034	1.034	1.034
IRF3	0.958	0.958	0.52	0.958	0.958	0.958	0.958	0.958
CXCL12	1.0	1.0	0.577	0.577	1.0	1.0	1.0	1.0
interferon alpha	1.109	1.109	0.254	0.808	1.109	1.109	0.808	0.808
N-(3-oxododecanoyl)-homoserine lactone	-0.887	-0.887	-0.887	-0.887	-0.887	-0.887	-0.887	-0.887
AHR	1.147	1.147	0.881	0.588	0.391	1.147	0.881	0.881
WNT3A	1.176	1.176	N/A	N/A	1.176	1.176	1.176	1.176
GSK3B	0.882	0.882	0.882	0.882	0.882	0.882	0.882	0.882
STAT6	1.0	1.0	N/A	1.0	1.0	1.0	1.0	1.0
PGR	1.0	1.0	N/A	1.0	1.0	1.0	1.0	1.0
tamoxifen	1.117	1.117	N/A	N/A	1.117	1.117	1.117	1.117
IL17F	0.821	0.821	0.821	0.821	0.821	0.821	0.821	0.821
carbonyl cyanide m-chlorophenyl hydrazone	0.927	0.927	0.927	N/A	0.927	0.927	0.927	0.927
NFKBIA	1.025	1.025	0.0	0.319	1.025	1.025	1.025	1.025
PRDM1	-0.625	-0.625	-0.625	-0.625	-1.103	-0.625	-1.103	-1.103
TGF beta	-0.832	-0.832	-0.547	-0.832	-0.832	-0.832	-0.832	-0.832
resveratrol	-0.676	-0.676	N/A	-1.402	-0.676	-0.676	-1.232	-0.993
JAG2	-0.651	-0.651	-1.131	-1.131	-0.651	-0.651	-0.651	-0.651
decitabine	0.946	1.23	N/A	1.103	0.447	0.946	N/A	1.406
SMAD4	-1.009	-1.009	N/A	N/A	-1.009	-1.009	-1.009	-1.009
wortmannin	-0.862	-0.862	N/A	-0.862	-0.862	-0.862	-0.862	-0.862
NFE2L2	-0.895	-0.895	-0.117	-0.541	-0.895	-0.895	-0.895	-0.895
aflatoxin B1	2.0	2.0	N/A	N/A	N/A	2.0	N/A	N/A
OGA	-1.0	-1.0	N/A	-1.0	-1.0	-1.0	N/A	-1.0
molybdenum disulfide	1.0	1.0	1.0	1.0	N/A	1.0	1.0	N/A
ADIPOQ	1.08	1.08	0.221	0.746	1.08	1.08	0.044	0.657
CDKN1A	-0.692	-0.692	-0.692	-0.692	-0.692	-0.692	-0.896	-0.896
alpha catenin	N/A	-1.98	N/A	N/A	N/A	N/A	-1.98	-1.98
ATF4	N/A	1.929	N/A	N/A	N/A	N/A	1.929	1.929
FOSL1	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.71
AR	0.6	0.6	N/A	1.091	0.6	0.6	1.091	1.091
EML4-ALK	1.131	1.131	N/A	N/A	N/A	1.131	1.131	1.131
NFAT5	-0.895	-0.895	-0.2	-0.92	-0.895	-0.895	-0.397	-0.397
cycloheximide	0.749	0.423	1.442	1.269	0.465	0.749	-0.163	0.136
deferoxamine	0.626	0.962	N/A	0.626	0.626	0.626	0.962	0.962
docosahexaenoic acid	-0.763	-0.763	N/A	-0.763	-0.763	-0.763	-0.763	-0.763
IL10RA	-1.067	-1.067	N/A	N/A	-1.067	-1.067	-1.067	N/A
FUS-DDIT3	1.067	1.067	N/A	N/A	N/A	1.067	1.067	1.067
CD44	0.756	0.756	N/A	0.756	0.756	0.756	0.756	0.756
IGF1	0.817	1.053	N/A	-0.136	0.817	0.817	0.747	0.747
SOCS1	-0.728	-0.728	N/A	-0.728	-0.728	-0.728	-0.728	-0.728
VDR	-0.849	-0.849	N/A	N/A	-0.849	-0.849	-0.849	-0.849
fenofibrate	-1.268	-1.268	N/A	N/A	-1.268	-1.268	N/A	N/A
STK40	-1.257	-1.257	N/A	N/A	-1.257	-1.257	N/A	N/A
beta-estradiol	0.69	0.847	0.213	0.273	0.938	0.69	0.763	0.525
RXRA	-1.232	-1.232	N/A	N/A	-1.232	-1.232	N/A	N/A
SMAD3	-0.808	-0.808	N/A	N/A	-0.808	-0.808	-0.808	-0.808
NR3C2	0.686	0.686	N/A	0.686	0.686	0.686	0.686	0.686
IL27	0.84	0.84	0.042	0.84	0.84	0.84	-0.081	0.428
NFKB2	0.647	0.647	N/A	N/A	0.647	0.647	1.069	1.069
MAP3K7	0.583	0.583	0.121	0.583	0.583	0.583	0.583	1.006
RAS	1.131	1.131	N/A	N/A	1.131	1.131	N/A	N/A
baicalein	-1.131	-1.131	N/A	-1.131	N/A	-1.131	N/A	N/A
Immunoglobulin	-0.415	-0.415	-1.351	-1.219	-0.415	-0.415	-0.138	0.15
methotrexate	-0.686	-0.686	0.168	-1.055	-0.686	-0.686	-0.06	-0.39
GW9662	0.882	0.882	N/A	0.882	0.882	0.882	N/A	N/A
IRF2	0.862	0.862	N/A	0.862	0.862	0.862	N/A	N/A
taurodeoxycholic acid	0.594	0.594	N/A	0.594	0.594	0.594	0.594	0.594
tunicamycin	0.549	0.549	N/A	N/A	0.549	0.549	0.906	0.906
ALOX5	1.0	1.0	1.0	N/A	N/A	1.0	N/A	N/A
ILF3	-1.0	-1.0	N/A	N/A	-1.0	-1.0	N/A	N/A
chloroquine	-0.566	-0.566	N/A	-0.566	-0.566	-0.566	-0.566	-0.566
IL25	0.481	0.481	0.481	0.481	0.481	0.481	0.481	0.481
VCAN	0.9	0.9	N/A	N/A	0.9	0.9	N/A	N/A
F7	0.394	0.394	1.077	0.394	0.1	0.394	0.394	0.394
estrogen receptor	0.371	0.371	0.371	0.943	0.371	0.371	0.371	0.371
LIF	0.577	0.577	N/A	N/A	0.577	0.577	0.577	0.577
THRB	0.283	0.651	0.283	0.283	0.283	0.283	0.651	0.651
glutamine	N/A	-1.109	N/A	N/A	N/A	N/A	-1.109	-1.109
HRAS	1.103	1.103	N/A	N/A	N/A	1.103	N/A	N/A
bexarotene	-0.555	-0.555	N/A	-1.067	-0.555	-0.555	N/A	N/A
8-bromo-cAMP	0.447	0.447	0.0	0.0	1.0	0.447	0.447	0.447
RELB	-0.784	-0.784	N/A	N/A	-0.784	-0.784	N/A	N/A
TGFB1	0.121	0.014	1.715	0.342	0.121	0.121	0.395	0.171
TGFBR2	N/A	-1.0	N/A	N/A	N/A	N/A	-1.0	-1.0
BMPR2	0.469	0.469	N/A	N/A	0.469	0.469	0.469	0.469
KLF4	-0.469	-0.469	N/A	-0.469	N/A	-0.469	-0.469	-0.469
melatonin	-0.287	-0.287	N/A	-1.053	-0.287	-0.287	-0.287	-0.287
EP300	0.391	0.391	0.391	N/A	0.391	0.391	0.391	0.391
SERPINE2	-0.339	-0.339	-0.339	-0.339	-0.339	-0.339	-0.339	-0.339
TERT	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333
BMP2	-0.66	-0.66	N/A	N/A	-0.66	-0.66	N/A	N/A
NCOA2	-0.277	-0.277	N/A	N/A	-0.277	-0.277	-0.762	-0.762
progesterone	0.402	0.402	-0.026	-0.563	0.402	0.402	0.402	0.026
butyric acid	-0.337	-0.337	-0.059	-0.337	-0.767	-0.337	-0.367	-0.059
spermine	N/A	-0.849	N/A	N/A	N/A	N/A	-0.849	-0.849
F3	0.351	0.351	N/A	0.351	0.351	0.351	0.351	0.351
ESR1	-0.247	-0.247	0.103	0.103	-0.247	-0.247	-0.614	-0.614
EHF	0.298	0.298	0.298	0.298	0.298	0.298	0.298	0.298
hyaluronic acid	0.332	0.332	N/A	0.332	0.332	0.332	0.332	0.332
IgG	-0.176	-0.176	-0.907	-0.176	0.22	-0.176	-0.176	-0.176
dimethyl sulfoxide	0.339	0.339	N/A	N/A	0.339	0.339	0.339	0.339
dihydrotestosterone	0.064	0.577	N/A	0.064	0.064	0.064	0.577	0.577
methylprednisolone	0.083	0.083	N/A	-0.479	0.083	0.083	-0.479	-0.479
calcitriol	-0.206	-0.206	-0.229	-0.229	-0.206	-0.206	-0.229	-0.229
WNT5A	-0.32	-0.32	0.08	0.009	0.009	-0.32	-0.32	-0.32
FABP5	0.277	0.277	0.277	0.277	N/A	0.277	N/A	0.277
NLRX1	0.225	0.225	0.225	0.225	N/A	0.225	0.225	0.225
HSP70	0.208	0.208	N/A	0.208	0.208	0.208	0.208	0.208
Scd1	N/A	-1.4	N/A	N/A	N/A	N/A	N/A	N/A
HNF4A	-0.063	-0.063	N/A	0.339	-0.063	-0.063	-0.747	N/A
RNF31	0.152	0.152	0.152	0.152	0.152	0.152	0.152	0.152
testosterone	-0.294	-0.294	N/A	N/A	-0.294	-0.294	N/A	N/A
TP53	0.2	-0.022	0.48	0.144	-0.024	0.2	-0.025	-0.025
bortezomib	0.152	0.152	N/A	0.152	0.152	0.152	0.152	0.152
LRP5	-0.213	-0.213	N/A	N/A	-0.213	-0.213	N/A	N/A
PTEN	0.162	-0.169	N/A	N/A	0.162	0.162	-0.073	-0.073
mifepristone	0.0	0.0	0.686	N/A	0.0	0.0	0.0	0.0
ciglitazone	N/A	-0.218	N/A	N/A	N/A	N/A	-0.218	-0.218
CYBB	0.152	0.152	N/A	N/A	0.152	0.152	N/A	N/A
streptozocin	N/A	0.152	N/A	N/A	N/A	N/A	0.152	0.152
CDKN2A	-0.152	-0.152	N/A	N/A	N/A	-0.152	N/A	N/A
KDM7A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CCNC	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
beryllium hydroxide	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BTK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PPIF	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
nafenopin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
caffeic acid	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HHEX	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CD80/CD86	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SPNS2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FKHR	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
moringa isothiocyanate-1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ZNF580	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL36B	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
4-octyl itaconate	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
OLR1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
WP1066	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
asoprisnil	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
17S-hydroperoxy-docosahexaenoic acid	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
I-BOP	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Fcgr3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PDK4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BMS-345541	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FGFR1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CLEC11A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
fosfomycin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SCH79797	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GRP	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
miR-181a-2-3p (and other miRNAs w/seed CCACUGA)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SLC2A1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
mir-127	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
4,5,6,7-tetrabromo-2-azabenzamidazole	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TIMP3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
sphingosine-1-phosphate	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
aldose reductase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TRPC3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CD74	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
benzoic acid	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PRKAA2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RASGRP1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ARG1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
mir-126 (includes others)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CREB1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SERPINC1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PIP5K1B	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PTHLH	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
AZD4547	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IFNLR1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MCU	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
THBD	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TSC22D3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MDM2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ADAMTS9-AS2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CKS1B	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
kutkin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
thymidine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MAP2K3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
OLFM4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TSC22D1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BTC	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LH	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
butaprost	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
DNM1L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TPT1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
oleandrin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Clec4a2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
dai-kenchu-to	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
alloxan	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
cerivastatin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
cytidylyl-3'-5'-guanosine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LGALS7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CSTB	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NOX1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
miR-144-3p (miRNAs w/seed ACAGUAU)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PML-RARA	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GPNMB	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Sox2ot	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LAMA5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF-4457845	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LY96	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
batatasin I	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
DASA-58	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
wood smoke particle	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ODN-BW006	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MAP3K5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
as605240	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NTRK2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
3-aminotriazole	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
tyrphostin AG 127	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CSNK1D	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FOXM1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
mir-124 (includes others)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TAK 733	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
benzo(a)pyrene	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PGF	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
dicarbethoxydihydrocollidine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
topiramate	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
prostaglandin J2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ABCD1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LPL	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RUNX1:CBFB:CREBBP:CSF2 gene	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
WWOX	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
UBAC2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
pomalidomide	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GNPAT	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SD-282	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
oridonin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ssRNA40	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Dux	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RORA	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
imiquimod	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FABP3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PTPN2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
poly(U)RNA	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
irsogladine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL17RB	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
isoliquiritigenin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CACTIN	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PTPN22	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
parthenolide	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MCC950	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TNFRSF9	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
trastuzumab	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
monensin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
fatty acid	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HSPA1B	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ORC2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abcb1a	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
vaccenic acid	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BRD2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1-palmitoyl-2-arachidonyl-sn-glycero-3-phosphorylcholine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PRL	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FNDC1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NPPA	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
miR-181a-5p (and other miRNAs w/seed ACAUUCA)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Saa1/Saa2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PXDN	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
montelukast	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NAAA	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
APPL1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CD3 (family)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ADRA1A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BARX2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
arsenic	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
M344	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Ro3582	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
mir-25 (includes others)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
EGLN1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
glaucocalyxin A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
vincristine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
daunorubicin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
H3C14	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FTO	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CAY10397	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HSPA5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
lamivudine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
enoxaparin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LIPG	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CLEC7A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ODN-A151	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ISG15	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CD28	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HABP2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MAPK10	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
alpha-methylparatyrosine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
EIF2AK1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Trolox C	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CEACAM1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
miR-382-5p (miRNAs w/seed AAGUUGU)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
lintitript	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
AP1 (family)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RPS3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LTB	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
polaprezinc	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ezetimibe	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CCN6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
miR-338-3p (miRNAs w/seed CCAGCAU)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TAC4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
elovanoid N32	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MAPK13	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CDK5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IgG-opsonized ovalbumin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NFATC2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
beta-sitosterol	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Integrin alpha V beta 3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
mir-135 (includes others)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
17-epiestriol	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
probenecid	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
phosphorylcholine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Complement	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MR-409	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
vigabatrin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
