© 2000-2025 QIAGEN. All rights reserved.

Upstream Regulators	Doxo14 vs Cycling0	Doxo21 vs Cycling0	Doxo14 vs Doxo3	Doxo21 vs Doxo3	Palbo14 vs Cycling0	Palbo28 vs Cycling0	Palbo14 vs Palbo3	Palbo28 vs Palbo3
TAFAZZIN	-1.284	-1.673	-0.436	-0.174	2.612	2.188	2.581	1.787
GNAI3	2.0	N/A	2.0	N/A	2.236	2.236	2.236	2.0
ZNF217	-2.0	-2.0	N/A	N/A	-2.236	-2.236	-2.0	-2.236
IL27	1.265	N/A	1.979	N/A	2.402	2.402	2.402	2.214
D-glucose	-1.547	-1.219	-0.351	0.557	3.426	2.867	2.087	0.584
IKBKB	1.021	-0.096	0.554	0.752	2.514	2.634	2.981	2.054
SIM1	1.342	1.0	1.342	N/A	2.449	2.236	2.0	2.236
ARNT2	1.342	1.0	1.342	N/A	2.449	2.236	2.0	2.236
AGER	1.502	N/A	N/A	2.219	2.431	2.229	2.223	1.997
TNF (family)	1.92	N/A	N/A	1.477	2.547	2.362	2.343	1.92
C3	1.238	N/A	N/A	1.929	2.542	2.353	2.542	1.922
JUN	1.051	0.777	0.527	1.335	2.424	2.054	2.6	1.708
CG	0.302	0.633	0.567	0.599	3.635	2.099	3.063	1.531
TLR3	1.721	N/A	N/A	1.685	2.399	2.399	2.216	1.978
dimethyl n-oxalyl-glycine	0.854	0.863	1.432	N/A	2.164	1.961	2.354	2.739
PTEN	-1.196	-1.912	-2.213	-1.98	-1.882	-1.442	-1.196	-0.538
interferon alpha	1.059	0.73	1.094	1.154	2.415	2.21	2.21	1.483
phorbol esters	1.98	N/A	N/A	1.98	2.213	2.213	1.982	1.982
bisphenol A	2.858	2.111	2.54	N/A	0.318	0.762	1.524	2.226
RNASE2	1.938	N/A	1.948	N/A	2.17	2.17	2.17	1.938
CSF1	0.529	0.064	1.192	1.192	2.625	2.236	2.447	1.998
CREB1	2.177	1.671	1.0	1.964	1.625	1.988	1.772	N/A
IL33	1.408	1.032	1.41	0.963	2.03	1.835	1.979	1.539
FOXA1	-1.671	-1.4	N/A	N/A	-2.414	-2.414	-2.137	-2.137
cytokine	0.879	1.04	1.36	1.269	1.999	2.163	1.947	1.461
LY294002	-0.378	0.309	-0.891	-0.338	-2.921	-2.411	-3.084	-1.743
CAMP	1.399	1.326	1.931	N/A	2.004	2.004	2.004	1.399
RIGI	1.037	0.555	1.165	N/A	2.572	2.382	2.18	2.173
NFAT (family)	1.342	2.0	2.0	2.236	2.236	2.236	N/A	N/A
tetrabromobisphenol A	-2.333	-1.342	-1.342	N/A	3.0	2.236	1.342	0.447
cisplatin	0.218	0.279	0.609	1.23	2.892	2.578	2.784	1.45
NFKBIA	-0.437	-0.897	0.417	0.058	2.944	2.821	2.645	1.79
IGF2BP1	-1.463	-0.896	N/A	N/A	3.0	2.646	2.646	1.342
docosahexaenoic acid	0.196	0.0	-0.662	-1.673	-2.952	-2.782	-2.176	-1.522
TLR7	1.891	N/A	1.967	1.967	2.12	2.12	1.87	N/A
bleomycin	-1.238	-0.464	-0.212	0.786	3.027	2.715	2.114	1.369
CD40	0.473	0.056	N/A	1.962	2.414	2.414	2.396	2.19
