© 2000-2025 QIAGEN. All rights reserved.

Upstream Regulators	Doxo14 vs Cycling0	Doxo21 vs Cycling0	Doxo14 vs Doxo3	Doxo21 vs Doxo3	Palbo14 vs Cycling0	Palbo28 vs Cycling0	Palbo14 vs Palbo3	Palbo28 vs Palbo3
IFNLR1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL31	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
THBD	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MDM2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CTHRC1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
xanthine derivative CB002 analog 4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ADAMTS9-AS2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
kutkin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
thymidine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MAP2K3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
OLFM4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TSC22D1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MC2R	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BTC	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ARL5B	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
scopolamine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
butaprost	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Collagen type II	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TPT1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
oleandrin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Clec4a2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RBM8A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
dai-kenchu-to	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FCMR	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
glycyrrhetinic acid	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
alloxan	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SPRY4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
DPP10-AS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
cytidylyl-3'-5'-guanosine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LGALS7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
nitrite	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SYNCRIP	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
titanium	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
alpha-hydroxyglutarate	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BAHCC1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
dextromethorphan	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LAMA5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BTNL2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CDON	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LY96	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
batatasin I	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BLVRA	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PRNCR1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SASH1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MAP3K5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR 140333	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
as605240	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NTRK2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CAMSAP1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ANGPTL3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
WNT3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GLDC	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1-butanol	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
mir-124 (includes others)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BRAT1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
benzo(a)pyrene	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CPEB4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MME	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
EIF3I	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PGF	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
diethylcarbamazine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
tibolone	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
WWOX	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
UBAC2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GNPAT	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CD24	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
INPP4B	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PDGF receptor tyrosine kinase inhibitor IV	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ssRNA40	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
UHRF1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CDK1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Dux	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HNRNPR	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
AK1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RORA	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cd300ld (includes others)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
imiquimod	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
YTHDC1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
poly(U)RNA	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BMAL2:CLOCK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
irsogladine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL17RB	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BST2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
norgestrel	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SCH772984	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
DMH1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
isoliquiritigenin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SUCO	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CACTIN	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SP4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2-chloro-dATP	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MCC950	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
6-methylsulfinylhexyl isothiocyanate	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
monensin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
L18-muramyl dipeptide	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
fatty acid	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abcb1a	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
VIPAS39	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BRD2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FOXP1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1-palmitoyl-2-arachidonyl-sn-glycero-3-phosphorylcholine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
DEETGE-CAL-Tat	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
niraparib	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cd300e	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NPY5R	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ADAM15	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FNDC1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
neflamapimod	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CpG ODN-B1826	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
diacetyl	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PXDN	N/A	N/A	N/A	N/A	0.0	0.0	0.0	0.0
Saa1/Saa2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
montelukast	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
POLR3G	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HNRNPAB	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
indisulam	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ADRA1A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
dihydrosphingosine 1-phosphate	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
cobalt chloride	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SH3KBP1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HOXC9	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
C-type lectin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PBX2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
mir-25 (includes others)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
fluticasone	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
antide	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
glaucocalyxin A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
vincristine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
DDB2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
bardoxolone methyl	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PRMT2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
quinapril	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SENP2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ELAVL3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TMSB4X	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
V-PYRRO/NO	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CPB2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
miR-96-5p (and other miRNAs w/seed UUGGCAC)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HSPA5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
lamivudine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LIPG	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CLEC7A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
verlukast	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TCF4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ODN-A151	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
clobenpropit	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TYA-018	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HSD11B2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
vinorelbine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CAPN1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MAPK10	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
alpha-methylparatyrosine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
EIF2AK1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Trolox C	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ZC3H11A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PAX5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
JQ1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
miR-382-5p (miRNAs w/seed AAGUUGU)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
dofetilide	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
5A apoA-I mimetic peptide	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
UBXN7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
miR-182-5p (and other miRNAs w/seed UUGGCAA)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FGF19	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
VANGL1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LTB	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ezetimibe	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ITIH2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
benzyl 2-acetamido-2-deoxy-alpha-D-galactopyranoside	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FOXJ1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SWAP70	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TAC4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2,3,4,7,8-pentachlorodibenzofuran	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
amlodipine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
elovanoid N32	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RALGAPA1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ZDHHC1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ethyl pyruvate	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
miR-293-5p (and other miRNAs w/seed CUCAAAC)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MAPK13	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CDK5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IgG-opsonized ovalbumin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
WRN	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
zofenopril	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TAB1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
trehalose	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
probenecid	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Complement	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
amastatin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N-acetylglucosamine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ALDH1A3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
mir-361	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2-(4-acetoxyphenyl)-2-chloro-N-methylethylamine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
repaglinide	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MUC19	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
mefunidone	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
belnacasan	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CDK5R1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PTPN12	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PAF1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TNFRSF12A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
nabumetone	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
fisetin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL36G	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
tropomyosin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Fibrin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RARS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
cyclohexanecarboxylic acid	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MOG	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
miR-660-3p (miRNAs w/seed CCUCCUG)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
EDNRA	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CCDC88A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR1001	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HSPB2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HNRNPA1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
camostat	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
mercaptosteroid 6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL17RD	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ANG	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
E-64c	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
F7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2,4-dinitrophenol	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
AP20187	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MARCHF2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
focal adhesion kinase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SCNN1A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
honokiol	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hemoglobin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
olaparib	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
dextran sulfate	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PYGO2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NFAM1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HOXD13	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
WWP2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
sulindac	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MAFB	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
deoxycorticosterone acetate/potassium chloride/sodium chloride	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NDP	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HNRNPU	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SAR-20347	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
DDOST	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
maraviroc	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Ces2a	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NEDD4L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
WBP2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
nuclear factor 1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
zileuton	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SYT11	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
EFNA1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
perindopril	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TBC1D23	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TACR1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SPON2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
miR-184 (and other miRNAs w/seed GGACGGA)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TGFBR3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
XPO1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
taurine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SHOX2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICOSLG	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ATP2A2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PRF1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CAPN2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PD 123319	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ACTG1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hyaluronidase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PC	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PLIN1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
nickel	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
AEBP1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IGF2R	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ENTPD5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Reg3g	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SHARPIN	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ZNF100	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
serine protease	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N-(3-oxododecanoyl)-homoserine lactone	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ANXA5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PARPBP	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
miR-125b-5p (and other miRNAs w/seed CCCUGAG)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ginsenoside Rb1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TRAF3IP3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ECHS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL17RC	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
betaine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
tazarotene	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CGB3 (includes others)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CTNNAL1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GRL-0617	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ZBTB33	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HAPLN1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
DLG1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CMTM3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Ccr5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CD82	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
citral	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IRX6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
di-2-pyridylketone 4-cyclohexyl-4-methyl-3-thiosemicarbazone	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
abscisic acid	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
KMT5A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
OSCAR	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
pinaverium	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MMP14	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
mir-142 (includes others)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
5-iodo-6-amino-1,2-benzopyrone	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
allicin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CAY10585	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Timd4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BIRC2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
WDR83	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
5-azacytidine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PTPRA	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
tridecanoic acid	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
peroxynitrite	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IH636 grape seed proanthocyanidin extract	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
lestaurtinib	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
tacrine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Pbld1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
reactive oxygen species	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PLAAT4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ADCY	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RYK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
roflumilast N-oxide	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
bisindolylmaleimide iv	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GRM4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BPI	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
calcimycin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PHACTR1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
EGFR ligand	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
albuterol	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HPGDS	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2-methoxy-4-vinylphenol	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
rotenone	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
angelicin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MIR200	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FERMT2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Z-Leu-Leu-Leu-B(OH)2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
J11-Cl	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
10-hydroxy docosahexaenoic acid	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TRIB2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NNMT	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RAPGEF4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TFPI2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MYOD1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IPP-204106N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR1078	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCOR2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
USP17L27 (includes others)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
KDM2B	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
acetate	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
