© 2000-2025 QIAGEN. All rights reserved.

Upstream Regulators	Doxo14 vs Cycling0	Doxo21 vs Cycling0	Doxo14 vs Doxo3	Doxo21 vs Doxo3	Palbo14 vs Cycling0	Palbo28 vs Cycling0	Palbo14 vs Palbo3	Palbo28 vs Palbo3
TBC1D4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ZBTB10	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FGF19	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
H-7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
3-hydroxymorphinan	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MAPK1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
regorafenib	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RBM39	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Snord118	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
AGR2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MAPK12	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TAC4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
amlodipine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
elovanoid N32	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GLIS2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GPR65	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL22RA1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PDGFR	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NR1D2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ritonavir	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MAPK13	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NFATC2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
WRN	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
probenecid	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Havcr1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LIF	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GATA2-AS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2-(4-acetoxyphenyl)-2-chloro-N-methylethylamine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
AQP11	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ADI PEG20	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
arecoline	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RNF168	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
DLX6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHMP1A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TNFRSF12A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL36G	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
toremifene	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
EHF	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IGF2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ATXN7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CCDC88A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FOXP2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
KLF2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PLAT	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
F7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CEP250	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
AP20187	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ursolic acid	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
prostaglandin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
VE-821	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
focal adhesion kinase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LINC00941	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MLKL	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
WTAP	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HIVEP1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FGF23	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HINFP	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NFAM1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PNN	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HSF2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MAFB	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
deoxycorticosterone acetate/potassium chloride/sodium chloride	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HOTAIR	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
lipoarabinomannan	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SU6656	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
EOGT	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NEDD4L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
collagen type i (family)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hyaluronic acid	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
WBP2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SIX5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
nuclear factor 1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
leuprolide	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
EFNA1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
perfluorooctanoic acid	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
miR-1298-5p (and other miRNAs w/seed UCAUUCG)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TGFBR3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
mir-199 (includes others)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SFTPD	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HMGB1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ERCC4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICOSLG	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PSMB11	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CEBPD	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IRGM	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ATP2A2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
glycochenodeoxycholate	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
3M-002	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NTRK1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PC	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MED12	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
3,3'-diindolylmethane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NR4A2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
nickel	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
OXSI-2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
G6PD	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IKBKG	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PITX2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TBX22	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
decursin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ginsenoside Rb1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
EPO	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
INHBA	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HAPLN1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
nimesulide	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CMTM3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
USP11	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IRX6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TFF3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
OSCAR	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MMP14	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
EHD2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
miR-4435 (miRNAs w/seed UGGCCAG)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
5-O-mycolyl-beta-araf-(1->2)-5-O-mycolyl-alpha-araf-(1->1')-glycerol	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
pemetrexed	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
reactive oxygen species	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
dimethylnitrosamine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
calcimycin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PHACTR1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TCF3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
albuterol	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PEAR1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
morin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CDH13	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
AHI1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
osteocalcin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
heat killed Listeria Monocytogenes	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LEFTY2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ATN1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
J11-Cl	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ZNF668	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TFPI2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PKP2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCOR2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ADAM17	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HLX	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CREB	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Prl7d1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
miR-214-3p (and other miRNAs w/seed CAGCAGG)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GATA3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
fluticasone propionate	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
gliquidone	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
sunitinib	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HDAC	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
torkinib	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CCDC50	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
mercuric chloride	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TERF2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
10-hydroxy-cis-12-octadecenoic acid	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
miR-155-5p (miRNAs w/seed UAAUGCU)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
mir-103 (includes others)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PPRC1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ITIH1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RUNX3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
D,L-propargylglycine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
misoprostol	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PFKFB3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TNFSF12	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
mitomycin C	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ANTXR2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GNRH	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL34	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
glycine ethyl ester	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HMGN1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RASSF1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
fluoromethyl 2,2-difluoro-1-(trifluoromethyl)vinyl ether	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BDNF	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FAM177A1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PS-1145	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
DLX3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TIMP1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
DUSP4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MED13L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SGPP1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CAPN3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
tipiracil	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TLR	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
AGMAT	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TAF10	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CITED1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
dehydroxymethylepoxyquinomicin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
interferon beta-1a	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HO-3867 derivative 1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
simvastatin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ALOX5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
D-tubocurarine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
amlexanox	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LRAT	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PDCD4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RAG2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MLX	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
calcium phosphate	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
aristolochic acid I	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ARHGAP21	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
4-tert-octylphenol	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LCOR	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PA2G4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
fulvestrant	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
EIF4EBP2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ADCY7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
UM101	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SOX14	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PLAGL2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PPP3R1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
black raspberry extract	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ionomycin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FCER1G	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCOA6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TWIST1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
AR-A014418	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MITF	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
DUSP1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
YTHDF2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ITGB6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
5-fluorouracil	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
4933425B07Rik	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Ifitm3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1L-6-hydroxymethyl-chiro-inositol 2-(R)-2-O-methyl-3-O-octadecylcarbonate	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SB 239063	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ceefourin-1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
cephaloridine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HOXD3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FUT8	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MST1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NC410	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
bazedoxifene	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ITGA4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
OAT	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
V-9302	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RHOJ	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
EVP 4593	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ACKR3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ADH1B	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RXRB	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL9R	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ILF3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
baclofen	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CSF3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL13RA2/CHI3L1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
plicamycin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
JUND	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
aldosterone	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CCL20	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HSPD1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FZD8	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ELFN1-AS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
COL17A1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LRP8	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TRIM3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CISD1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HOXA1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RASSF5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL27RA	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MGLL	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNOT6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PTPRD	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NUDT21	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
leukotriene D4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
cyproterone acetate	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PARG	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FOLR1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CDK19	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
candesartan cilexetil	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
KLF17	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BCL11B	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
mir-375 (includes others)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL21	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PG3-Oc	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
beta-glucan	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LBP	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IgA	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RBM38	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HFE	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
8,9-epoxyeicosatrienoic acid	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
erismodegib	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SOCS3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNTF	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
lenvatinib	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
THRAP3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
acriflavine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
9Z,11E-octadecadienoic acid	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ATF2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TNFRSF10B	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
piperonal	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CRTC1-MAML2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CTR9	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TFAM	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MAP2K2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NEK7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TIA1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
monobutyl phthalate	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ATP-gamma-S	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
capsaicin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IRX5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
mir-340 (includes others)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NU-7026	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TCF12	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BAZ2A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
YBX3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TAS4464	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
DDIT4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SEC24A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TEAD4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
naproxen	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ANLN	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
resiquimod	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
7(R)-maresin 1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NR2F1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SMC1B	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
miR-218-5p (and other miRNAs w/seed UGUGCUU)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NOX4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BID	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TAF1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PPM1B	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GSDMD	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
iguratimod	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FBXW7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CIP2A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
epicatechin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GSE1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RARRES2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
indinavir	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
chrysotile asbestos	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TTI-101	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
isobutylmethylxanthine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CBP/IRF1/IRF8/SPI1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IACS-010759	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNOT6L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
senexin B	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PALMD	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SF3B1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
(R,S)-norcoclaurine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
3',4'-dihydroxyacetophenone	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ERBB3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
pterostilbene	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
basic calcium phosphate crystal	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ABCC1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
JUN/JUNB/JUND	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
DKK4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
coal tar	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
JAG2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCR2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HOXA6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Mir503hg	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
gemcitabine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RIPK3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
thiazolidinedione	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
EGR2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
STS	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
celecoxib	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCOA2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TOP2B	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
