© 2000-2025 QIAGEN. All rights reserved.

Canonical Pathways	Doxo3 vs Cycling0	Doxo14 vs Cycling0	Doxo21 vs Cycling0	Doxo14 vs Doxo3	Doxo21 vs Doxo3	Palbo3 vs Cycling0	Palbo14 vs Cycling0	Palbo28 vs Cycling0	Palbo14 vs Palbo3	Palbo28 vs Palbo3
Cell Cycle Checkpoints	-4.583	-7.81	-8.602	-6.325	-8.602	-8.66	-8.66	-8.544	2.673	6.557
Mitotic Prometaphase	-4.472	-7.0	-7.141	-5.099	-7.071	-7.141	-7.141	-7.141	2.324	5.745
Mitotic Metaphase and Anaphase	-4.359	-6.708	-6.928	-5.196	-6.856	-6.928	-6.928	-6.928	2.138	5.568
RHO GTPases Activate Formins	-3.742	-5.916	-6.083	-4.359	-5.916	-6.083	-6.083	-6.083	1.732	5.099
Mitotic G2-G2/M phases	-3.317	-4.899	-5.0	-3.606	-4.899	-5.0	-5.0	-5.0	1.633	3.873
Synthesis of DNA	N/A	-4.796	-5.477	-4.123	-5.477	-5.568	-5.568	-5.477	N/A	3.162
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	N/A	-3.742	-5.0	-3.317	-5.099	-5.196	-5.196	-5.099	N/A	3.317
Nucleosome assembly	-2.0	-4.0	-4.123	-3.162	-4.0	-4.123	-4.123	-4.123	1.89	3.464
RHO GTPase cycle	-3.742	-3.873	-4.243	-2.449	-3.873	-4.243	-4.472	-4.359	-1.633	0.816
Cell Cycle Control of Chromosomal Replication	N/A	-4.0	-4.583	-3.317	-4.583	-4.69	-4.69	-4.583	N/A	2.449
Nuclear Cytoskeleton Signaling Pathway	-3.162	-3.873	-3.873	-2.828	-3.873	-4.0	-4.0	-4.0	1.0	2.236
Activation of the pre-replicative complex	N/A	-4.123	-4.472	-3.162	-4.472	-4.472	-4.472	-4.359	N/A	2.646
Regulation of mitotic cell cycle	-3.0	-3.742	-3.873	-3.0	-3.873	-3.873	-3.873	-3.873	N/A	2.646
Cohesin Chromatin Regulation Pathway	-2.828	-3.71	-3.838	-2.121	-3.71	-3.838	-3.838	-3.838	0.0	2.828
Kinetochore Metaphase Signaling Pathway	-2.887	-3.651	-3.889	-1.886	-3.889	-3.889	-3.889	-3.889	-0.707	1.886
Intra-Golgi and retrograde Golgi-to-ER traffic	-2.828	-3.606	-3.606	-2.646	-3.464	-3.606	-3.606	-3.606	0.447	2.646
Kinesins	-2.828	-3.606	-3.606	-2.646	-3.464	-3.606	-3.606	-3.606	0.447	2.646
