© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	3.81E00	5.34E-02	NaN	CAMK2A,CAMK2B,CREB5,FCGR1A,FRZB,FZD3,IL1RAPL1,IL1RL1,IL36B,IL36G,IL36RN,MMP1,MMP3,NFATC2,PLCG2,PLCL1,PRKCB,TLR8	
Assembly of collagen fibrils and other multimeric structures	3.7E00	1.15E-01	NaN	COL11A1,COL24A1,COL6A6,COL9A1,CTSS,LAMB3,MMP3	
Collagen chain trimerization	3.66E00	1.36E-01	NaN	COL11A1,COL24A1,COL25A1,COL28A1,COL6A6,COL9A1	
Sleep REM Signaling Pathway	3.57E00	8.49E-02	NaN	CHRM2,CHRM3,CHRM5,CREB5,IL12A,IL36B,IL36G,TNFSF15,TNFSF8	
Collagen degradation	3.56E00	1.09E-01	NaN	COL11A1,COL25A1,COL6A6,COL9A1,MMP1,MMP12,MMP3	
WNT/Ca+ pathway	3.48E00	1.06E-01	NaN	CAMK2A,CREB5,FZD3,NFATC2,PDE6G,PLCG2,PLCL1	
Amyloid fiber formation	3.44E00	9.09E-02	NaN	CALB1,H2AC25,H2AC6,H2BC12L,H2BC15,H2BC21,H2BC26,H2BC5	
Nucleosome assembly	3.39E00	1.22E-01	NaN	H2AC6,H2BC12L,H2BC15,H2BC21,H2BC26,H2BC5	
Meiotic recombination	3.35E00	1.2E-01	NaN	H2AC6,H2BC12L,H2BC15,H2BC21,H2BC26,H2BC5	
Autism Signaling Pathway	3.3E00	5.18E-02	NaN	CAMK2A,CAMK2B,CNTNAP2,FZD3,GRIN2A,GRIN2B,GRM4,GRM7,IL12A,IL36B,IL36G,IL36RN,NRXN1,RELN,TNFSF15,TNFSF8	
Transcriptional regulation of granulopoiesis	3.3E00	1.18E-01	NaN	H2AC6,H2BC12L,H2BC15,H2BC21,H2BC26,H2BC5	
S100 Family Signaling Pathway	3.3E00	3.84E-02	NaN	ADCYAP1R1,ADGRD1,ADGRF5,ADGRG4,ADGRL4,CAMK2A,CAMK2B,CCL3,CCR7,CHRM2,CHRM3,CHRM5,CREB5,FCGR1A,FZD3,GPR179,GRM4,GRM7,HBEGF,HTR2C,MAPK4,MMP1,MMP12,MMP3,P2RY14,PLCG2,PLCL1,PRKCB,TACR1,TGFA	
B-WICH complex positively regulates rRNA expression	3.25E00	1.15E-01	NaN	H2AC6,H2BC12L,H2BC15,H2BC21,H2BC26,H2BC5	
Cellular Effects of Sildenafil (Viagra)	3.2E00	3.94E-02	NaN	ADCYAP1R1,ADGRD1,ADGRF5,ADGRG4,ADGRL4,CCR7,CHRM2,CHRM3,CHRM5,CNGB1,CREB5,FZD3,GPR179,GRM4,GRM7,HTR2C,KCNN3,MAPK4,MYH13,MYH14,MYL2,NFATC2,P2RY14,PDE6G,PPARG,PRKG2,TACR1	
Synaptic adhesion-like molecules	3.15E00	1.9E-01	NaN	GRIA4,GRIN2A,GRIN2B,PTPRD	
Irritable Bowel Syndrome Signaling Pathway	3.14E00	5.19E-02	NaN	BIRC3,HNF4A,IL12A,IL1RAPL1,IL1RL1,IL36B,IL36G,MMP1,MMP12,MMP3,MYL2,NOD2,TLR8,TNFSF15,TNFSF8	
Hematoma Resolution Signaling Pathway	3.14E00	5.41E-02	NaN	C6,C7,GRIN2A,GRIN2B,IL12A,IL1RL1,IL36B,IL36G,MMP1,MMP12,MMP3,PPARG,TNFSF15,TNFSF8	
Meiotic synapsis	3.12E00	1.09E-01	NaN	H2AC6,H2BC12L,H2BC15,H2BC21,H2BC26,H2BC5	
DNA Damage/Telomere Stress Induced Senescence	3.08E00	1.07E-01	NaN	H2AC6,H2BC12L,H2BC15,H2BC21,H2BC26,H2BC5	
Glutaminergic Receptor Signaling Pathway (Enhanced)	3.05E00	4.91E-02	NaN	CAMK2A,CAMK2B,CREB5,GABRA2,GABRB2,GABRG1,GRIA4,GRIN2A,GRIN2B,GRM4,GRM7,PLCG2,PLCL1,PRKCB,SCN3A,SCN4B	
Factors Promoting Cardiogenesis in Vertebrates	3.05E00	6.62E-02	NaN	BMP7,CAMK2A,CAMK2B,CREB5,FZD3,MYL2,NPPB,PLCG2,PLCL1,PRKCB	
RUNX1 regulates megakaryocyte differentiation and platelet function	3E00	1.03E-01	NaN	H2AC6,H2BC12L,H2BC15,H2BC21,H2BC26,H2BC5	
Role of Osteoblasts in Rheumatoid Arthritis Signaling Pathway	2.96E00	5.42E-02	NaN	BMP7,CTSS,FRZB,FZD3,IL12A,IL36B,IL36G,MMP1,MMP12,MMP3,STAT4,TNFSF15,TNFSF8	
DNA Double Strand Break Response	2.96E00	1.02E-01	NaN	EYA2,H2BC12L,H2BC15,H2BC21,H2BC26,H2BC5	
Visual phototransduction	2.88E00	9.84E-02	NaN	ABCA4,CNGB1,DHRS9,MYO7A,PDE6G,SAG	
Extracellular matrix organization	2.87E00	7.48E-02	NaN	COL11A1,COL6A6,COL9A1,HAPLN1,LAMB3,LAMC3,NRXN1,TNN	
Parkinson's Signaling Pathway	2.75E00	4.75E-02	NaN	CAMK2A,CAMK2B,DDC,FCGR1A,GBA3,GRIA4,GRIN2A,GRIN2B,IL12A,IL36B,IL36G,MAOA,TLR8,TNFSF15,TNFSF8	
Hepatic Cholestasis	2.72E00	5.33E-02	NaN	CYP3A5,HNF4A,IL12A,IL1RAPL1,IL1RL1,IL36B,IL36G,IL36RN,NR5A2,PRKCB,TNFSF15,TNFSF8	
tRNA Splicing	2.72E00	1.11E-01	NaN	MPPED2,PDE11A,PDE1A,PDE4C,PDE6G	
Lung Ionic Balance Signaling Pathway	2.72E00	4.02E-02	NaN	ADCYAP1R1,ADGRD1,ADGRF5,ADGRG4,ADGRL4,CCR7,CHRM2,CHRM3,CHRM5,CNGB1,FZD3,GPR179,GRM4,GRM7,HCK,HTR2C,P2RY14,PLCG2,PLCL1,PRKCB,TACR1	
Airway Pathology in Chronic Obstructive Pulmonary Disease	2.7E00	7.02E-02	NaN	IL12A,IL36B,IL36G,LCN2,MMP1,TNFSF15,TNFSF8,TSLP	
Collagen biosynthesis and modifying enzymes	2.67E00	8.96E-02	NaN	COL11A1,COL24A1,COL25A1,COL28A1,COL6A6,COL9A1	
NoRC negatively regulates rRNA expression	2.67E00	8.96E-02	NaN	H2AC6,H2BC12L,H2BC15,H2BC21,H2BC26,H2BC5	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	2.66E00	5.24E-02	NaN	BIRC3,BMP7,FRZB,FZD3,IL1RAPL1,IL1RL1,IL36B,IL36G,IL36RN,MMP1,MMP3,NFATC2	
Glutamate Receptor Signaling	2.64E00	8.82E-02	NaN	GRIA4,GRID2,GRIN2A,GRIN2B,GRM4,GRM7	
Neurovascular Coupling Signaling Pathway	2.61E00	5.17E-02	NaN	CHRM2,CHRM3,CHRM5,GABRA2,GABRB2,GABRG1,GRIA4,GRIN2A,GRIN2B,KCNN3,PRKG2,RYR1	
Sensory processing of sound by inner hair cells of the cochlea	2.61E00	8.7E-02	NaN	CLIC5,MYO3A,MYO7A,OTOF,PCDH15,XIRP2	
ESR-mediated signaling	2.6E00	6.78E-02	NaN	H2AC6,H2BC12L,H2BC15,H2BC21,H2BC26,H2BC5,NR5A2,TGFA	
Neuroinflammation Signaling Pathway	2.57E00	4.55E-02	NaN	BIRC3,CALB1,CCL3,CREB5,GABRA2,GABRB2,GABRG1,GRIN2A,GRIN2B,IL12A,MAPK4,MMP3,NFATC2,PLCG2,TLR8	
Cardiac Hypertrophy Signaling (Enhanced)	2.57E00	3.91E-02	NaN	CAMK2A,CAMK2B,FZD3,HDAC9,IL12A,IL1RL1,IL36B,IL36G,MPPED2,NFATC2,NPPB,PDE11A,PDE1A,PDE4C,PDE6G,PLCG2,PLCL1,PRKCB,RYR1,TNFSF15,TNFSF8	
RAR Activation	2.55E00	4.16E-02	NaN	CAMK2A,CAMK2B,CNGB1,CREB5,DHRS9,IL12A,IL36B,IL36G,MMP1,MMP3,MPPED2,PDE11A,PDE1A,PDE4C,PDE6G,PPARG,TNFSF15,TNFSF8	
Nonhomologous End-Joining (NHEJ)	2.55E00	1.02E-01	NaN	H2BC12L,H2BC15,H2BC21,H2BC26,H2BC5	
Serotonin Receptor Signaling	2.53E00	4.04E-02	NaN	CAMK2A,CAMK2B,CCR7,CREB5,DDC,HCK,HTR2C,IL12A,IL1RL1,KALRN,KCNN3,MAOA,MYL2,NPPB,PLCG2,PLCL1,PRKCB,RYR1,TRPC5	
Circadian Rhythm Signaling	2.51E00	4.81E-02	NaN	ADCYAP1R1,CAMK2A,CAMK2B,CREB5,GRIA4,GRIN2A,GRIN2B,HCK,PLCG2,PLCL1,PRKCB,PRKG2,RYR1	
Glutamate binding, activation of AMPA receptors and synaptic plasticity	2.5E00	1.29E-01	NaN	CAMK2A,CAMK2B,GRIA4,PRKCB	
Senescence-Associated Secretory Phenotype (SASP)	2.45E00	8.11E-02	NaN	H2AC6,H2BC12L,H2BC15,H2BC21,H2BC26,H2BC5	
RNA Polymerase I Transcription	2.45E00	8.11E-02	NaN	H2AC6,H2BC12L,H2BC15,H2BC21,H2BC26,H2BC5	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	2.43E00	5.84E-02	NaN	IL12A,IL36B,IL36G,NOD2,PLCG2,PRKCB,TLR8,TNFSF15,TNFSF8	
Pre-NOTCH Expression and Processing	2.37E00	7.79E-02	NaN	H2AC6,H2BC12L,H2BC15,H2BC21,H2BC26,H2BC5	
Toll-like Receptor Signaling	2.37E00	7.79E-02	NaN	IL12A,IL1RL1,IL36B,IL36G,IL36RN,TLR8	
Interleukin-1 family signaling	2.37E00	6.2E-02	NaN	IL1RAPL1,IL1RL1,IL36B,IL36G,IL36RN,NOD2,PTPN20,PTPN5	
Cardiac conduction	2.35E00	6.15E-02	NaN	ABCC9,CAMK2A,CAMK2B,CES1,KCNK13,RYR1,SCN3A,SCN4B	
LXR/RXR Activation	2.35E00	6.15E-02	NaN	ABCA1,HPX,IL1RAPL1,IL1RL1,IL36B,IL36G,IL36RN,LPA	
Sensory processing of sound by outer hair cells of the cochlea	2.33E00	9.09E-02	NaN	CLIC5,MYO3A,MYO7A,PCDH15,XIRP2	
Mitotic Prophase	2.32E00	6.73E-02	NaN	H2AC6,H2BC12L,H2BC15,H2BC21,H2BC26,H2BC5,PRKCB	
TREM1 Signaling	2.31E00	7.59E-02	NaN	CCL3,IL1RL1,NOD2,PLCG2,TLR8,TREM1	
Breast Cancer Regulation by Stathmin1	2.28E00	3.63E-02	NaN	ADCYAP1R1,ADGRD1,ADGRF5,ADGRG4,ADGRL4,CAMK2A,CAMK2B,CCR7,CHRM2,CHRM3,CHRM5,CREB5,FZD3,GPR179,GRM4,GRM7,HTR2C,P2RY14,PPP1R3A,PRKCB,TACR1,TGFA	
Degradation of the extracellular matrix	2.26E00	7.41E-02	NaN	CTSS,LAMB3,MMP1,MMP12,MMP3,SCUBE1	
Sperm Motility	2.26E00	4.67E-02	NaN	CNGB1,FLT1,HCK,NPPB,NTRK3,PDE1A,PDE4C,PLCG2,PLCL1,PRKCB,PRKG2,ZAP70	
Leukocyte Extravasation Signaling	2.25E00	5.15E-02	NaN	ARHGAP9,CLDN1,CTNNA3,MMP1,MMP12,MMP3,PLCG2,PRKCB,RASGRP1,VAV3	
FXR/RXR Activation	2.24E00	5.13E-02	NaN	FETUB,HNF4A,IL12A,IL36B,IL36G,IL36RN,NR5A2,PPARG,TNFSF15,TNFSF8	
CDX Gastrointestinal Cancer Signaling Pathway	2.21E00	5.08E-02	NaN	BMP7,FZD3,HBEGF,HNF4A,IL12A,IL36B,IL36G,SI,TNFSF15,TNFSF8	
SNARE Signaling Pathway	2.19E00	5.8E-02	NaN	CAMK2A,CAMK2B,MYH13,MYH14,MYL2,SYT11,SYT16,UNC13A	
Adrenergic Receptor Signaling Pathway (Enhanced)	2.19E00	5.05E-02	NaN	DDC,IL12A,IL36B,IL36G,MAOA,PLCG2,PLCL1,PRKCB,TNFSF15,TNFSF8	
Activation of anterior HOX genes in hindbrain during early embryogenesis	2.18E00	7.14E-02	NaN	H2AC6,H2BC12L,H2BC15,H2BC21,H2BC26,H2BC5	
Receptor-type tyrosine-protein phosphatases	2.16E00	1.5E-01	NaN	IL1RAPL1,NTRK3,PTPRD	
Interleukin-12 family signaling	2.16E00	1.5E-01	NaN	EBI3,IL12A,STAT4	
