© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Endocannabinoid Neuronal Synapse Pathway	1.52E00	4.67E-02	NaN	FAAH,GRIA4,GRIN2A,GRIN2B,MAPK4,PLCG2,PLCL1	
GPVI-mediated activation cascade	1.5E00	8.57E-02	NaN	LAT,PLCG2,VAV3	
Chromatin organization	1.5E00	3.92E-02	NaN	H2AC25,H2AC6,H2BC15,H2BC21,H2BC26,H2BC5,H3C10,H4C14,H4C8,H4C9	
Transcriptional regulation by RUNX1	1.49E00	4.61E-02	NaN	H2AC6,H2BC12L,H2BC15,H2BC21,H2BC26,H2BC5,PRKCB	
Tuberculosis Latent Signaling Pathway	1.47E00	5.56E-02	NaN	ABCA4,LRP2,OLR1,TNFSF15,TNFSF8	
Striated Muscle Contraction	1.47E00	8.33E-02	NaN	MYBPC1,MYL2,NEB	
IL-17 Signaling	1.45E00	4.23E-02	NaN	IL12A,IL36B,IL36G,LCN2,MMP3,RGS13,TNFSF15,TNFSF8	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	1.44E00	5.43E-02	NaN	CCL3,IL12A,IL36B,IL36G,IL36RN	
p38 MAPK Signaling	1.43E00	4.84E-02	NaN	CREB5,IL1RAPL1,IL1RL1,IL36B,IL36G,IL36RN	
EPH-Ephrin signaling	1.42E00	5.38E-02	NaN	EPHA7,GRIN2B,KALRN,MYH14,VAV3	
Post-translational modification: synthesis of GPI-anchored proteins	1.42E00	5.38E-02	NaN	CNTN4,CNTN5,LSAMP,NTNG1,OPCML	
Macrophage Alternative Activation Signaling Pathway	1.42E00	4.17E-02	NaN	ABCA1,CREB5,IL12A,IL36B,IL36G,IL36RN,MARCO,PPARG	
Inhibition of Matrix Metalloproteases	1.41E00	7.89E-02	NaN	MMP1,MMP12,MMP3	
L-dopachrome Biosynthesis	1.41E00	5E-01	NaN	TYRP1	
NOD1/2 Signaling Pathway	1.4E00	4.15E-02	NaN	BIRC3,IL12A,IL36B,IL36G,NOD2,TLR8,TNFSF15,TNFSF8	
Hepatic Fibrosis Signaling Pathway	1.4E00	3.37E-02	NaN	CCL3,CREB5,FLT1,FZD3,IL1RAPL1,IL1RL1,IL36B,IL36G,IL36RN,MMP1,MYL2,PLCG2,PPARG,PRKCB	
Deubiquitination	1.4E00	3.77E-02	NaN	BIRC3,H2AC25,H2AC6,H2BC15,H2BC21,H2BC26,H2BC5,NOD2,OTUB2,USP18	
Gαs Signaling	1.38E00	4.72E-02	NaN	CHRM3,CHRM5,CNGB1,CREB5,HCK,RYR1	
Complement System	1.38E00	7.69E-02	NaN	C6,C7,MASP1	
ROBO SLIT Signaling Pathway	1.37E00	4.69E-02	NaN	CNTNAP2,DCC,FLT1,HCK,MYL2,NRXN1	
Glioma Signaling	1.37E00	4.69E-02	NaN	CAMK2A,CAMK2B,HDAC9,PLCG2,PRKCB,TGFA	
Clathrin-mediated endocytosis	1.36E00	4.65E-02	NaN	CHRM2,HBEGF,LRP2,SYT11,TACR1,TGFA	
Abacavir ADME	1.35E00	5.97E-02	NaN	ABCG2,SLC22A1,STK31,STK33	
DAG and IP3 signaling	1.32E00	7.32E-02	NaN	CAMK2A,CAMK2B,PDE1A	
Metabolism of amine-derived hormones	1.31E00	1.11E-01	NaN	DDC,DIO2	
Gastrin-CREB signalling pathway via PKC and MAPK	1.31E00	1.11E-01	NaN	HBEGF,MMP3	
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	1.31E00	1.11E-01	NaN	CCL3,IL12A	
Natural Killer Cell Signaling	1.3E00	3.94E-02	NaN	IL12A,LAT,NFATC2,PLCG2,SH2D1A,STAT4,VAV3,ZAP70	
Regulation of beta-cell development	1.3E00	7.14E-02	NaN	HNF4A,NR5A2,RFX6	
GM-CSF Signaling	1.3E00	5.71E-02	NaN	CAMK2A,CAMK2B,HCK,PRKCB	
Sheddase Signaling Pathway	1.29E00	3.92E-02	NaN	CCR7,CDH12,HBEGF,IGFBP5,MMP1,MMP12,MMP3,TGFA	
IL-12 Signaling and Production in Macrophages	1.27E00	3.72E-02	NaN	EBI3,FCGR1A,IL12A,LPA,NFATC2,NOD2,PPARG,PRKCB,STAT4	
Atherosclerosis Signaling	1.26E00	4.41E-02	NaN	IL36B,IL36G,IL36RN,LPA,MMP1,MMP3	
Potassium Channels	1.26E00	4.85E-02	NaN	ABCC9,KCNA2,KCNH7,KCNK13,KCNN3	
Netrin-1 signaling	1.25E00	6.82E-02	NaN	DCC,TRPC5,UNC5D	
CGAS-STING Signaling Pathway	1.24E00	4.35E-02	NaN	CCL26,IL12A,IL36B,IL36G,TNFSF15,TNFSF8	
Reelin Signaling in Neurons	1.24E00	4.35E-02	NaN	CAMK2A,CAMK2B,GRIN2A,GRIN2B,HCK,RELN	
Proline catabolism	1.23E00	3.33E-01	NaN	PRODH	
Proline Degradation	1.23E00	3.33E-01	NaN	PRODH	
Thyronamine and Iodothyronamine Metabolism	1.23E00	3.33E-01	NaN	DIO2	
Anandamide Degradation	1.23E00	3.33E-01	NaN	FAAH	
Thyroid Hormone Metabolism I (via Deiodination)	1.23E00	3.33E-01	NaN	DIO2	
White Adipose Tissue Browning Pathway	1.23E00	4.32E-02	NaN	BMP7,CREB5,DIO2,NPPB,PPARG,PRKG2	
G alpha (q) signalling events	1.23E00	4.02E-02	NaN	CHRM3,CHRM5,HTR2C,KALRN,RGS13,TACR1,XCL1	
Arachidonic acid metabolism	1.22E00	6.67E-02	NaN	CYP1A1,EPHX2,FAAH	
Interleukin-10 signaling	1.22E00	6.67E-02	NaN	CCL3,CXCL2,IL12A	
Activin Inhibin Signaling Pathway	1.21E00	3.77E-02	NaN	IL1RAPL1,IL1RL1,IL36B,IL36G,IL36RN,MAPK4,PPARG,TLR8	
Pulmonary Fibrosis Idiopathic Signaling Pathway	1.21E00	3.37E-02	NaN	COL11A1,COL24A1,COL25A1,COL28A1,COL6A6,COL9A1,FZD3,MMP1,MMP12,MMP3,TGFA	
Docosahexaenoic Acid (DHA) Signaling	1.19E00	3.59E-02	NaN	BIRC3,CREB5,GRIN2B,PLCG2,PLCL1,PRKCB,SYT11,SYT16,TGFA	
Transport of inorganic cations/anions and amino acids/oligopeptides	1.19E00	4.63E-02	NaN	SLC24A2,SLC24A3,SLC24A4,SLC26A7,SLC9A2	
Myelination Signaling Pathway	1.19E00	3.35E-02	NaN	ARHGAP9,BMP7,CREB5,FZD3,HCK,HDAC9,LAMB3,LAMC3,MPZ,NFATC2,PLCG2	
Cell surface interactions at the vascular wall	1.19E00	3.74E-02	NaN	CD84,MMP1,OLR1,PSG11,PSG2,PSG6,PSG9,TREM1	
Dopamine-DARPP32 Feedback in cAMP Signaling	1.19E00	3.93E-02	NaN	CREB5,GRIN2A,GRIN2B,PLCG2,PLCL1,PRKCB,PRKG2	
Sensory perception of taste	1.18E00	6.38E-02	NaN	GRM4,SCN3A,SCN4B	
Erythropoietin Signaling Pathway	1.15E00	3.87E-02	NaN	BIRC3,IL12A,IL36B,IL36G,PRKCB,TNFSF15,TNFSF8	
Interleukin-4 and Interleukin-13 signaling	1.15E00	4.5E-02	NaN	IL12A,LCN2,MAOA,MMP1,MMP3	
Signaling by MET	1.14E00	5.06E-02	NaN	COL11A1,COL24A1,LAMB3,LAMC3	
G alpha (i) signalling events	1.14E00	3.49E-02	NaN	CCR7,CHRM2,CXCL2,GRM4,GRM7,P2RY14,RGS13,RGS22,RGS6	
Phase I - Functionalization of compounds	1.13E00	4.42E-02	NaN	AOC3,CES1,CYP1A1,CYP3A5,MAOA	
IL-17A Signaling in Fibroblasts	1.13E00	5E-02	NaN	LCN2,MMP1,MMP3,PRKCB	
LPS/IL-1 Mediated Inhibition of RXR Function	1.12E00	3.36E-02	NaN	ABCA1,CYP3A5,IL1RAPL1,IL1RL1,IL36B,IL36G,IL36RN,MAOA,NR5A2,SULT1B1	
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	1.11E00	4.39E-02	NaN	H2BC12L,H2BC15,H2BC21,H2BC26,H2BC5	
Catecholamine Biosynthesis	1.11E00	2.5E-01	NaN	DDC	
Phenylethylamine Degradation I	1.11E00	2.5E-01	NaN	AOC3	
Glycation Signaling Pathway	1.09E00	3.56E-02	NaN	IL12A,IL36B,IL36G,MAPK4,OLR1,PRKCB,TNFSF15,TNFSF8	
Dilated Cardiomyopathy Signaling Pathway	1.09E00	3.97E-02	NaN	ABCC9,CAMK2A,CAMK2B,MYH13,MYH14,MYL2	
Interleukin-7 signaling	1.09E00	8.33E-02	NaN	RAG1,TSLP	
Amyotrophic Lateral Sclerosis Signaling	1.08E00	4.27E-02	NaN	BIRC3,GRIA4,GRID2,GRIN2A,GRIN2B	
Transport of bile salts and organic acids, metal ions and amine compounds	1.07E00	4.76E-02	NaN	SLC13A1,SLC22A1,SLC47A1,SLC6A7	
Signaling by EGFR	1.06E00	5.66E-02	NaN	FAM83B,HBEGF,TGFA	
IL-10 Signaling	1.05E00	3.87E-02	NaN	CREB5,IL1RAPL1,IL1RL1,IL36B,IL36G,IL36RN	
Retinol Biosynthesis	1.04E00	5.56E-02	NaN	CES1,DHRS9,LIPF	
Bupropion Degradation	1.03E00	7.69E-02	NaN	CYP1A1,CYP3A5	
Melanin biosynthesis	1.02E00	2E-01	NaN	TYRP1	
Reelin signalling pathway	1.02E00	2E-01	NaN	RELN	
Serotonin and Melatonin Biosynthesis	1.02E00	2E-01	NaN	DDC	
Melatonin Degradation II	1.02E00	2E-01	NaN	MAOA	
Lactose Degradation III	1.02E00	2E-01	NaN	GBA3	
Neutrophil degranulation	1.02E00	2.94E-02	NaN	ARHGAP9,CHIT1,CTSS,CYSTM1,DSG1,DSP,FLG2,FOLR3,HRNR,IQGAP2,LCN2,OLR1,PIGR,RAB44	
Microautophagy Signaling Pathway	1.01E00	3.77E-02	NaN	COL11A1,COL24A1,COL25A1,COL28A1,COL6A6,COL9A1	
IL-13 Signaling Pathway	1.01E00	4.07E-02	NaN	CCL26,HBEGF,HCK,MAOA,TSLP	
Phototransduction Pathway	1E00	5.36E-02	NaN	CNGB1,PDE6G,SAG	
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by IGFBPs	9.95E-01	4.03E-02	NaN	AMELX,IGFBP5,MMP1,SCG3,SPARCL1	
Opioid Signalling	9.82E-01	4.44E-02	NaN	CAMK2A,CAMK2B,PDE1A,PDE4C	
Pulmonary Healing Signaling Pathway	9.72E-01	3.48E-02	NaN	FZD3,HBEGF,HCK,MMP1,MMP12,MMP3,PRKCB	
Superpathway of Melatonin Degradation	9.69E-01	4.4E-02	NaN	CYP1A1,CYP3A5,MAOA,SULT1B1	
D-myo-inositol-5-phosphate Metabolism	9.47E-01	3.43E-02	NaN	DUSP5,EPHX2,PLCG2,PPP1R3A,PTPN20,PTPRD,PTPRQ	
Tryptophan Degradation to 2-amino-3-carboxymuconate Semialdehyde	9.46E-01	1.67E-01	NaN	KMO	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	9.43E-01	4.3E-02	NaN	FCGR1A,HCK,PRKCB,VAV3	
ERBB Signaling	9.43E-01	4.3E-02	NaN	HBEGF,PLCG2,PRKCB,TGFA	
IL-6 Signaling	9.41E-01	3.88E-02	NaN	IL1RAPL1,IL1RL1,IL36B,IL36G,IL36RN	
Beta-catenin independent WNT signaling	9.39E-01	3.41E-02	NaN	CAMK2A,FZD3,PDE6G,PRKCB,PRKG2,STK31,STK33	
Oxytocin Signaling Pathway	9.35E-01	3.16E-02	NaN	ABCC9,CREB5,MAPK4,MYH13,MYH14,MYL2,PPARG,PRKCB,PRKG2	
Neutrophil Extracellular Trap Signaling Pathway	9.33E-01	2.93E-02	NaN	COL11A1,COL24A1,COL25A1,COL28A1,COL6A6,COL9A1,HCK,KCNN3,PLCG2,PLCL1,PRKCB,TLR8	
Tryptophan Degradation X (Mammalian, via Tryptamine)	9.25E-01	6.67E-02	NaN	DDC,MAOA	
Gαq Signaling	9.17E-01	3.55E-02	NaN	CHRM3,CHRM5,HTR2C,NFATC2,PLCG2,PRKCB	
Signaling by the B Cell Receptor (BCR)	9.08E-01	3.53E-02	NaN	DAPP1,NFATC2,PIK3AP1,PLCG2,PRKCB,RASGRP1	
Signaling by CSF1 (M-CSF) in myeloid cells	9.01E-01	6.45E-02	NaN	HCK,PLCG2	
Class A/1 (Rhodopsin-like receptors)	8.96E-01	3.01E-02	NaN	CCL3,CCR7,CHRM2,CHRM3,CHRM5,CXCL2,HTR2C,P2RY14,TACR1,XCL1	
IL-27 Signaling Pathway	8.91E-01	3.73E-02	NaN	EBI3,IL1RAPL1,IL1RL1,TLR8,TNFRSF9	
Gα12/13 Signaling	8.91E-01	3.73E-02	NaN	CDH10,CDH12,CDH4,MYL2,VAV3	
Crosstalk between Dendritic Cells and Natural Killer Cells	8.83E-01	4.08E-02	NaN	CAMK2A,CAMK2B,CCR7,IL12A	
Phosphatidylcholine Biosynthesis I	8.83E-01	1.43E-01	NaN	PHKA1	
Glycoaminoglycan-protein Linkage Region Biosynthesis	8.83E-01	1.43E-01	NaN	XYLT1	
Aspartate Degradation II	8.83E-01	1.43E-01	NaN	LIPF	
Toll-like Receptor Cascades	8.79E-01	6.25E-02	NaN	PLCG2,TLR8	
Surfactant metabolism	8.79E-01	6.25E-02	NaN	ADGRF5,DMBT1	
Semaphorin interactions	8.72E-01	4.69E-02	NaN	DPYSL5,MYH14,PLXNA4	
Sialic acid metabolism	8.57E-01	6.06E-02	NaN	ST6GALNAC3,ST6GALNAC5	
Airway Inflammation in Asthma	8.57E-01	6.06E-02	NaN	IL12A,TSLP	
NFE2L2 regulating MDR associated enzymes	8.29E-01	1.25E-01	NaN	ABCG2	
Sucrose Degradation V (Mammalian)	8.29E-01	1.25E-01	NaN	SI	
Superoxide Radicals Degradation	8.29E-01	1.25E-01	NaN	TYRP1	
ABC-family proteins mediated transport	8.27E-01	3.88E-02	NaN	ABCA4,ABCB5,ABCC11,ABCC9	
RHOGDI Signaling	8.26E-01	3.18E-02	NaN	ARHGAP9,CDH10,CDH12,CDH4,MYH13,MYH14,MYL2	
Th2 Pathway	8.25E-01	3.55E-02	NaN	IL12A,IL1RL1,NFATC2,STAT4,TSLP	
Xenobiotic Metabolism PXR Signaling Pathway	8.19E-01	3.17E-02	NaN	CAMK2A,CAMK2B,CES1,CYP3A5,MAOA,PRKCB,SULT1B1	
RAF/MAP kinase cascade	8.18E-01	3.05E-02	NaN	CAMK2A,CAMK2B,DUSP5,GRIN2B,HBEGF,LAT,RASGRP1,TGFA	
Oxytocin in Spinal Neurons Signaling Pathway	8.16E-01	5.71E-02	NaN	ABCC9,PRKG2	
Ion channel transport	8.02E-01	3.28E-02	NaN	ANO3,CAMK2A,CAMK2B,RYR1,TRPC5,WNK3	
PIP3 activates AKT signaling	7.9E-01	3.45E-02	NaN	HBEGF,IL1RL1,NTRK3,PIK3AP1,TGFA	
C-type lectin receptors (CLRs)	7.9E-01	3.45E-02	NaN	MUC13,MUC16,MUC19,NFATC2,PLCG2	
Signaling by VEGF	7.86E-01	3.74E-02	NaN	CYFIP2,FLT1,PRKCB,VAV3	
Post-translational protein phosphorylation	7.86E-01	3.74E-02	NaN	AMELX,IGFBP5,SCG3,SPARCL1	
OAS antiviral response	7.82E-01	1.11E-01	NaN	OASL	
Pathogenesis of Multiple Sclerosis	7.82E-01	1.11E-01	NaN	CCL3	
Gene and protein expression by JAK-STAT signaling after IL-12 stimulation	7.78E-01	5.41E-02	NaN	SERPINB2,STAT4	
SUMOylation of chromatin organization proteins	7.77E-01	4.23E-02	NaN	H4C14,H4C8,H4C9	
Semaphorin Neuronal Repulsive Signaling Pathway	7.73E-01	3.4E-02	NaN	DPYSL5,MYL2,PDE4C,PLCG2,PRKG2	
Macrophage Classical Activation Signaling Pathway	7.65E-01	3.19E-02	NaN	IL12A,IL36B,IL36G,PPARG,TNFSF15,TNFSF8	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	7.57E-01	3.17E-02	NaN	DUSP5,EPHX2,PPP1R3A,PTPN20,PTPRD,PTPRQ	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	7.57E-01	3.17E-02	NaN	DUSP5,EPHX2,PPP1R3A,PTPN20,PTPRD,PTPRQ	
Noradrenaline and Adrenaline Degradation	7.42E-01	5.13E-02	NaN	DHRS9,MAOA	
Caspase activation via Dependence Receptors in the absence of ligand	7.41E-01	1E-01	NaN	DCC	
Creatine metabolism	7.41E-01	1E-01	NaN	SLC6A7	
mRNA Editing	7.41E-01	1E-01	NaN	A1CF	
RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs)	7.41E-01	1E-01	NaN	NFATC2	
Citrulline Biosynthesis	7.41E-01	1E-01	NaN	PRODH	
Olfactory Signaling Pathway	7.4E-01	4.05E-02	NaN	CNGB1,OR51B5,OR8D1	
WNT/SHH Axonal Guidance Signaling Pathway	7.4E-01	3.31E-02	NaN	CAMK2A,CAMK2B,FZD3,HCK,TRPC5	
Extra-nuclear estrogen signaling	7.29E-01	4E-02	NaN	HBEGF,MMP3,TGFA	
Neurotransmitter release cycle	7.25E-01	5E-02	NaN	MAOA,SLC22A1	
Class C/3 (Metabotropic glutamate/pheromone receptors)	7.25E-01	5E-02	NaN	GRM4,GRM7	
Dopamine Degradation	7.25E-01	5E-02	NaN	MAOA,SULT1B1	
Sertoli Cell-Germ Cell Junction Signaling Pathway (Enhanced)	7.2E-01	2.97E-02	NaN	CAMK2B,CLDN1,IL1RAPL1,IL1RL1,LAMB3,LAMC3,PRKG2	
Binding and Uptake of Ligands by Scavenger Receptors	7.18E-01	3.51E-02	NaN	HPX,MARCO,MASP1,SCARA5	
PD-1, PD-L1 cancer immunotherapy pathway	7.18E-01	3.51E-02	NaN	IL12A,LAT,RASGRP1,ZAP70	
Interferon alpha/beta signaling	7.17E-01	3.95E-02	NaN	IFI27,OASL,USP18	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	7.17E-01	3.95E-02	NaN	CHRM2,PLCG2,PLCL1	
Acetone Degradation I (to Methylglyoxal)	7.09E-01	4.88E-02	NaN	CYP1A1,CYP3A5	
RHO GTPases activate KTN1	7.03E-01	9.09E-02	NaN	KIF5A	
NAD biosynthesis II (from tryptophan)	7.03E-01	9.09E-02	NaN	KMO	
Relaxin Signaling	7.01E-01	3.21E-02	NaN	MPPED2,PDE11A,PDE1A,PDE4C,PDE6G	
PPARα/RXRα Activation	6.95E-01	3.03E-02	NaN	ABCA1,IL1RAPL1,IL1RL1,PLCG2,PLCL1,PRKCB	
TCF dependent signaling in response to WNT	6.95E-01	3.03E-02	NaN	H2AC6,H2BC12L,H2BC15,H2BC21,H2BC26,H2BC5	
Neurotrophin/TRK Signaling	6.95E-01	3.85E-02	NaN	CREB5,NTRK3,SORCS1	
Cerebral Malformation Signaling Pathway	6.92E-01	3.42E-02	NaN	IL36B,IL36G,IL36RN,MYL2	
Cholecystokinin/Gastrin-mediated Signaling	6.92E-01	3.42E-02	NaN	IL36B,IL36G,IL36RN,PRKCB	
Superpathway of Inositol Phosphate Compounds	6.9E-01	2.9E-02	NaN	DUSP5,EPHX2,PLCG2,PPP1R3A,PTPN20,PTPRD,PTPRQ	
Neuregulin Signaling	6.83E-01	3.39E-02	NaN	HBEGF,PLCG2,PRKCB,TGFA	
3-phosphoinositide Degradation	6.82E-01	3E-02	NaN	DUSP5,EPHX2,PPP1R3A,PTPN20,PTPRD,PTPRQ	
RHO GTPases Activate WASPs and WAVEs	6.78E-01	4.65E-02	NaN	CYFIP2,HCK	
Oncostatin M Signaling	6.78E-01	4.65E-02	NaN	MMP1,MMP3	
Bladder Cancer Signaling	6.74E-01	3.36E-02	NaN	HDAC9,MMP1,MMP12,MMP3	
HMGB1 Signaling	6.71E-01	3.12E-02	NaN	IL12A,IL36B,IL36G,TNFSF15,TNFSF8	
Neurotransmitter receptors and postsynaptic signal transmission	6.7E-01	8.33E-02	NaN	GLRA3	
Vitamin D (calciferol) metabolism	6.7E-01	8.33E-02	NaN	LRP2	
Oleate Biosynthesis II (Animals)	6.7E-01	8.33E-02	NaN	PTPRT	
Tuberculosis Active Signaling Pathway	6.66E-01	2.86E-02	NaN	IL12A,IL1RAPL1,IL1RL1,NOD2,PPARG,TNFSF15,TNFSF8	
Fc Epsilon RI Signaling	6.66E-01	3.33E-02	NaN	LAT,PLCG2,PRKCB,VAV3	
Nitric Oxide Signaling in the Cardiovascular System	6.66E-01	3.33E-02	NaN	FLT1,PDE1A,PRKCB,PRKG2	
HEY1 Signaling Pathway	6.64E-01	3.11E-02	NaN	BMP7,MMP1,MMP12,MMP3,NTRK3	
Preeclampsia Signaling Pathway	6.64E-01	3.11E-02	NaN	FLT1,FZD3,IL36B,IL36G,IL36RN	
eNOS Signaling	6.64E-01	3.11E-02	NaN	CHRM5,CNGB1,FLT1,PLCG2,PRKCB	
TAK1-dependent IKK and NF-kappa-B activation	6.63E-01	4.55E-02	NaN	NOD2,USP18	
Aspirin ADME	6.63E-01	4.55E-02	NaN	ACSM5,CES1	
Retinoid metabolism and transport	6.63E-01	4.55E-02	NaN	AKR1C4,LRP2	
Gap Junction Signaling	6.5E-01	2.69E-02	NaN	CREB5,GRIA4,HTR2C,KCNN3,P2RY14,PLCG2,PLCL1,PRKCB,PRKG2	
IL-15 Production	6.49E-01	3.28E-02	NaN	FLT1,HCK,NTRK3,ZAP70	
Fcgamma receptor (FCGR) dependent phagocytosis	6.43E-01	3.05E-02	NaN	CYFIP2,FCGR1A,HCK,PLCG2,VAV3	
Dissolution of Fibrin Clot	6.39E-01	7.69E-02	NaN	SERPINB2	
Nephron development	6.39E-01	7.69E-02	NaN	HNF4A	
L1CAM interactions	6.33E-01	3.23E-02	NaN	ANK1,CHL1,SCN3A,SCN4B	
Role of Tissue Factor in Cancer	6.32E-01	2.88E-02	NaN	FLT1,HBEGF,HCK,MAPK4,MMP1,TGFA	
Melatonin Degradation I	6.23E-01	3.53E-02	NaN	CYP1A1,CYP3A5,SULT1B1	
Estrogen Biosynthesis	6.21E-01	4.26E-02	NaN	CYP1A1,CYP3A5	
Platelet homeostasis	6.13E-01	3.49E-02	NaN	PDE11A,PDE1A,PRKG2	
VEGF Family Ligand-Receptor Interactions	6.13E-01	3.49E-02	NaN	FLT1,PLCG2,PRKCB	
Regulation of TP53 Activity through Association with Co-factors	6.11E-01	7.14E-02	NaN	POU4F2	
Tryptophan catabolism	6.11E-01	7.14E-02	NaN	KMO	
Choline Biosynthesis III	6.11E-01	7.14E-02	NaN	PHKA1	
Cardiac β-adrenergic Signaling	6.03E-01	2.94E-02	NaN	MPPED2,PDE11A,PDE1A,PDE4C,PDE6G	
Antimicrobial peptides	5.95E-01	4.08E-02	NaN	LCN2,PI3	
3-phosphoinositide Biosynthesis	5.91E-01	2.79E-02	NaN	DUSP5,EPHX2,PPP1R3A,PTPN20,PTPRD,PTPRQ	
Neuroprotective Role of THOP1 in Alzheimer's Disease	5.87E-01	3.08E-02	NaN	MASP1,RELN,TMPRSS11B,TMPRSS7	
Phenylalanine Degradation IV (Mammalian, via Side Chain)	5.85E-01	6.67E-02	NaN	MAOA	
Retinoate Biosynthesis I	5.83E-01	4E-02	NaN	AKR1C4,DHRS9	
GABA Receptor Signaling	5.66E-01	3.01E-02	NaN	GABRA2,GABRB2,GABRG1,KCNN3	
Th1 and Th2 Activation Pathway	5.65E-01	2.84E-02	NaN	IL12A,IL1RL1,NFATC2,STAT4,TSLP	
Rap1 signalling	5.62E-01	6.25E-02	NaN	RASGRP1	
Superpathway of Citrulline Metabolism	5.62E-01	6.25E-02	NaN	PRODH	
MAPK6/MAPK4 signaling	5.59E-01	3.26E-02	NaN	KALRN,MAPK4,RAG1	
P2Y Purinergic Receptor Signaling Pathway	5.59E-01	2.99E-02	NaN	CREB5,PLCG2,PLCL1,PRKCB	
Apoptotic execution phase	5.59E-01	3.85E-02	NaN	DSG1,DSP	
Nuclear Cytoskeleton Signaling Pathway	5.59E-01	2.71E-02	NaN	CDH10,CDH12,CDH4,HCK,KIF5A,PPARG	
Thrombin Signaling	5.48E-01	2.69E-02	NaN	CAMK2A,CAMK2B,MYL2,PLCG2,PLCL1,PRKCB	
RHO GTPase cycle	5.47E-01	2.44E-02	NaN	ARHGAP15,ARHGAP9,CYFIP2,DSG1,DSP,FAM83B,IQGAP2,KALRN,MUC13,VAV3,ZAP70	
NAFLD Signaling Pathway	5.43E-01	2.68E-02	NaN	IL12A,IL36B,IL36G,TLR8,TNFSF15,TNFSF8	
Metabolism of Angiotensinogen to Angiotensins	5.39E-01	5.88E-02	NaN	CES1	
Zygotic genome activation (ZGA)	5.39E-01	5.88E-02	NaN	ZSCAN4	
RAN Signaling	5.39E-01	5.88E-02	NaN	KPNA7	
Tight Junction Signaling	5.36E-01	2.76E-02	NaN	CLDN1,MYH13,MYH14,MYL2,TJP3	
Serotonin Degradation	5.35E-01	3.16E-02	NaN	DHRS9,MAOA,SULT1B1	
Adipogenesis pathway	5.32E-01	2.9E-02	NaN	BMP7,FZD3,HDAC9,PPARG	
Prolactin Signaling	5.27E-01	3.12E-02	NaN	ABCC9,PLCG2,PRKCB	
STAT3 Pathway	5.25E-01	2.88E-02	NaN	FLT1,IL1RL1,NTRK3,TGFA	
VEGF Signaling	5.19E-01	3.09E-02	NaN	FLT1,PLCG2,PRKCB	
Role of NFAT in Cardiac Hypertrophy	5.18E-01	2.62E-02	NaN	CAMK2A,CAMK2B,HDAC9,PLCG2,PLCL1,PRKCB	
NLR signaling pathways	5.15E-01	3.57E-02	NaN	BIRC3,NOD2	
E3 ubiquitin ligases ubiquitinate target proteins	5.15E-01	3.57E-02	NaN	H2BC15,H2BC5	
Melanocyte Development and Pigmentation Signaling	5.03E-01	3.03E-02	NaN	CREB5,PLCG2,TYRP1	
RHO GTPases activate CIT	4.99E-01	5.26E-02	NaN	MYH14	
RHO GTPases Activate ROCKs	4.99E-01	5.26E-02	NaN	MYH14	
Bile Acid Biosynthesis, Neutral Pathway	4.99E-01	5.26E-02	NaN	AKR1C4	
ATM Signaling	4.96E-01	3E-02	NaN	CCNB3,CREB5,H4C9	
Signaling by PDGF	4.94E-01	3.45E-02	NaN	COL6A6,COL9A1	
Bone Mineralization Signaling Pathway	4.94E-01	2.78E-02	NaN	CALB1,FZD3,PLCG2,PLCL1	
G alpha (s) signalling events	4.88E-01	2.76E-02	NaN	ADCYAP1R1,PDE11A,PDE1A,PDE4C	
Signaling by ERBB4	4.85E-01	3.39E-02	NaN	GABRB2,HBEGF	
Acute Phase Response Signaling	4.82E-01	2.62E-02	NaN	HPX,IL36B,IL36G,IL36RN,KLKB1	
Gαi Signaling	4.76E-01	2.72E-02	NaN	CHRM2,GRM4,GRM7,P2RY14	
Iron uptake and transport	4.75E-01	3.33E-02	NaN	ABCG2,LCN2	
GABA receptor activation	4.75E-01	3.33E-02	NaN	GABRA2,GABRB2	
Xenobiotic Metabolism Signaling	4.73E-01	2.42E-02	NaN	CAMK2A,CAMK2B,CES1,CYP1A1,CYP3A5,MAOA,PRKCB,SULT1B1	
GNRH Signaling	4.72E-01	2.59E-02	NaN	CAMK2A,CAMK2B,CREB5,HBEGF,PRKCB	
CLEAR Signaling Pathway	4.71E-01	2.46E-02	NaN	CREB5,FLT1,MAPK4,NTRK3,PRKCB,TGFA,TLR8	
RHO GTPases activate PAKs	4.64E-01	4.76E-02	NaN	MYH14	
Formation of the ureteric bud	4.64E-01	4.76E-02	NaN	GREM1	
Actin Cytoskeleton Signaling	4.57E-01	2.48E-02	NaN	CYFIP2,IQGAP2,MYH13,MYH14,MYL2,VAV3	
