© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Integrin cell surface interactions	1.59E01	2.12E-01	NaN	COL18A1,COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,COL6A1,COL6A2,FBN1,FN1,ITGA10,ITGA11,ITGB8,JAM2,LUM,PECAM1,THBS1,TNC	
Extracellular matrix organization	1.28E01	1.59E-01	NaN	COL18A1,COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,COL6A1,COL6A2,DCN,FN1,LUM,SERPINE1,SPARC,TGFB2,TGFB3,TNC,VCAN	
Pulmonary Fibrosis Idiopathic Signaling Pathway	1.28E01	8.28E-02	NaN	ACTC1,ACTG2,CCN4,COL18A1,COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,COL6A1,COL6A2,FN1,MAPK11,MMP11,MUC1,PDGFD,PDGFRB,PRKN,SERPINE1,SMO,SNAI1,TCF7L1,TGFB2,TGFB3,THBS1,WNT10B,WNT2B	
Cohesin Chromatin Regulation Pathway	1.24E01	9.13E-02	NaN	DCHS1,PCDH18,PCDHA6,PCDHB10,PCDHB11,PCDHB12,PCDHB14,PCDHB16,PCDHB3,PCDHB4,PCDHB6,PCDHB7,PCDHB8,PCDHB9,PCDHGA10,PCDHGA11,PCDHGA5,PCDHGA6,PCDHGA7,PCDHGA9,PCDHGB3,PCDHGB4,PCDHGB7,PCDHGC4	
Elastic fibre formation	1.08E01	2.5E-01	NaN	EFEMP1,EFEMP2,EMILIN1,FBN1,FN1,ITGB8,LOXL1,LTBP1,MFAP4,TGFB2,TGFB3	
Collagen biosynthesis and modifying enzymes	9.86E00	1.79E-01	NaN	COL18A1,COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,COL6A1,COL6A2,P3H3,P4HA1,PCOLCE,SERPINH1	
Syndecan interactions	8.63E00	2.96E-01	NaN	COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,FN1,THBS1,TNC	
Hepatic Fibrosis Signaling Pathway	8.24E00	5.77E-02	NaN	CACNA2D1,COL1A1,COL1A2,COL3A1,ITGA10,ITGA11,ITGB8,MAPK11,OPN1SW,PDGFD,PDGFRB,PDK1,PTCH2,RHOJ,SERPINE1,SMO,SNAI1,SUCNR1,TCF7L1,TGFB2,TGFB3,TNFRSF11B,WNT10B,WNT2B	
Signaling by PDGF	8.15E00	1.72E-01	NaN	COL3A1,COL5A1,COL5A2,COL6A1,COL6A2,PDGFD,PDGFRB,STAT5A,THBS1,THBS2	
Assembly of collagen fibrils and other multimeric structures	7.93E00	1.64E-01	NaN	COL18A1,COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,COL6A1,COL6A2,LOXL1,PCOLCE	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	7.86E00	8.33E-02	NaN	COL18A1,COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,COL6A1,COL6A2,FN1,IGFBP4,PDGFD,PDGFRB,SERPINE1,TGFB2,TGFB3,TNFRSF11B	
Collagen chain trimerization	6.82E00	1.82E-01	NaN	COL18A1,COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,COL6A1,COL6A2	
Collagen degradation	6.6E00	1.41E-01	NaN	COL18A1,COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,COL6A1,COL6A2,MMP11	
