© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Neutrophil degranulation	3.03E00	2.73E-02	NaN	AMPD3,ATP8B4,C5AR1,CD36,CEACAM1,CXCL1,PSAP,PTX3,SERPINA1,SERPINA3,SERPINB10,TCN1,VNN1	
NAD Biosynthesis from 2-amino-3-carboxymuconate Semialdehyde	3.03E00	4E-01	NaN	NMNAT2,NMNAT3	
NAD Salvage Pathway III	3.03E00	4E-01	NaN	NMNAT2,NMNAT3	
Granulocyte Adhesion and Diapedesis	3.02E00	3.92E-02	NaN	C5AR1,CSF3,CXCL1,CXCL8,IL1A,IL1B,MMP24,VCAM1	
Toll-like Receptor Signaling	3.01E00	6.49E-02	NaN	IL1A,IL1B,IRAK2,TLR4,TNFAIP3	
HMGB1 Signaling	2.98E00	4.37E-02	NaN	CSF2,CXCL8,IL1A,IL1B,LIF,TLR4,VCAM1	
Signaling by Retinoic Acid	2.97E00	8.7E-02	NaN	ALDH1A1,ALDH1A2,ALDH1A3,DHRS3	
Role of IL-17F in Allergic Inflammatory Airway Diseases	2.97E00	8.7E-02	NaN	CSF2,CXCL1,CXCL8,IL1B	
RAR Activation	2.9E00	2.77E-02	NaN	ACVR1C,ALDH1A1,ALDH1A2,ALDH1A3,CSF2,CXCL8,DHRS3,IL1A,IL1B,LIF,STRA6,TNIP1	
Retinoate Biosynthesis I	2.83E00	8E-02	NaN	ALDH1A1,ALDH1A2,ALDH1A3,DHRS3	
Multiple Sclerosis Signaling Pathway	2.82E00	3.65E-02	NaN	CSF2,CXCL1,CXCL8,IL1A,IL1B,LIF,PARP15,TLR4	
Class A/1 (Rhodopsin-like receptors)	2.76E00	3.01E-02	NaN	C5AR1,CXCL1,CXCL8,GPR35,GPR37L1,HTR1F,PSAP,PTGER3,RGR,SAA1	
NAFLD Signaling Pathway	2.76E00	3.57E-02	NaN	CD36,CSF2,CXCL8,IL1A,IL1B,LIF,NOX4,TLR4	
Agranulocyte Adhesion and Diapedesis	2.76E00	3.57E-02	NaN	C5AR1,CXCL1,CXCL8,IL1A,IL1B,MMP24,MYO5C,VCAM1	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	2.71E00	2.97E-02	NaN	ADAMTS4,C5AR1,CSF2,CXCL8,IL1A,IL1B,IRAK2,PLCZ1,TLR4,VCAM1	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	2.67E00	5.43E-02	NaN	CXCL8,IL1A,IL1B,OAS2,TLR4	
Post-translational modification: synthesis of GPI-anchored proteins	2.65E00	5.38E-02	NaN	GPIHBP1,MELTF,OTOA,VNN1,VNN2	
Aryl Hydrocarbon Receptor Signaling	2.64E00	3.83E-02	NaN	ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,CYP2C18,IL1A,IL1B	
Osteoarthritis Pathway	2.6E00	3.36E-02	NaN	ADAMTS4,BMP2,CTNNA2,CXCL8,EPAS1,IL1B,ITGA7,TLR4	
IL-17 Signaling	2.57E00	3.7E-02	NaN	CSF2,CSF3,CXCL1,CXCL8,IL1A,IL1B,LIF	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	2.53E00	3.65E-02	NaN	COL9A2,CXCL8,IL1A,IL1B,MYO5C,TLR4,VCAM1	
Interleukin-1 processing	2.48E00	2.22E-01	NaN	IL1A,IL1B	
Wound Healing Signaling Pathway	2.48E00	3.21E-02	NaN	ACVR1C,COL9A2,CSF2,CXCL8,IL1A,IL1B,LAMC2,LIF	
CDX Gastrointestinal Cancer Signaling Pathway	2.47E00	3.55E-02	NaN	BMP2,CSF2,CXCL8,IL1A,IL1B,LIF,NOX4	
Sleep REM Signaling Pathway	2.4E00	4.72E-02	NaN	CSF2,CXCL8,IL1A,IL1B,LIF	
Fatty Acid β-oxidation I	2.35E00	8.82E-02	NaN	ACSL5,ACSL6,SDS	
Coagulation System	2.31E00	8.57E-02	NaN	SERPINA1,SERPIND1,THBD	
Gustation Pathway	2.3E00	3.32E-02	NaN	ABCC8,CACNA1D,CD36,GABRB3,KCNQ3,LIPH,SCN1A	
O-linked glycosylation	2.28E00	4.42E-02	NaN	ADAMTS14,ADAMTS4,GALNT18,GALNT5,GCNT3	
Preeclampsia Signaling Pathway	2.28E00	3.73E-02	NaN	IL1A,IL1B,KCNMB3,LIF,TLR4,VCAM1	
Hematopoiesis from Multipotent Stem Cells	2.23E00	1.67E-01	NaN	CSF2,CSF3	
Cerebral Malformation Signaling Pathway	2.22E00	4.27E-02	NaN	CXCL8,IL1A,IL1B,THBD,TLR4	
Complement System	2.18E00	7.69E-02	NaN	C4BPB,C5AR1,CFB	
Hepatic Cholestasis	2.16E00	3.11E-02	NaN	CSF2,CXCL8,IL1A,IL1B,IRAK2,LIF,TLR4	
TREM1 Signaling	2.12E00	5.06E-02	NaN	CSF2,CXCL8,IL1B,TLR4	
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	2.12E00	5.06E-02	NaN	CXCL8,IL1B,PLA2G4C,TLR4	
IL-17A Signaling in Fibroblasts	2.1E00	5E-02	NaN	CSF2,CXCL1,IL1B,VCAM1	
Role of IL-17A in Psoriasis	2.09E00	1.43E-01	NaN	CXCL1,CXCL8	
MyD88:MAL(TIRAP) cascade initiated on plasma membrane	2.09E00	7.14E-02	NaN	CD36,IRAK2,TLR4	
