© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Cellular Effects of Sildenafil (Viagra)	6.37E00	5.4E-02	NaN	ADCY2,ADCY5,ADCY8,ADGRB3,ADORA2B,ADRB2,ATP2A1,CACNA1C,CACNA1E,CACNA2D3,CAPN3,CAPN6,CAPN8,CCRL2,CNGB3,EDNRA,GABBR2,GALR2,GNG4,GPR143,GPR156,GPR87,GRM8,GRPR,LGR5,MC5R,MYO18B,NPFFR2,PDE3B,PGF,PPARGC1A,PPM1J,PRKAR1B,PTAFR,RXFP1,S1PR3,S1PR4	
CREB Signaling in Neurons	5.23E00	5.19E-02	NaN	ADCY2,ADCY5,ADCY8,ADGRB3,ADORA2B,ADRB2,BMPR1B,CACNA1C,CACNA1E,CACNA2D3,CCRL2,EDNRA,GABBR2,GALR2,GNA15,GNAO1,GNG4,GPR143,GPR156,GPR87,GRM8,GRPR,HGF,LGR5,MC5R,NGFR,NPFFR2,PRKAR1B,PTAFR,RXFP1,S1PR3,S1PR4	
GABAergic Receptor Signaling Pathway (Enhanced)	4.92E00	9.29E-02	NaN	ADCY2,ADCY5,ADCY8,CACNA1C,CACNA1E,CACNA2D3,GABBR2,GABRG3,GABRR3,GNAO1,GNG4,KCNJ3,PRKAR1B	
Molecular Mechanisms of Cancer	4.85E00	4.53E-02	NaN	ADCY2,ADCY5,ADCY8,ADGRB3,ADORA2B,ADRB2,BMPR1B,CCRL2,CDKN1A,EDNRA,GABBR2,GALR2,GNA15,GNAO1,GNG4,GPR143,GPR156,GPR87,GRM8,GRPR,HGF,IL22RA1,IL7R,ITGA8,ITGA9,ITGAM,LGR5,MC5R,MMP23B,NPFFR2,PMAIP1,PRKAR1B,PTAFR,RASGRF1,RND1,RND3,RXFP1,S1PR3,S1PR4	
Cardiac β-adrenergic Signaling	4.66E00	8.24E-02	NaN	ADCY2,ADCY5,ADCY8,ATP2A1,CACNA1C,CACNA1E,CACNA2D3,GNA15,GNAO1,GNG4,PDE2A,PDE3B,PPM1J,PRKAR1B	
Lung Ionic Balance Signaling Pathway	4.48E00	5.17E-02	NaN	ADGRB3,ADORA2B,ADRB2,CCRL2,CLCA2,CNGB3,EDNRA,ESR1,ESR2,GABBR2,GALR2,GPR143,GPR156,GPR87,GRM8,GRPR,KCNU1,LGR5,MC5R,NPFFR2,PPM1J,PRKAR1B,PTAFR,RXFP1,S1PR3,S1PR4,SLC12A1	
GABA Receptor Signaling	4.46E00	9.02E-02	NaN	ADCY2,ADCY5,ADCY8,CACNA1C,CACNA1E,CACNA2D3,GABBR2,GABRG3,GABRR3,GNA15,GNAO1,GNG4	
Serotonin Receptor Signaling	4.38E00	5.32E-02	NaN	ADCY2,ADCY5,ADCY8,ADIPOQ,ADRB2,CACNA1C,CACNA1E,CACNA2D3,GCH1,GNA15,GNAO1,GNG4,H3C14,KCNJ3,MAOB,MAPT,PLB1,PPARGC1A,PRKAR1B,RASGRF1,RND1,RND3,TRPC3,TRPC4,TTN	
GABA receptor activation	4.35E00	1.33E-01	NaN	ADCY2,ADCY5,ADCY8,GABBR2,GABRG3,GABRR3,GNG4,KCNJ3	
S100 Family Signaling Pathway	4.3E00	4.48E-02	NaN	ADGRB3,ADORA2B,ADRB2,AREG,CACNA1C,CACNA1E,CACNA2D3,CCRL2,CDKN1A,CYBB,EDNRA,ESR1,ESR2,GABBR2,GALR2,GPR143,GPR156,GPR87,GRM8,GRPR,LGR5,MC5R,MMP23B,NCF2,NGF,NPFFR2,PGF,PRKAR1B,PTAFR,RXFP1,S100A5,S1PR3,S1PR4,WNT2,WNT9A	
RHOGDI Signaling	4E00	6.82E-02	NaN	CDH17,CDH26,CDH3,CDH7,ESR1,ESR2,GNA15,GNAO1,GNG4,ITGA8,ITGA9,ITGAM,MYO18B,RND1,RND3	
Gαs Signaling	3.98E00	8.66E-02	NaN	ADCY2,ADCY5,ADCY8,ADORA2B,ADRB2,CNGB3,GNA15,GNAO1,GNG4,MC5R,PRKAR1B	
Endocannabinoid Neuronal Synapse Pathway	3.96E00	8E-02	NaN	ADCY2,ADCY5,ADCY8,CACNA1C,CACNA1E,CACNA2D3,DNAH3,GNA15,GNAO1,GNG4,KCNJ3,PRKAR1B	
Integration of energy metabolism	3.91E00	9.26E-02	NaN	ADCY2,ADCY5,ADCY8,ADIPOQ,CACNA1C,CACNA1E,GNA15,GNG4,KCNB1,PRKAR1B	
Gustation Pathway	3.65E00	6.64E-02	NaN	ADCY2,ADCY5,ADCY8,CACNA1C,CACNA1E,CACNA2D3,GABRG3,GABRR3,PDE3B,PKD2L1,PRKAR1B,SCN7A,SLC5A1,TAS2R1	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	3.62E00	1.05E-01	NaN	ADCY2,ADCY5,ADCY8,ADRB2,GNA15,GRPR,PRKAR1B,VIP	
cAMP-mediated signaling	3.56E00	6.22E-02	NaN	ADCY2,ADCY5,ADCY8,ADORA2B,ADRB2,CAMK1G,CNGB3,GABBR2,GNAO1,GRM8,MC5R,PDE2A,PDE3B,PRKAR1B,S1PR3	
Mitochondrial Division Signaling Pathway	3.54E00	7.23E-02	NaN	CACNA1C,CACNA1E,CACNA2D3,GNA15,HGF,NGFR,PGF,PPM1J,PRKAR1B,S1PR3,S1PR4,TNFRSF1B	
