© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	1.96E00	2.98E-02	NaN	ACP5,CSF1,DLX5,IL33,IL6,SFRP4,SMAD6	
Elastic fibre formation	1.96E00	6.67E-02	NaN	LOX,LOXL4,VTN	
Synthesis of Prostaglandins (PG) and Thromboxanes (TX)	1.93E00	6.52E-02	NaN	NAD ,PTGDS,PTGIS	
Role of IL-17F in Allergic Inflammatory Airway Diseases	1.93E00	6.52E-02	NaN	CCL2,CCL7,IL6	
Integrin cell surface interactions	1.93E00	4.65E-02	NaN	COL8A1,ITGA1,MADCAM1,VTN	
Prostanoid Biosynthesis	1.89E00	1.18E-01	NaN	PTGDS,PTGIS	
Hepatic Fibrosis Signaling Pathway	1.89E00	2.35E-02	NaN	AGTR1,CACNB4,CCL2,CCL5,FTH1,IL33,ITGA1,PDGFRA,RHOU,SOD2	
Acetone Degradation I (to Methylglyoxal)	1.88E00	6.25E-02	NaN	CYP2A6,CYP2E1,CYP2J2	
Atherosclerosis Signaling	1.87E00	3.65E-02	NaN	CCL2,CSF1,IL33,IL6,TNFSF14	
Signal regulatory protein family interactions	1.84E00	1.11E-01	NaN	SIRPB1,SIRPG	
NOD1/2 Signaling Pathway	1.83E00	3.11E-02	NaN	CCL2,IL33,IL6,TLR7,TNFSF13B,TNFSF14	
Regulation of the Epithelial Mesenchymal Transition by Growth Factors Pathway	1.82E00	3.09E-02	NaN	FGF11,FGF7,IL6,PDGFRA,TNFSF13B,TNFSF14	
Nicotine Degradation II	1.78E00	4.21E-02	NaN	CYP2A6,CYP2E1,CYP2J2,UGT1A7	
Autism Signaling Pathway	1.77E00	2.52E-02	NaN	ALDH1L1,BCYRN1,CACNB4,CCL2,IL33,IL6,TNFSF13B,TNFSF14	
Retinoate Biosynthesis I	1.77E00	5.66E-02	NaN	AKR1B1,NAD ,RDH5	
Melatonin Degradation I	1.77E00	4.17E-02	NaN	CYP2A6,CYP2E1,CYP2J2,UGT1A7	
Cohesin Chromatin Regulation Pathway	1.72E00	2.66E-02	NaN	DCHS2,H2AB3,PCDH1,PCDH10,PCDH12,PCDH7,PCDHGA4	
FXR/RXR Activation	1.71E00	2.93E-02	NaN	IL33,IL6,mir-186,TNFSF13B,TNFSF14,TXNIP	
CSDE1 Signaling Pathway	1.71E00	5.36E-02	NaN	BCYRN1,CCL2,SDC4	
Fructose metabolism	1.68E00	9.09E-02	NaN	AKR1B1,NAD 	
Hematoma Resolution Signaling Pathway	1.66E00	2.59E-02	NaN	FTH1,IL33,IL6,PLAT,SOD2,TNFSF13B,TNFSF14	
Parkinson's Signaling Pathway	1.66E00	2.4E-02	NaN	ALDH1L1,CACNB4,GRIA3,IL33,IL6,TLR7,TNFSF13B,TNFSF14	
Synaptic adhesion-like molecules	1.64E00	8.7E-02	NaN	DLG4,GRIA3	
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	1.64E00	8.7E-02	NaN	CCL2,CCL5	
Apelin Cardiac Fibroblast Signaling Pathway	1.64E00	8.7E-02	NaN	AGTR1,IL6	
Role of IL-17A in Arthritis	1.63E00	5E-02	NaN	CCL2,CCL5,CCL7	
Sleep REM Signaling Pathway	1.57E00	3.64E-02	NaN	IL33,IL6,TNFSF13B,TNFSF14	
Synthesis, secretion, and deacylation of Ghrelin	1.57E00	8E-02	NaN	BCHE,PCSK1	
Fatty Acid α-oxidation	1.57E00	8E-02	NaN	BCO2,NAD 	
MSP-RON Signaling Pathway	1.57E00	4.76E-02	NaN	CCL2,CSF1,CSF2RB	
Class A/1 (Rhodopsin-like receptors)	1.56E00	2.17E-02	NaN	AGTR1,CCL2,CCL5,CCL7,FPR1,GPER1,GPR68,LPAR1,PTGIR	
Superpathway of Melatonin Degradation	1.55E00	3.57E-02	NaN	CYP2A6,CYP2E1,CYP2J2,UGT1A7	
FOXO-mediated transcription	1.54E00	7.69E-02	NaN	NAD ,TXNIP	
Aspirin ADME	1.54E00	4.62E-02	NaN	BCHE,CYP2E1,UGT1A7	
SPINK1 General Cancer Pathway	1.5E00	4.48E-02	NaN	IL6,MT1X,MT2A	
Cerebral Malformation Signaling Pathway	1.49E00	3.42E-02	NaN	CCL2,CCL5,IL33,SOD2	
Phagosome Formation	1.47E00	1.81E-02	NaN	AGTR1,FPR1,GPER1,GPR146,GPR68,ITGA1,JCHAIN,LBP,LPAR1,PTGIR,RAPGEF4,TLR7,VTN	
Nicotinate metabolism	1.45E00	4.29E-02	NaN	NAD ,PTGIS,SLC22A13	
TNFs bind their physiological receptors	1.45E00	6.9E-02	NaN	TNFSF13B,TNFSF14	
Fertilization	1.43E00	6.67E-02	NaN	HVCN1,ZP1	
Insulin processing	1.43E00	6.67E-02	NaN	CPE,PCSK1	
Glioma Invasiveness Signaling	1.42E00	4.17E-02	NaN	RHOU,TIMP3,VTN	
Antioxidant Action of Vitamin C	1.42E00	3.25E-02	NaN	CSF2RB,SLC23A1,SLC23A3,SLC2A5	
Hepatic Cholestasis	1.41E00	2.48E-02	NaN	GPER1,IL33,IL6,LBP,TNFSF13B,TNFSF14	
cAMP-mediated signaling	1.39E00	2.45E-02	NaN	AGTR1,FPR1,GPER1,LPAR1,PTGIR,RAPGEF4	
