© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Toll-like Receptor Signaling	3.45E00	7.79E-02	NaN	IL1A,IL1B,IL36B,IRAK2,TLR4,TNFAIP3	
Xenobiotic Metabolism AHR Signaling Pathway	3.42E00	6.42E-02	NaN	ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,IL1A,IL1B,UGT1A1	
Agranulocyte Adhesion and Diapedesis	3.35E00	4.46E-02	NaN	C5AR1,CCR7,CXCL1,CXCL8,IL1A,IL1B,IL36B,MMP1,MYO5C,VCAM1	
Hepatic Cholestasis	3.33E00	4.44E-02	NaN	ABCG8,CSF2,CXCL8,ESR1,IL1A,IL1B,IL36B,IRAK2,LIF,TLR4	
Glycation Signaling Pathway	3.33E00	4.44E-02	NaN	CD36,CSF2,CXCL8,IL1A,IL1B,IL36B,IRAK2,LIF,NOX4,VCAM1	
Macrophage Classical Activation Signaling Pathway	3.28E00	4.79E-02	NaN	CSF2,CXCL8,HLA-DPA1,HLA-DRB1,IL1A,IL1B,IL36B,LIF,TLR4	
S100 Family Signaling Pathway	3.18E00	2.69E-02	NaN	ADGRD1,C5AR1,CACNA1D,CALCRL,CCR7,CD36,CXCL8,ESR1,FZD3,GPR35,GPR37L1,IL1B,IRAK2,MMP1,NOX4,PLA2G4C,PLCZ1,PTGER3,RGR,TLR4,VCAM1	
CDX Gastrointestinal Cancer Signaling Pathway	3.14E00	4.57E-02	NaN	BMP2,CSF2,CXCL8,FZD3,IL1A,IL1B,IL36B,LIF,NOX4	
Adrenergic Receptor Signaling Pathway (Enhanced)	3.12E00	4.55E-02	NaN	CACNA1D,CSF2,CXCL8,IL1A,IL1B,IL36B,IL4I1,LIF,PLCZ1	
Role of Osteoblasts in Rheumatoid Arthritis Signaling Pathway	3.11E00	4.17E-02	NaN	BMP2,CSF2,CXCL8,FZD3,IL1A,IL1B,IL36B,LIF,MMP1,STAT4	
HMGB1 Signaling	3.1E00	5E-02	NaN	CSF2,CXCL8,IL1A,IL1B,IL36B,LIF,TLR4,VCAM1	
NAD Biosynthesis III	3.06E00	5E-01	NaN	NMNAT2,NMNAT3	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	3.03E00	6.52E-02	NaN	CXCL8,IL1A,IL1B,IL36B,OAS2,TLR4	
Ethanol Degradation II	3.03E00	1.11E-01	NaN	ALDH1A1,ALDH1A2,ALDH1A3,ALDH2	
Wound Healing Signaling Pathway	2.99E00	4.02E-02	NaN	COL9A2,CSF2,CXCL8,IL1A,IL1B,IL36B,LAMC2,LIF,MMP1,MST1R	
Replacement of protamines by nucleosomes in the male pronucleus	2.98E00	1.08E-01	NaN	H2BC12,H2BC15,H4C16,H4C9	
Serotonin Degradation	2.96E00	6.32E-02	NaN	ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,IL4I1,UGT1A1	
Oxidative Ethanol Degradation III	2.9E00	7.58E-02	NaN	ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,CYP2C18	
Complement System	2.9E00	1.03E-01	NaN	C4BPB,C5AR1,C7,CFB	
G alpha (i) signalling events	2.88E00	3.88E-02	NaN	C5AR1,CCR7,CXCL1,CXCL8,GPR37L1,PSAP,PTGER3,RGR,RGSL1,SAA1	
NAD Biosynthesis from 2-amino-3-carboxymuconate Semialdehyde	2.84E00	4E-01	NaN	NMNAT2,NMNAT3	
NAD Salvage Pathway III	2.84E00	4E-01	NaN	NMNAT2,NMNAT3	
NAFLD Signaling Pathway	2.75E00	4.02E-02	NaN	CD36,CSF2,CXCL8,IL1A,IL1B,IL36B,LIF,NOX4,TLR4	
Aryl Hydrocarbon Receptor Signaling	2.72E00	4.37E-02	NaN	ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,CYP2C18,ESR1,IL1A,IL1B	
Sleep REM Signaling Pathway	2.72E00	5.66E-02	NaN	CSF2,CXCL8,IL1A,IL1B,IL36B,LIF	
Post-translational protein phosphorylation	2.7E00	5.61E-02	NaN	AFP,CP,MELTF,SERPINA1,SERPIND1,TMEM132A	
Senescence-Associated Secretory Phenotype (SASP)	2.68E00	6.76E-02	NaN	CXCL8,H2AC6,H2BC12,H2BC15,IL1A	
Tryptophan Degradation to 2-amino-3-carboxymuconate Semialdehyde	2.67E00	3.33E-01	NaN	KMO,KYNU	
IL-17 Signaling	2.64E00	4.23E-02	NaN	CSF2,CSF3,CXCL1,CXCL8,IL1A,IL1B,IL36B,LIF	
Signaling by Retinoic Acid	2.63E00	8.7E-02	NaN	ALDH1A1,ALDH1A2,ALDH1A3,DHRS3	
Role of IL-17F in Allergic Inflammatory Airway Diseases	2.63E00	8.7E-02	NaN	CSF2,CXCL1,CXCL8,IL1B	
Endocannabinoid Neuronal Synapse Pathway	2.6E00	4.67E-02	NaN	CACNA1D,DAGLA,DNAH3,GRIN2A,KCNJ6,PLCZ1,RIMS1	
