© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
GABA Receptor Signaling	1.1E00	3.01E-02	NaN	CACNA1D,GABRB3,KCNQ3,SLC6A13	
Tuberculosis Active Signaling Pathway	1.1E00	2.45E-02	NaN	C5AR1,HLA-DPA1,HLA-DRB1,IL1B,TLR4,TNFRSF8	
Estrogen-Dependent Breast Cancer Signaling	1.09E00	3.61E-02	NaN	AKR1B15,ESR1,HSD17B2	
IL-27 Signaling Pathway	1.09E00	2.99E-02	NaN	C5AR1,CD28,CSF2,TLR4	
Formation of Fibrin Clot (Clotting Cascade)	1.09E00	5.13E-02	NaN	SERPIND1,THBD	
Fructose metabolism	1.09E00	1.43E-01	NaN	ALDH1A1	
Sertoli Cell-Sertoli Cell Junction Signaling	1.08E00	2.43E-02	NaN	CDH26,CDH7,CTNNA2,EPN3,IL1A,LAMC2	
Activation of anterior HOX genes in hindbrain during early embryogenesis	1.08E00	3.57E-02	NaN	H2AC6,H2BC12,H2BC15	
Cyclophilin Signaling Pathway	1.07E00	2.41E-02	NaN	CD36,CXCL1,CXCL8,IL1B,NOX4,VCAM1	
Leukocyte Extravasation Signaling	1.05E00	2.58E-02	NaN	CTNNA2,MMP1,NOX4,VAV3,VCAM1	
STAT3 Pathway	1.04E00	2.88E-02	NaN	FLT1,IL13RA2,IL1A,IL1B	
Oxidative Stress Induced Senescence	1.03E00	3.41E-02	NaN	H2AC6,H2BC12,H2BC15	
Adenine and Adenosine Salvage III	1.03E00	1.25E-01	NaN	ADA	
Purine Ribonucleosides Degradation to Ribose-1-phosphate	1.03E00	1.25E-01	NaN	ADA	
Th2 Pathway	1.03E00	2.84E-02	NaN	CD28,HLA-DPA1,HLA-DRB1,STAT4	
Telomere Maintenance	1.02E00	3.37E-02	NaN	H2AC6,H2BC12,H2BC15	
DAP12 interactions	1.02E00	4.65E-02	NaN	TREM1,VAV3	
Antigen Presentation Pathway	1.02E00	4.65E-02	NaN	HLA-DPA1,HLA-DRB1	
Superpathway of Melatonin Degradation	1E00	3.3E-02	NaN	CYP2C18,IL4I1,UGT1A1	
TAK1-dependent IKK and NF-kappa-B activation	9.99E-01	4.55E-02	NaN	IRAK2,SAA1	
Assembly and cell surface presentation of NMDA receptors	9.99E-01	4.55E-02	NaN	GRIN2A,NEFL	
Aspirin ADME	9.99E-01	4.55E-02	NaN	SLCO2B1,UGT1A1	
Retinoid metabolism and transport	9.99E-01	4.55E-02	NaN	AKR1C4,GPIHBP1	
Axonal Guidance Signaling	9.89E-01	1.93E-02	NaN	ADAM21,ADAMTS14,ADAMTS4,BMP2,FZD3,MMP1,PAPPA,PLCZ1,PLXNB3,SEMA3E	
Cohesin Chromatin Regulation Pathway	9.85E-01	2.28E-02	NaN	ESR1,FAT2,H2AC6,H2BC12,H2BC15,PCDH15	
Bile acid and bile salt metabolism	9.83E-01	4.44E-02	NaN	AKR1C4,SLC51A	
OAS antiviral response	9.81E-01	1.11E-01	NaN	OAS2	
Atorvastatin ADME	9.81E-01	1.11E-01	NaN	SLCO2B1	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	9.8E-01	3.23E-02	NaN	CSF2,DGKB,VAV3	
Glutaminergic Receptor Signaling Pathway (Enhanced)	9.79E-01	2.15E-02	NaN	CACNA1D,DGKB,GABRB3,GRIN2A,PLA2G4C,PLCZ1,SCN1A	
Deubiquitination	9.74E-01	2.26E-02	NaN	ESR1,H2AC6,H2BC12,H2BC15,TNFAIP3,TNIP1	
Molecular Mechanisms of Cancer	9.73E-01	1.74E-02	NaN	ADGRD1,BMP2,C5AR1,CALCRL,CCR7,CTNNA2,FZD3,GPR35,GPR37L1,IL13RA2,IL1A,IL1B,MMP1,PTGER3,RGR	
MIF Regulation of Innate Immunity	9.67E-01	4.35E-02	NaN	PLA2G4C,TLR4	
Interleukin-2 family signaling	9.51E-01	4.26E-02	NaN	CSF2,STAT4	
Factors Promoting Cardiogenesis in Vertebrates	9.46E-01	2.65E-02	NaN	BMP2,FZD3,NOX4,PLCZ1	
Neurotransmitter clearance	9.38E-01	1E-01	NaN	ALDH2	
Nonhomologous End-Joining (NHEJ)	9.21E-01	4.08E-02	NaN	H2BC12,H2BC15	
iNOS Signaling	9.21E-01	4.08E-02	NaN	IRAK2,TLR4	
Serotonin Receptor Signaling	9.12E-01	1.91E-02	NaN	CACNA1D,CCR7,CXCL8,IL1B,IL4I1,KCNJ6,KCNQ3,PLA2G4C,PLCZ1	
nNOS Signaling in Neurons	9.07E-01	4E-02	NaN	CAPN3,GRIN2A	
nNOS Signaling in Skeletal Muscle Cells	9.07E-01	4E-02	NaN	CACNA1D,CAPN3	
Neuropathic Pain Signaling in Dorsal Horn Neurons	9.01E-01	2.97E-02	NaN	GRIN2A,KCNQ3,PLCZ1	
Phenylalanine and tyrosine metabolism	8.99E-01	9.09E-02	NaN	IL4I1	
Aspartate and asparagine metabolism	8.99E-01	9.09E-02	NaN	GADL1	
Insulin Secretion Signaling Pathway	8.97E-01	2.15E-02	NaN	ABCC8,ABCC9,CACNA1D,KCNB1,PLCZ1,STAT4	
Pyroptosis Signaling Pathway	8.91E-01	2.94E-02	NaN	IL1A,IL1B,TLR4	
Gene Silencing by RNA	8.91E-01	2.94E-02	NaN	H2AC6,H2BC12,H2BC15	
ABC-family proteins mediated transport	8.82E-01	2.91E-02	NaN	ABCC11,ABCC9,ABCG8	
Eicosanoid Signaling	8.81E-01	2.13E-02	NaN	ABCC9,KCNMB3,PLA2G4C,PLCZ1,PTGER3,SLCO2A1	
Mitotic Prophase	8.73E-01	2.88E-02	NaN	H2AC6,H2BC12,H2BC15	
DNA Replication Pre-Initiation	8.73E-01	2.88E-02	NaN	H2AC6,H2BC12,H2BC15	
Oxytocin Signaling Pathway	8.66E-01	2.11E-02	NaN	ABCC9,CACNA1D,CD36,CXCL8,MYO5C,PLA2G4C	
Necroptosis Signaling Pathway	8.58E-01	2.45E-02	NaN	CAPN3,PLA2G4C,TLR4,TNIP1	
Retinol Biosynthesis	8.53E-01	3.7E-02	NaN	DHRS3,PNLIPRP3	
Extracellular matrix organization	8.47E-01	2.8E-02	NaN	CEACAM1,COL9A2,LAMC2	
Signaling by VEGF	8.47E-01	2.8E-02	NaN	FLT1,PRR5L,VAV3	
Lymphotoxin β Receptor Signaling	8.4E-01	3.64E-02	NaN	CXCL1,VCAM1	
PPAR Signaling	8.38E-01	2.78E-02	NaN	IL1A,IL1B,IL36B	
Dissolution of Fibrin Clot	8.32E-01	7.69E-02	NaN	SERPINB2	
Advanced glycosylation endproduct receptor signaling	8.32E-01	7.69E-02	NaN	SAA1	
NLR signaling pathways	8.27E-01	3.57E-02	NaN	IRAK2,TNFAIP3	
E3 ubiquitin ligases ubiquitinate target proteins	8.27E-01	3.57E-02	NaN	H2BC12,H2BC15	
Phototransduction Pathway	8.27E-01	3.57E-02	NaN	RGR,SAG	
BBSome Signaling Pathway	8.24E-01	1.83E-02	NaN	ADGRD1,C5AR1,CALCRL,CCR7,FZD3,GPR35,GPR37L1,PTGER3,RGR	
Sphingolipid metabolism	8.21E-01	2.73E-02	NaN	GBA3,HYAL4,PSAP	
Neurexins and neuroligins	8.15E-01	3.51E-02	NaN	GRIN2A,LRRTM2	
Xenobiotic Metabolism CAR Signaling Pathway	8.06E-01	2.15E-02	NaN	ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,UGT1A1	
Phase I - Functionalization of compounds	7.97E-01	2.65E-02	NaN	ALDH1A1,ALDH2,CYP2C18	
DNA Double Strand Break Response	7.92E-01	3.39E-02	NaN	H2BC12,H2BC15	
Binding and Uptake of Ligands by Scavenger Receptors	7.89E-01	2.63E-02	NaN	CD36,IGLV1-51,SAA1	
PD-1, PD-L1 cancer immunotherapy pathway	7.89E-01	2.63E-02	NaN	CD28,HLA-DPA1,HLA-DRB1	
GABA receptor activation	7.8E-01	3.33E-02	NaN	GABRB3,KCNJ6	
Assembly of collagen fibrils and other multimeric structures	7.69E-01	3.28E-02	NaN	COL9A2,LAMC2	
Cholecystokinin/Gastrin-mediated Signaling	7.66E-01	2.56E-02	NaN	IL1A,IL1B,IL36B	
Dopamine-DARPP32 Feedback in cAMP Signaling	7.62E-01	2.25E-02	NaN	CACNA1D,GRIN2A,KCNJ6,PLCZ1	
MSP-RON Signaling Pathway	7.58E-01	3.23E-02	NaN	MST1R,TLR4	
Caspase activation via Death Receptors in the presence of ligand	7.49E-01	6.25E-02	NaN	TLR4	
Extrinsic Prothrombin Activation Pathway	7.49E-01	6.25E-02	NaN	THBD	
NCAM signaling for neurite out-growth	7.47E-01	3.17E-02	NaN	CACNA1D,COL9A2	
Stearate Biosynthesis I (Animals)	7.47E-01	3.17E-02	NaN	ACSL5,ACSL6	
Fc Epsilon RI Signaling	7.44E-01	2.5E-02	NaN	CSF2,PLA2G4C,VAV3	
Collagen degradation	7.37E-01	3.12E-02	NaN	COL9A2,MMP1	
Semaphorin interactions	7.37E-01	3.12E-02	NaN	PLXNB3,SEMA3E	
Chondroitin Sulfate Degradation (Metazoa)	7.26E-01	5.88E-02	NaN	HYAL4	
Adenosine Nucleotides Degradation II	7.26E-01	5.88E-02	NaN	ADA	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	7.22E-01	2.44E-02	NaN	BMP2,FZD3,LIF	
WNT/Ca+ pathway	7.17E-01	3.03E-02	NaN	FZD3,PLCZ1	
Collagen biosynthesis and modifying enzymes	7.07E-01	2.99E-02	NaN	ADAMTS14,COL9A2	
PXR/RXR Activation	7.07E-01	2.99E-02	NaN	ALDH1A1,UGT1A1	
Metabolism of amine-derived hormones	7.03E-01	5.56E-02	NaN	DUOX2	
Dermatan Sulfate Degradation (Metazoa)	7.03E-01	5.56E-02	NaN	HYAL4	
Phospholipases	6.97E-01	2.94E-02	NaN	PLA2G4C,PLCZ1	
Chromatin organization	6.97E-01	1.96E-02	NaN	H2AC6,H2BC12,H2BC15,H4C16,H4C9	
GP6 Signaling Pathway	6.88E-01	2.34E-02	NaN	COL9A2,LAMC2,VAV3	
Bile Acid Biosynthesis, Neutral Pathway	6.82E-01	5.26E-02	NaN	AKR1C4	
Dendritic Cell Maturation	6.81E-01	1.65E-02	NaN	CCR7,CSF2,HLA-DPA1,HLA-DRB1,IL1A,IL1B,IL36B,PLCZ1,STAT4,TLR4	
Cardiac conduction	6.75E-01	2.31E-02	NaN	ABCC9,CORIN,SCN1A	
SUMOylation of chromatin organization proteins	6.69E-01	2.82E-02	NaN	H4C16,H4C9	
Basal Cell Carcinoma Signaling	6.69E-01	2.82E-02	NaN	BMP2,FZD3	
Interleukin-12 family signaling	6.63E-01	5E-02	NaN	STAT4	
Purine Nucleotides Degradation II (Aerobic)	6.63E-01	5E-02	NaN	ADA	
Regulation of RUNX2 expression and activity	6.6E-01	2.78E-02	NaN	BMP2,ESR1	
PPARα/RXRα Activation	6.53E-01	2.02E-02	NaN	CD36,CYP2C18,IL1B,PLCZ1	
Gα12/13 Signaling	6.5E-01	2.24E-02	NaN	CDH26,CDH7,VAV3	
Gap Junction Signaling	6.47E-01	1.79E-02	NaN	DAGLA,IL1B,KCNQ3,PLA2G4C,PLCZ1,TLR4	
Synaptic adhesion-like molecules	6.44E-01	4.76E-02	NaN	GRIN2A	
Olfactory Signaling Pathway	6.43E-01	2.7E-02	NaN	OR1D2,OR2AT4	
Oxytocin in Brain Signaling Pathway	6.38E-01	1.99E-02	NaN	CACNA1D,IL1B,PLA2G4C,TLR4	
Pulmonary Healing Signaling Pathway	6.38E-01	1.99E-02	NaN	CSF2,FZD3,MMP1,TLR4	
Nicotine Degradation III	6.34E-01	2.67E-02	NaN	CYP2C18,UGT1A1	
Neutrophil Extracellular Trap Signaling Pathway	6.33E-01	1.71E-02	NaN	COL9A2,CXCL8,IL1B,NOX4,PLA2G4C,PLCZ1,TLR4	
Ferroptosis Signaling Pathway	6.31E-01	2.19E-02	NaN	H2BC12,H2BC15,NOX4	
Plasma lipoprotein assembly, remodeling, and clearance	6.26E-01	2.63E-02	NaN	GPIHBP1,PCSK5	
Reelin Signaling in Neurons	6.25E-01	2.17E-02	NaN	ARHGEF37,DNAH3,GRIN2A	
Sheddase Signaling Pathway	6.23E-01	1.96E-02	NaN	CCR7,IGFBP2,IL1B,MMP1	
Angiopoietin Signaling	6.18E-01	2.6E-02	NaN	ANGPTL1,TNIP1	
Nucleotide salvage	6.1E-01	4.35E-02	NaN	ADA	
G-Protein Coupled Receptor Signaling	5.95E-01	1.54E-02	NaN	ADGRD1,C5AR1,CALCRL,CCR7,FZD3,GPR35,GPR37L1,HCN4,KCNQ3,PTGER3,RGR	
G alpha (12/13) signalling events	5.94E-01	2.5E-02	NaN	ARHGEF37,VAV3	
Other interleukin signaling	5.94E-01	4.17E-02	NaN	CSF3	
Interleukin-6 family signaling	5.94E-01	4.17E-02	NaN	LIF	
Bone Mineralization Signaling Pathway	5.91E-01	2.08E-02	NaN	BMP2,FZD3,PLCZ1	
Activin Inhibin Signaling Pathway	5.86E-01	1.89E-02	NaN	IL1A,IL1B,IL36B,TLR4	
DDX58/IFIH1-mediated induction of interferon-alpha/beta	5.86E-01	2.47E-02	NaN	SAA1,TNFAIP3	
PIP3 activates AKT signaling	5.85E-01	2.07E-02	NaN	CD28,ESR1,PRR5L	
MyD88 cascade initiated on plasma membrane	5.78E-01	4E-02	NaN	IRAK2	
Transport of bile salts and organic acids, metal ions and amine compounds	5.64E-01	2.38E-02	NaN	CP,SLC6A13	
Fertilization	5.64E-01	3.85E-02	NaN	ADAM21	
Interleukin-20 family signaling	5.64E-01	3.85E-02	NaN	STAT4	
Cardiomyocyte Differentiation via BMP Receptors	5.64E-01	3.85E-02	NaN	BMP2	
Estrogen-mediated S-phase Entry	5.64E-01	3.85E-02	NaN	ESR1	
Bupropion Degradation	5.64E-01	3.85E-02	NaN	CYP2C18	
The Visual Cycle	5.64E-01	3.85E-02	NaN	DHRS3	
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	5.64E-01	3.85E-02	NaN	PLCZ1	
Calcium Signaling	5.6E-01	1.83E-02	NaN	CACNA1D,GRIN2A,MYO5C,TNNT2	
Integrin cell surface interactions	5.57E-01	2.35E-02	NaN	COL9A2,VCAM1	
Activation of NMDA receptors and postsynaptic events	5.57E-01	2.35E-02	NaN	GRIN2A,NEFL	
Melatonin Degradation I	5.57E-01	2.35E-02	NaN	CYP2C18,UGT1A1	
Nicotine Degradation II	5.57E-01	2.35E-02	NaN	CYP2C18,UGT1A1	
RHOGDI Signaling	5.52E-01	1.82E-02	NaN	CDH26,CDH7,ESR1,MYO5C	
VEGF Family Ligand-Receptor Interactions	5.5E-01	2.33E-02	NaN	FLT1,PLA2G4C	
ATF4 activates genes in response to endoplasmic reticulum stress	5.5E-01	3.7E-02	NaN	CXCL8	
Digestion	5.5E-01	3.7E-02	NaN	PNLIPRP3	
Sulfur amino acid metabolism	5.37E-01	3.57E-02	NaN	GADL1	
SUMOylation of intracellular receptors	5.24E-01	3.45E-02	NaN	ESR1	
Interconversion of nucleotide di- and triphosphates	5.24E-01	3.45E-02	NaN	GLRX	
Myogenesis	5.24E-01	3.45E-02	NaN	CTNNA2	
TNFs bind their physiological receptors	5.24E-01	3.45E-02	NaN	TNFRSF8	
Paracetamol ADME	5.24E-01	3.45E-02	NaN	UGT1A1	
Signaling by CSF3 (G-CSF)	5.12E-01	3.33E-02	NaN	CSF3	
Regulation of CDH11 Expression and Function	5.12E-01	3.33E-02	NaN	HOXC8	
Glutathione Redox Reactions I	5.12E-01	3.33E-02	NaN	CP	
Cell junction organization	5.1E-01	2.17E-02	NaN	CDH7,LAMC2	
Signaling by BMP	5E-01	3.23E-02	NaN	BMP2	
Apelin Adipocyte Signaling Pathway	4.98E-01	2.13E-02	NaN	CP,NOX4	
Breast Cancer Regulation by Stathmin1	4.95E-01	1.49E-02	NaN	ADGRD1,C5AR1,CALCRL,CCR7,FZD3,GPR35,GPR37L1,PTGER3,RGR	
Immunogenic Cell Death Signaling Pathway	4.92E-01	2.11E-02	NaN	IL1B,TLR4	
Class B/2 (Secretin family receptors)	4.92E-01	2.11E-02	NaN	CALCRL,FZD3	
HOTAIR Regulatory Pathway	4.87E-01	1.82E-02	NaN	ESR1,MMP1,TLR4	
Prolactin Signaling	4.86E-01	2.08E-02	NaN	ABCC9,KCNMB3	
Activation of Matrix Metalloproteinases	4.78E-01	3.03E-02	NaN	MMP1	
TNFR2 Signaling	4.78E-01	3.03E-02	NaN	TNFAIP3	
Inhibition of Angiogenesis by TSP1	4.78E-01	3.03E-02	NaN	CD36	
IL-1 Signaling	4.74E-01	2.04E-02	NaN	IL1A,IRAK2	
UVA-Induced MAPK Signaling	4.74E-01	2.04E-02	NaN	PARP15,PLCZ1	
Cargo concentration in the ER	4.67E-01	2.94E-02	NaN	SERPINA1	
Aldosterone Signaling in Epithelial Cells	4.61E-01	1.75E-02	NaN	ABCC9,KCNMB3,PLCZ1	
GPVI-mediated activation cascade	4.57E-01	2.86E-02	NaN	VAV3	
Striated Muscle Contraction	4.47E-01	2.78E-02	NaN	TNNT2	
Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors	4.47E-01	2.78E-02	NaN	ESR1	
Mouse Embryonic Stem Cell Pluripotency	4.46E-01	1.94E-02	NaN	FZD3,LIF	
Pulmonary Fibrosis Idiopathic Signaling Pathway	4.37E-01	1.53E-02	NaN	COL9A2,FZD3,IL1B,MMP1,NOX4	
Regulation of TP53 Expression and Degradation	4.29E-01	2.63E-02	NaN	PRR5L	
Inhibition of Matrix Metalloproteases	4.29E-01	2.63E-02	NaN	MMP1	
MAP kinase activation	4.2E-01	2.56E-02	NaN	IRAK2	
Sperm Motility	4.18E-01	1.56E-02	NaN	FLT1,MST1R,PLA2G4C,PLCZ1	
Neurotransmitter release cycle	4.12E-01	2.5E-02	NaN	RIMS1	
NF-κB Signaling	4.04E-01	1.4E-02	NaN	BMP2,FLT1,IL1A,IL1B,IL36B,TLR4,TNFAIP3,TNIP1	
Acetone Degradation I (to Methylglyoxal)	4.03E-01	2.44E-02	NaN	CYP2C18	
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	3.92E-01	1.75E-02	NaN	H2BC12,H2BC15	
Smooth Muscle Contraction	3.87E-01	2.33E-02	NaN	ALDH2	
Oncostatin M Signaling	3.87E-01	2.33E-02	NaN	MMP1	
Intrinsic Prothrombin Activation Pathway	3.87E-01	2.33E-02	NaN	THBD	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	3.82E-01	1.56E-02	NaN	SAA4,SERPINA1,TLR4	
Elastic fibre formation	3.8E-01	2.27E-02	NaN	BMP2	
TBC/RABGAPs	3.8E-01	2.27E-02	NaN	RAB33A	
Collagen chain trimerization	3.8E-01	2.27E-02	NaN	COL9A2	
Colorectal Cancer Metastasis Signaling	3.76E-01	1.48E-02	NaN	FZD3,MMP1,PTGER3,TLR4	
Generic Transcription Pathway	3.73E-01	1.4E-02	NaN	ESR1,ZNF208,ZNF425,ZNF432,ZNF641,ZNF774	
Bladder Cancer Signaling	3.7E-01	1.68E-02	NaN	CXCL8,MMP1	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	3.7E-01	1.68E-02	NaN	CACNA1D,PLCZ1	
Nitric Oxide Signaling in the Cardiovascular System	3.66E-01	1.67E-02	NaN	CACNA1D,FLT1	
Synaptic Long Term Depression	3.62E-01	1.52E-02	NaN	CACNA1D,PLA2G4C,PLCZ1	
TCF dependent signaling in response to WNT	3.62E-01	1.52E-02	NaN	H2AC6,H2BC12,H2BC15	
Heme signaling	3.58E-01	2.13E-02	NaN	TLR4	
IL-15 Production	3.58E-01	1.64E-02	NaN	FLT1,MST1R	
Human Embryonic Stem Cell Pluripotency	3.56E-01	1.5E-02	NaN	BMP2,FZD3,LIF	
IL-13 Signaling Pathway	3.54E-01	1.63E-02	NaN	CD36,IL13RA2	
G alpha (z) signalling events	3.52E-01	2.08E-02	NaN	RGSL1	
Inositol phosphate metabolism	3.52E-01	2.08E-02	NaN	PLCZ1	
Synaptic Long Term Potentiation	3.5E-01	1.61E-02	NaN	GRIN2A,PLCZ1	
L1CAM interactions	3.5E-01	1.61E-02	NaN	KCNQ3,SCN1A	
Natural Killer Cell Signaling	3.46E-01	1.48E-02	NaN	KLRC1,STAT4,VAV3	
TCR signaling	3.42E-01	1.59E-02	NaN	HLA-DPA1,HLA-DRB1	
Glycerophospholipid biosynthesis	3.34E-01	1.56E-02	NaN	LIPH,PLA2G4C	
MHC class II antigen presentation	3.34E-01	1.56E-02	NaN	HLA-DPA1,HLA-DRB1	
Transcriptional regulation by RUNX2	3.33E-01	1.96E-02	NaN	BMP2	
NR1H2 and NR1H3-mediated signaling	3.33E-01	1.96E-02	NaN	ABCG8	
Graft-versus-Host Disease Signaling	3.31E-01	1.34E-02	NaN	CD28,HLA-DPA1,HLA-DRB1,IL1A,IL1B,IL36B	
G Beta Gamma Signaling	3.27E-01	1.54E-02	NaN	CACNA1D,KCNJ6	
Neuroprotective Role of THOP1 in Alzheimer's Disease	3.27E-01	1.54E-02	NaN	SERPINA3,TMPRSS11D	
Signaling by FGFR1	3.26E-01	1.92E-02	NaN	FLRT2	
TNFR1 Signaling	3.26E-01	1.92E-02	NaN	TNFAIP3	
Amyloid Processing	3.26E-01	1.92E-02	NaN	CAPN3	
HIF1α Signaling	3.26E-01	1.43E-02	NaN	FLT1,MMP1,NOX4	
Coronavirus Pathogenesis Pathway	3.23E-01	1.42E-02	NaN	CXCL8,IL1B,OAS2	
Keratinization	3.09E-01	1.39E-02	NaN	KRT34,PI3,RPTN	
Interleukin-3, Interleukin-5 and GM-CSF signaling	3.04E-01	1.79E-02	NaN	CSF2	
Histone Modification Signaling Pathway	3.03E-01	1.33E-02	NaN	ESR1,H2BC12,H2BC15,H4C9	
SNARE Signaling Pathway	2.99E-01	1.45E-02	NaN	MYO5C,RIMS1	
Role of PKR in Interferon Induction and Antiviral Response	2.99E-01	1.45E-02	NaN	IL1B,TLR4	
Adipogenesis pathway	2.99E-01	1.45E-02	NaN	BMP2,FZD3	
TNF signaling	2.98E-01	1.75E-02	NaN	TNFAIP3	
Folate Signaling Pathway	2.98E-01	1.75E-02	NaN	OAS2	
Signaling by PDGF	2.93E-01	1.72E-02	NaN	COL9A2	
Iron uptake and transport	2.83E-01	1.67E-02	NaN	CP	
Endometrial Cancer Signaling	2.83E-01	1.67E-02	NaN	CTNNA2	
GADD45 Signaling	2.83E-01	1.67E-02	NaN	IL1B	
PCP (Planar Cell Polarity) Pathway	2.83E-01	1.67E-02	NaN	FZD3	
Retinoic acid Mediated Apoptosis Signaling	2.78E-01	1.64E-02	NaN	PARP15	
Iron homeostasis signaling pathway	2.77E-01	1.38E-02	NaN	BMP2,CP	
Role of NFAT in Cardiac Hypertrophy	2.76E-01	1.31E-02	NaN	CACNA1D,LIF,PLCZ1	
Primary Immunodeficiency Signaling	2.74E-01	1.61E-02	NaN	ADA	
Thyroid Hormone Metabolism II (via Conjugation and/or Degradation)	2.74E-01	1.61E-02	NaN	UGT1A1	
Transcriptional Regulation by MECP2	2.69E-01	1.59E-02	NaN	GRIN2A	
Synaptogenesis Signaling Pathway	2.69E-01	1.27E-02	NaN	CDH26,CDH7,GRIN2A,LRRTM2	
RAB geranylgeranylation	2.6E-01	1.54E-02	NaN	RAB33A	
SPINK1 Pancreatic Cancer Pathway	2.6E-01	1.54E-02	NaN	CPA4	
Sertoli Cell-Germ Cell Junction Signaling Pathway (Enhanced)	2.59E-01	1.27E-02	NaN	CTNNA2,IL1A,LAMC2	
WNT/SHH Axonal Guidance Signaling Pathway	2.59E-01	1.32E-02	NaN	FZD3,SEMA3E	
CD40 Signaling	2.51E-01	1.49E-02	NaN	TNFAIP3	
IL-17A Signaling in Airway Cells	2.47E-01	1.47E-02	NaN	CXCL1	
Glutamate Receptor Signaling	2.47E-01	1.47E-02	NaN	GRIN2A	
p75 NTR receptor-mediated signalling	2.4E-01	1.27E-02	NaN	ARHGEF37,VAV3	
GM-CSF Signaling	2.39E-01	1.43E-02	NaN	CSF2	
Remodeling of Epithelial Adherens Junctions	2.35E-01	1.41E-02	NaN	CTNNA2	
HEY1 Signaling Pathway	2.32E-01	1.24E-02	NaN	BMP2,MMP1	
eNOS Signaling	2.32E-01	1.24E-02	NaN	ESR1,FLT1	
Dopamine Receptor Signaling	2.32E-01	1.39E-02	NaN	IL4I1	
COPII-mediated vesicle transport	2.28E-01	1.37E-02	NaN	SERPINA1	
Ephrin B Signaling	2.28E-01	1.37E-02	NaN	VAV3	
Xenobiotic Metabolism General Signaling Pathway	2.27E-01	1.23E-02	NaN	SLC51A,UGT1A1	
Fcgamma receptor (FCGR) dependent phagocytosis	2.25E-01	1.22E-02	NaN	IGLV1-51,VAV3	
Transcriptional Regulatory Network in Embryonic Stem Cells	2.25E-01	1.22E-02	NaN	FZD3,LIF	
Melatonin Signaling	2.24E-01	1.35E-02	NaN	PLCZ1	
ERK5 Signaling	2.24E-01	1.35E-02	NaN	LIF	
Extra-nuclear estrogen signaling	2.21E-01	1.33E-02	NaN	ESR1	
Granzyme A Signaling	2.21E-01	1.33E-02	NaN	IL1B	
Interferon alpha/beta signaling	2.17E-01	1.32E-02	NaN	OAS2	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	2.17E-01	1.32E-02	NaN	PLCZ1	
Leptin Signaling in Obesity	2.14E-01	1.3E-02	NaN	PLCZ1	
Thyroid Cancer Signaling	2.1E-01	1.28E-02	NaN	CXCL8	
Role of WNT/GSK-3β Signaling in the Pathogenesis of Influenza	2.1E-01	1.28E-02	NaN	FZD3	
Neurotrophin/TRK Signaling	2.1E-01	1.28E-02	NaN	SORCS1	
Signaling by MET	2.07E-01	1.27E-02	NaN	LAMC2	
FLT3 Signaling in Hematopoietic Progenitor Cells	1.98E-01	1.22E-02	NaN	STAT4	
CLEAR Signaling Pathway	-0E00	1.05E-02	NaN	FLT1,PSAP,TLR4	
ID1 Signaling Pathway	-0E00	9.9E-03	NaN	BMP2,LIF	
MicroRNA Biogenesis Signaling Pathway	-0E00	5.35E-03	NaN	ESR1	
Ribonucleotide Reductase Signaling Pathway	-0E00	1.15E-02	NaN	ESR1,PARP15	
Circadian Rhythm Signaling	-0E00	1.11E-02	NaN	CACNA1D,GRIN2A,PLCZ1	
Actin Cytoskeleton Signaling	-0E00	8.26E-03	NaN	MYO5C,VAV3	
Huntington's Disease Signaling	-0E00	3.48E-03	NaN	CAPN3	
Chaperone Mediated Autophagy Signaling Pathway	-0E00	4.71E-03	NaN	IL1B,MMP1,PRR5L	
Myelination Signaling Pathway	-0E00	9.15E-03	NaN	BMP2,FZD3,LAMC2	
ABRA Signaling Pathway	-0E00	1.14E-02	NaN	LIF	
WNK Renal Signaling Pathway	-0E00	9.35E-03	NaN	KLHL3	
Acetylcholine Receptor Signaling Pathway	-0E00	1.01E-02	NaN	CACNA1D,PLCZ1	
ISGylation Signaling Pathway	-0E00	9.17E-03	NaN	TLR4	
Microautophagy Signaling Pathway	-0E00	6.29E-03	NaN	COL9A2	
NFKBIE Signaling Pathway	-0E00	2.23E-03	NaN	CXCL8	
NRF2-mediated Oxidative Stress Response	-0E00	3.7E-03	NaN	CYP2C18	
Phase II - Conjugation of compounds	-0E00	9.17E-03	NaN	UGT1A1	
Glycosaminoglycan metabolism	-0E00	7.81E-03	NaN	HYAL4	
Fc epsilon receptor (FCERI) signaling	-0E00	9.71E-03	NaN	IGLV1-51,VAV3	
EPH-Ephrin signaling	-0E00	1.08E-02	NaN	VAV3	
Transcriptional regulation of white adipocyte differentiation	-0E00	1.19E-02	NaN	CD36	
