© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Pulmonary Fibrosis Idiopathic Signaling Pathway	9.83E00	4.91E-02	NaN	ADAMTS1,AXL,CCN2,COL4A1,COL4A2,COL6A3,CXCL12,EDN1,EGR1,FOS,GLI2,HES1,PIK3CD,TERT,WNT3,WNT5B	
ABRA Signaling Pathway	3.71E00	5.68E-02	NaN	CCN2,EGR1,FOS,FOSB,TPM1	
Molecular Mechanisms of Cancer	3.64E00	1.74E-02	NaN	ADGRA2,BCL2L11,CELSR2,DIRAS3,EDN1,FOS,GPR85,HES1,HTR1D,IL27RA,ITGB4,OXTR,PAK3,PIK3CD,PTGER2	
Axonal Guidance Signaling	3.51E00	2.13E-02	NaN	ADAMTS1,ADAMTS15,ADAMTS6,CXCL12,GLI2,ITGB4,PAK3,PIK3CD,SLIT2,WNT3,WNT5B	
Chronic Myeloid Leukemia Signaling	3.5E00	2.85E-02	NaN	BCL2L11,FOS,GLI2,HES1,PIK3CD,SKP2,WNT3,WNT5B	
Extracellular matrix organization	3.32E00	4.67E-02	NaN	COL4A1,COL4A2,COL6A3,ITGB4,NID1	
Assembly of collagen fibrils and other multimeric structures	3.3E00	6.56E-02	NaN	COL4A1,COL4A2,COL6A3,ITGB4	
CXCR4 Signaling	3.26E00	3.57E-02	NaN	CXCL12,DIRAS3,EGR1,FOS,PAK3,PIK3CD	
NCAM signaling for neurite out-growth	3.24E00	6.35E-02	NaN	COL4A1,COL4A2,COL6A3,GDNF	
O-linked glycosylation	3.21E00	4.42E-02	NaN	ADAMTS1,ADAMTS15,ADAMTS6,B3GNT7,GALNT16	
Hepatic Fibrosis Signaling Pathway	3.01E00	2.16E-02	NaN	CCN2,DIRAS3,EDN1,FOS,GLI2,ITGB4,PIK3CD,WNT3,WNT5B	
IL-9 Signaling	2.92E00	8.57E-02	NaN	CISH,PIK3CD,SOCS3	
G-Protein Coupled Receptor Signaling	2.88E00	1.68E-02	NaN	ADGRA2,CAMK4,CELSR2,FOS,GDPD3,GPR85,HTR1D,OXTR,PAK3,PIK3CD,PTGER2,RGS16	
Sheddase Signaling Pathway	2.82E00	2.94E-02	NaN	CCN2,COL4A1,COL4A2,FOS,ITGB4,PIK3CD	
JAK/STAT Signaling	2.8E00	4.82E-02	NaN	CISH,FOS,PIK3CD,SOCS3	
NGF-stimulated transcription	2.78E00	7.69E-02	NaN	EGR1,FOS,FOSB	
PI Metabolism	2.78E00	4.76E-02	NaN	GDPD3,INPP5J,PIK3CD,TNFAIP8L1	
NAD Signaling Pathway	2.65E00	3.31E-02	NaN	H1-10,PIK3CD,POLR2J2/POLR2J3,RYR3,SLC7A5	
Oleate Biosynthesis II (Animals)	2.64E00	1.67E-01	NaN	FADS2,SCD	
Collagen chain trimerization	2.63E00	6.82E-02	NaN	COL4A1,COL4A2,COL6A3	
Inositol phosphate metabolism	2.52E00	6.25E-02	NaN	IMPA2,INPP5J,NUDT11	
BBSome Signaling Pathway	2.51E00	1.83E-02	NaN	ADGRA2,CBX2,CELSR2,CXCL12,GLI2,GPR85,HTR1D,OXTR,PTGER2	
Role of Osteoclasts in Rheumatoid Arthritis Signaling Pathway	2.5E00	2.21E-02	NaN	CAMK4,COL4A1,COL4A2,COL6A3,DIRAS3,FOS,PIK3CD	
IGF-1 Signaling	2.42E00	3.81E-02	NaN	CCN2,FOS,PIK3CD,SOCS3	
Cyclophilin Signaling Pathway	2.39E00	2.41E-02	NaN	CXCL12,KLF2,PIK3CD,WNT3,WNT5B,ZBTB12	
D-myo-inositol (1,4,5)-trisphosphate Degradation	2.39E00	1.25E-01	NaN	IMPA2,INPP5J	
Signaling by PDGF	2.29E00	5.17E-02	NaN	COL4A1,COL4A2,COL6A3	
