© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Signaling by Rho Family GTPases	2.25E00	2.25E-02	NaN	DIRAS3,FOS,ITGB4,PAK3,PIK3CD,SEPTIN4	
Hepatitis B Chronic Liver Pathogenesis Signaling Pathway	2.25E00	2.66E-02	NaN	CAMK4,CCN2,EGR1,PIK3CD,SOCS3	
Colorectal Cancer Metastasis Signaling	2.22E00	2.21E-02	NaN	DIRAS3,FOS,PIK3CD,PTGER2,WNT3,WNT5B	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	2.21E00	2.6E-02	NaN	CCN2,COL4A1,COL4A2,COL6A3,EDN1	
Renin-Angiotensin Signaling	2.19E00	3.28E-02	NaN	FOS,PAK3,PIK3CD,PTGER2	
Collagen degradation	2.17E00	4.69E-02	NaN	COL4A1,COL4A2,COL6A3	
Formation of the ureteric bud	2.15E00	9.52E-02	NaN	GDNF,SLIT2	
Human Embryonic Stem Cell Pluripotency	2.13E00	2.5E-02	NaN	KLF2,PIK3CD,TERT,WNT3,WNT5B	
ROBO SLIT Signaling Pathway	2.12E00	3.12E-02	NaN	FOS,HES1,PAK3,SLIT2	
GP6 Signaling Pathway	2.12E00	3.12E-02	NaN	COL4A1,COL4A2,COL6A3,PIK3CD	
Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism	2.11E00	9.09E-02	NaN	IMPA2,INPP5J	
Collagen biosynthesis and modifying enzymes	2.11E00	4.48E-02	NaN	COL4A1,COL4A2,COL6A3	
S100 Family Signaling Pathway	2.1E00	1.41E-02	NaN	ADGRA2,CELSR2,FOS,GPR85,HTR1D,OXTR,PIK3CD,PTGER2,TPM1,WNT3,WNT5B	
Pathogen Induced Cytokine Storm Signaling Pathway	2.07E00	1.83E-02	NaN	COL4A1,COL4A2,COL6A3,CXCL12,FOS,RYR3,SOCS3	
IL-27 Signaling Pathway	2.05E00	2.99E-02	NaN	IL27RA,PIK3CD,SOCS3,ZBTB12	
Basal Cell Carcinoma Signaling	2.04E00	4.23E-02	NaN	GLI2,WNT3,WNT5B	
Growth Hormone Signaling	2.01E00	4.11E-02	NaN	FOS,PIK3CD,SOCS3	
Growth hormone receptor signaling	2.01E00	8E-02	NaN	CISH,SOCS3	
WNT ligand biogenesis and trafficking	1.97E00	7.69E-02	NaN	WNT3,WNT5B	
GDNF Family Ligand-Receptor Interactions	1.96E00	3.95E-02	NaN	FOS,GDNF,PIK3CD	
Cholesterol biosynthesis	1.94E00	7.41E-02	NaN	ACAT2,MSMO1	
NAFLD Signaling Pathway	1.94E00	2.23E-02	NaN	BCL2L11,FOS,PIK3CD,SCD,SOCS3	
Renal Cell Carcinoma Signaling	1.93E00	3.85E-02	NaN	FOS,PAK3,PIK3CD	
Thyroid Cancer Signaling	1.93E00	3.85E-02	NaN	FOS,GDNF,PIK3CD	
Glycation Signaling Pathway	1.93E00	2.22E-02	NaN	COL4A1,COL4A2,EGR1,FOS,PIK3CD	
CREB Signaling in Neurons	1.9E00	1.46E-02	NaN	ADGRA2,CAMK4,CELSR2,GPR85,HTR1D,OXTR,PIK3CD,POLR2J2/POLR2J3,PTGER2	
Degradation of the extracellular matrix	1.89E00	3.7E-02	NaN	ADAMTS1,FBN2,NID1	
Role of JAK family kinases in IL-6-type Cytokine Signaling	1.89E00	3.7E-02	NaN	FOS,IL27RA,SOCS3	
Chemokine Signaling	1.89E00	3.7E-02	NaN	CAMK4,CXCL12,FOS	
WNT/SHH Axonal Guidance Signaling Pathway	1.88E00	2.65E-02	NaN	GLI2,PIK3CD,WNT3,WNT5B	
PTEN Signaling	1.88E00	2.65E-02	NaN	BCL2L11,INPP5J,ITGB4,PIK3CD	
Estrogen-Dependent Breast Cancer Signaling	1.86E00	3.61E-02	NaN	FOS,PIK3CD,TERT	
Myelination Signaling Pathway	1.83E00	1.83E-02	NaN	FOS,GLI2,ITGB4,PIK3CD,WNT3,WNT5B	
Integrin cell surface interactions	1.83E00	3.53E-02	NaN	COL4A1,COL4A2,COL6A3	
Superpathway of Cholesterol Biosynthesis	1.83E00	6.45E-02	NaN	ACAT2,MSMO1	
Neuroinflammation Signaling Pathway	1.82E00	1.82E-02	NaN	CXCL12,FOS,GDNF,PIK3CD,SLC1A3,ZBTB12	
Regulation of the Epithelial Mesenchymal Transition in Development Pathway	1.82E00	3.49E-02	NaN	GLI2,WNT3,WNT5B	
PDGF Signaling	1.81E00	3.45E-02	NaN	FOS,INPP5J,PIK3CD	
Ovarian Cancer Signaling	1.8E00	2.52E-02	NaN	EDN1,PIK3CD,WNT3,WNT5B	
Cardiac Hypertrophy Signaling (Enhanced)	1.79E00	1.49E-02	NaN	EDN1,GDPD3,IL27RA,ITGB4,PIK3CD,RYR3,WNT3,WNT5B	
Preeclampsia Signaling Pathway	1.78E00	2.48E-02	NaN	CCN2,EDN1,FOS,PIK3CD	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	1.78E00	1.78E-02	NaN	CXCL12,FOS,PIK3CD,SOCS3,WNT3,WNT5B	
Transcriptional Regulatory Network in Embryonic Stem Cells	1.76E00	2.44E-02	NaN	OTX1,PIK3CD,WNT3,WNT5B	
Wound Healing Signaling Pathway	1.76E00	2.01E-02	NaN	COL4A1,COL4A2,COL6A3,FOS,ITGB4	
Serine Biosynthesis	1.75E00	3.33E-01	NaN	PHGDH	
ERBB Signaling	1.73E00	3.23E-02	NaN	FOS,PAK3,PIK3CD	
Glioblastoma Multiforme Signaling	1.7E00	2.34E-02	NaN	DIRAS3,PIK3CD,WNT3,WNT5B	
Transcriptional regulation by RUNX3	1.69E00	3.12E-02	NaN	BCL2L11,CCN2,HES1	
Prolactin Signaling	1.69E00	3.12E-02	NaN	FOS,PIK3CD,SOCS3	
Ribonucleotide Reductase Signaling Pathway	1.67E00	2.3E-02	NaN	FOS,PIK3CD,SKP2,VASH2	
Notch Signaling	1.66E00	5.26E-02	NaN	HES1,LFNG	
FAK Signaling	1.64E00	1.16E-02	NaN	ADGRA2,CELSR2,FOS,GPR85,HTR1D,IL27RA,ITGB4,OXTR,PAK3,PIK3CD,PTGER2,SOCS3	
Neuropathic Pain Signaling in Dorsal Horn Neurons	1.63E00	2.97E-02	NaN	CAMK4,FOS,PIK3CD	
Sumoylation Pathway	1.63E00	2.97E-02	NaN	DIRAS3,FOS,SLC19A1	
Neurotransmitter uptake and metabolism In glial cells	1.62E00	2.5E-01	NaN	SLC1A3	
Neurotransmitter release cycle	1.62E00	5E-02	NaN	SLC1A3,TSPOAP1	
RET signaling	1.6E00	4.88E-02	NaN	GDNF,PIK3CD	
Paxillin Signaling	1.58E00	2.83E-02	NaN	ITGB4,PAK3,PIK3CD	
Phagosome Formation	1.56E00	1.27E-02	NaN	ADGRA2,CELSR2,GPR85,HTR1D,ITGB4,OXTR,PAK3,PIK3CD,PTGER2	
Transport of inorganic cations/anions and amino acids/oligopeptides	1.56E00	2.78E-02	NaN	SLC1A3,SLC7A2,SLC7A5	
Opioid Signaling Pathway	1.56E00	1.78E-02	NaN	CAMK4,FOS,FOSB,RGS16,RYR3	
Elastic fibre formation	1.54E00	4.55E-02	NaN	FBN2,LTBP4	
Regulation of Actin-based Motility by Rho	1.53E00	2.7E-02	NaN	DIRAS3,ITGB4,PAK3	
Pentose Phosphate Pathway (Oxidative Branch)	1.53E00	2E-01	NaN	G6PD	
Superpathway of Serine and Glycine Biosynthesis I	1.53E00	2E-01	NaN	PHGDH	
Myo-inositol Biosynthesis	1.53E00	2E-01	NaN	IMPA2	
Endothelin-1 Signaling	1.52E00	2.06E-02	NaN	EDN1,FOS,PIK3CD,PTGER2	
Regulation of the Epithelial-Mesenchymal Transition Pathway	1.52E00	2.06E-02	NaN	EGR1,PIK3CD,WNT3,WNT5B	
Regulation of the Epithelial Mesenchymal Transition by Growth Factors Pathway	1.52E00	2.06E-02	NaN	EGR1,FOS,MEST,PIK3CD	
Breast Cancer Regulation by Stathmin1	1.51E00	1.32E-02	NaN	ADGRA2,CAMK4,CELSR2,GPR85,HTR1D,OXTR,PIK3CD,PTGER2	
IL-23 Signaling Pathway	1.5E00	4.35E-02	NaN	PIK3CD,SOCS3	
CDX Gastrointestinal Cancer Signaling Pathway	1.5E00	2.03E-02	NaN	FOS,PIK3CD,WNT3,WNT5B	
ILK Signaling	1.5E00	2.03E-02	NaN	DIRAS3,FOS,ITGB4,PIK3CD	
PD-1, PD-L1 cancer immunotherapy pathway	1.5E00	2.63E-02	NaN	PIK3CD,SKP2,ZBTB12	
Interleukin-2 family signaling	1.49E00	4.26E-02	NaN	INPP5J,PIK3CD	
PI3K/AKT Signaling	1.48E00	2E-02	NaN	IL27RA,INPP5J,ITGB4,PIK3CD	
ID1 Signaling Pathway	1.47E00	1.98E-02	NaN	CCN2,EGR1,GLI2,PIK3CD	
ESR-mediated signaling	1.46E00	2.54E-02	NaN	CXCL12,FOS,FOSB	
PAK Signaling	1.46E00	2.54E-02	NaN	ITGB4,PAK3,PIK3CD	
Zymosterol Biosynthesis	1.45E00	1.67E-01	NaN	MSMO1	
Virus Entry via Endocytic Pathways	1.44E00	2.5E-02	NaN	ITGB4,PIK3CD,ZBTB12	
MSP-RON Signaling in Macrophages Pathway	1.44E00	2.5E-02	NaN	FOS,PIK3CD,SOCS3	
Role of Tissue Factor in Cancer	1.43E00	1.92E-02	NaN	CCN2,EGR1,FOS,PIK3CD	
Transcriptional regulation by RUNX2	1.42E00	3.92E-02	NaN	GLI2,HES1	
NR1H2 and NR1H3-mediated signaling	1.42E00	3.92E-02	NaN	MYLIP,SCD	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	1.42E00	3.92E-02	NaN	BORA,SKP2	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	1.42E00	2.44E-02	NaN	PIK3CD,WNT3,WNT5B	
Integrin Signaling	1.42E00	1.9E-02	NaN	DIRAS3,ITGB4,PAK3,PIK3CD	
TNFR1 Signaling	1.41E00	3.85E-02	NaN	FOS,PAK3	
Autism Signaling Pathway	1.41E00	1.62E-02	NaN	GLI2,PIK3CD,WNT3,WNT5B,ZBTB12	
Activin Inhibin Signaling Pathway	1.4E00	1.89E-02	NaN	CCN2,FOS,FOSB,PIK3CD	
Th1 Pathway	1.4E00	2.4E-02	NaN	IL27RA,PIK3CD,SOCS3	
UVB-Induced MAPK Signaling	1.38E00	3.7E-02	NaN	FOS,PIK3CD	
Insulin Receptor Signaling	1.37E00	2.33E-02	NaN	INPP5J,PIK3CD,SOCS3	
IL-6 Signaling	1.37E00	2.33E-02	NaN	FOS,PIK3CD,SOCS3	
Intrinsic Pathway for Apoptosis	1.36E00	3.64E-02	NaN	BCL2L11,SEPTIN4	
ERK/MAPK Signaling	1.35E00	1.82E-02	NaN	FOS,ITGB4,PAK3,PIK3CD	
TR/RXR Activation	1.35E00	2.29E-02	NaN	CAMK4,COL6A3,PIK3CD	
HGF Signaling	1.35E00	2.29E-02	NaN	FOS,ITGB4,PIK3CD	
Interleukin-3, Interleukin-5 and GM-CSF signaling	1.35E00	3.57E-02	NaN	INPP5J,PIK3CD	
EGF Signaling	1.35E00	3.57E-02	NaN	FOS,PIK3CD	
Nuclear Cytoskeleton Signaling Pathway	1.35E00	1.81E-02	NaN	EGR1,ITGB4,KIF18A,SKP2	
NFE2L2 regulates pentose phosphate pathway genes	1.33E00	1.25E-01	NaN	G6PD	
RAR Activation	1.32E00	1.39E-02	NaN	DIRAS3,FOS,GDPD3,KLF2,PIK3CD,SOCS3	
HER-2 Signaling in Breast Cancer	1.31E00	1.76E-02	NaN	BCL2L11,FOS,ITGB4,PIK3CD	
Semaphorin Signaling in Neurons	1.31E00	3.39E-02	NaN	DIRAS3,PAK3	
Polyamine Regulation in Colon Cancer	1.31E00	3.39E-02	NaN	BCL2L11,FOS	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	1.3E00	1.75E-02	NaN	FOS,PIK3CD,WNT3,WNT5B	
RAC Signaling	1.3E00	2.19E-02	NaN	ITGB4,PAK3,PIK3CD	
Class A/1 (Rhodopsin-like receptors)	1.3E00	1.51E-02	NaN	CXCL12,EDN1,HTR1D,OXTR,PTGER2	
PCP (Planar Cell Polarity) Pathway	1.29E00	3.33E-02	NaN	WNT3,WNT5B	
Hereditary Breast Cancer Signaling	1.29E00	2.17E-02	NaN	PIK3CD,POLR2J2/POLR2J3,SLC19A1	
STAT3 Pathway	1.29E00	2.16E-02	NaN	CISH,IL27RA,SOCS3	
Serine biosynthesis	1.28E00	1.11E-01	NaN	PHGDH	
IL-2 Signaling	1.26E00	3.17E-02	NaN	FOS,PIK3CD	
MSP-RON Signaling in Cancer Cells Pathway	1.26E00	2.1E-02	NaN	FOS,ITGB4,PIK3CD	
Role of Chondrocytes in Rheumatoid Arthritis Signaling Pathway	1.25E00	2.08E-02	NaN	CXCL12,EGR1,FOS	
Thrombopoietin Signaling	1.25E00	3.12E-02	NaN	FOS,PIK3CD	
Apelin Endothelial Signaling Pathway	1.24E00	2.07E-02	NaN	FOS,KLF2,PIK3CD	
Role of Osteoblasts in Rheumatoid Arthritis Signaling Pathway	1.24E00	1.67E-02	NaN	CXCL12,PIK3CD,WNT3,WNT5B	
Superpathway of Inositol Phosphate Compounds	1.24E00	1.66E-02	NaN	INPP5J,NUDT11,PIK3CD,SOCS3	
cAMP-mediated signaling	1.24E00	1.66E-02	NaN	CAMK4,GDPD3,HTR1D,PTGER2	
Role of JAK2 in Hormone-like Cytokine Signaling	1.23E00	3.08E-02	NaN	FOS,SOCS3	
Semaphorin Neuronal Repulsive Signaling Pathway	1.23E00	2.04E-02	NaN	ITGB4,PAK3,PIK3CD	
CD40 Signaling	1.21E00	2.99E-02	NaN	FOS,PIK3CD	
Signaling by ROBO receptors	1.21E00	1.63E-02	NaN	CXCL12,LHX9,PAK3,SLIT2	
Pentose Phosphate Pathway	1.19E00	9.09E-02	NaN	G6PD	
Ketolysis	1.19E00	9.09E-02	NaN	ACAT2	
Role of JAK1 and JAK3 in γc Cytokine Signaling	1.19E00	2.9E-02	NaN	PIK3CD,SOCS3	
Serotonin Receptor Signaling	1.19E00	1.28E-02	NaN	DIRAS3,EDN1,HTR1D,PAK3,PIK3CD,RYR3	
GM-CSF Signaling	1.18E00	2.86E-02	NaN	CISH,PIK3CD	
Corticotropin Releasing Hormone Signaling	1.17E00	1.94E-02	NaN	CAMK4,FOS,GLI2	
Relaxin Signaling	1.17E00	1.92E-02	NaN	FOS,GDPD3,PIK3CD	
Glioma Invasiveness Signaling	1.17E00	2.82E-02	NaN	DIRAS3,PIK3CD	
Signaling by Leptin	1.16E00	8.33E-02	NaN	SOCS3	
Ketogenesis	1.16E00	8.33E-02	NaN	ACAT2	
Regulation of RUNX2 expression and activity	1.16E00	2.78E-02	NaN	DLX6,SKP2	
p75 NTR receptor-mediated signalling	1.15E00	1.9E-02	NaN	BCL2L11,NET1,PIK3CD	
G alpha (i) signalling events	1.15E00	1.55E-02	NaN	CXCL12,GPSM2,HTR1D,RGS16	
Glucocorticoid Receptor Signaling	1.15E00	1.17E-02	NaN	BCL2L11,FOS,IL27RA,NDUFA4L2,PIK3CD,POLR2J2/POLR2J3,ZBTB12	
Microautophagy Signaling Pathway	1.15E00	1.89E-02	NaN	COL4A1,COL4A2,COL6A3	
Hematoma Resolution Signaling Pathway	1.15E00	1.54E-02	NaN	AXL,FOS,NDUFA4L2,SOCS3	
HMGB1 Signaling	1.14E00	1.87E-02	NaN	DIRAS3,FOS,PIK3CD	
Granzyme A Signaling	1.12E00	2.67E-02	NaN	H1-10,NDUFA4L2	
Passive transport by Aquaporins	1.12E00	7.69E-02	NaN	AQP4	
Mitochondrial calcium ion transport	1.12E00	7.69E-02	NaN	MCUB	
Nephron development	1.12E00	7.69E-02	NaN	LFNG	
Cholesterol Biosynthesis I	1.12E00	7.69E-02	NaN	MSMO1	
Cholesterol Biosynthesis II (via 24,25-dihydrolanosterol)	1.12E00	7.69E-02	NaN	MSMO1	
Cholesterol Biosynthesis III (via Desmosterol)	1.12E00	7.69E-02	NaN	MSMO1	
Interferon alpha/beta signaling	1.11E00	2.63E-02	NaN	EGR1,SOCS3	
Macropinocytosis Signaling	1.11E00	2.63E-02	NaN	ITGB4,PIK3CD	
HOTAIR Regulatory Pathway	1.11E00	1.82E-02	NaN	PIK3CD,WNT3,WNT5B	
Angiopoietin Signaling	1.1E00	2.6E-02	NaN	PAK3,PIK3CD	
Leptin Signaling in Obesity	1.1E00	2.6E-02	NaN	PIK3CD,SOCS3	
Role of WNT/GSK-3β Signaling in the Pathogenesis of Influenza	1.1E00	2.56E-02	NaN	WNT3,WNT5B	
Neurotrophin/TRK Signaling	1.1E00	2.56E-02	NaN	FOS,PIK3CD	
Tryptophan catabolism	1.09E00	7.14E-02	NaN	SLC7A5	
Caveolar-mediated Endocytosis Signaling	1.09E00	2.53E-02	NaN	ITGB4,ZBTB12	
Gαq Signaling	1.09E00	1.78E-02	NaN	DIRAS3,PIK3CD,RGS16	
IL-17A Signaling in Fibroblasts	1.08E00	2.5E-02	NaN	CXCL12,FOS	
Germ Cell-Sertoli Cell Junction Signaling	1.07E00	1.75E-02	NaN	DIRAS3,PAK3,PIK3CD	
IL-3 Signaling	1.07E00	2.47E-02	NaN	FOS,PIK3CD	
Regulation of cholesterol biosynthesis by SREBP (SREBF)	1.06E00	6.67E-02	NaN	INSIG1	
YAP1- and WWTR1 (TAZ)-stimulated gene expression	1.06E00	6.67E-02	NaN	CCN2	
Mitotic Telophase/Cytokinesis	1.06E00	6.67E-02	NaN	PTGER2	
Pentose phosphate pathway	1.06E00	6.67E-02	NaN	G6PD	
G alpha (q) signalling events	1.06E00	1.72E-02	NaN	EDN1,OXTR,RGS16	
Th1 and Th2 Activation Pathway	1.04E00	1.7E-02	NaN	IL27RA,PIK3CD,SOCS3	
PEDF Signaling	1.04E00	2.38E-02	NaN	GDNF,PIK3CD	
SUMOylation of DNA methylation proteins	1.04E00	6.25E-02	NaN	CBX2	
Processing of SMDT1	1.04E00	6.25E-02	NaN	MCUB	
FOXO-mediated transcription of cell death genes	1.04E00	6.25E-02	NaN	BCL2L11	
Mevalonate Pathway I	1.04E00	6.25E-02	NaN	ACAT2	
LPS-stimulated MAPK Signaling	1.03E00	2.35E-02	NaN	FOS,PIK3CD	
VEGF Family Ligand-Receptor Interactions	1.02E00	2.33E-02	NaN	FOS,PIK3CD	
Tumor Microenvironment Pathway	1.02E00	1.67E-02	NaN	CXCL12,FOS,PIK3CD	
Lung Ionic Balance Signaling Pathway	1.02E00	1.15E-02	NaN	ADGRA2,CELSR2,GPR85,HTR1D,OXTR,PTGER2	
Irritable Bowel Syndrome Signaling Pathway	1.01E00	1.38E-02	NaN	DIRAS3,PIK3CD,WNT3,WNT5B	
Prolactin receptor signaling	1.01E00	5.88E-02	NaN	SKP2	
Metabolism of folate and pterines	1.01E00	5.88E-02	NaN	SLC19A1	
Glutaryl-CoA Degradation	1.01E00	5.88E-02	NaN	ACAT2	
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	1.01E00	5.88E-02	NaN	INPP5J	
D-myo-inositol (1,3,4)-trisphosphate Biosynthesis	1.01E00	5.88E-02	NaN	INPP5J	
Oxidative Stress Induced Senescence	1.01E00	2.27E-02	NaN	CBX2,FOS	
Neutrophil Extracellular Trap Signaling Pathway	9.94E-01	1.22E-02	NaN	COL4A1,COL4A2,COL6A3,NDUFA4L2,PIK3CD	
Isoleucine Degradation I	9.87E-01	5.56E-02	NaN	ACAT2	
Ceramide Signaling	9.82E-01	2.2E-02	NaN	FOS,PIK3CD	
Actin Nucleation by ARP-WASP Complex	9.82E-01	2.2E-02	NaN	DIRAS3,ITGB4	
NER (Nucleotide Excision Repair, Enhanced Pathway)	9.82E-01	2.2E-02	NaN	POLR2J2/POLR2J3,SLC19A1	
Sirtuin Signaling Pathway	9.79E-01	1.35E-02	NaN	BCL2L11,G6PD,H1-10,NDUFA4L2	
IL-17 Signaling	9.75E-01	1.59E-02	NaN	FOS,PIK3CD,RGS16	
RANK Signaling in Osteoclasts	9.66E-01	2.15E-02	NaN	FOS,PIK3CD	
Glyoxylate metabolism and glycine degradation	9.65E-01	5.26E-02	NaN	PXMP2	
Mismatch Repair in Eukaryotes	9.65E-01	5.26E-02	NaN	SLC19A1	
γ-linolenate Biosynthesis II (Animals)	9.65E-01	5.26E-02	NaN	FADS2	
Acute Phase Response Signaling	9.65E-01	1.57E-02	NaN	FOS,PIK3CD,SOCS3	
Macrophage Alternative Activation Signaling Pathway	9.6E-01	1.56E-02	NaN	FOS,PIK3CD,SOCS3	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	9.6E-01	1.56E-02	NaN	DIRAS3,FOS,PIK3CD	
GNRH Signaling	9.55E-01	1.55E-02	NaN	EGR1,FOS,PAK3	
Interleukin-12 family signaling	9.44E-01	5E-02	NaN	IL27RA	
Class I peroxisomal membrane protein import	9.44E-01	5E-02	NaN	PXMP2	
Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate)	9.44E-01	5E-02	NaN	ACAT2	
Apelin Liver Signaling Pathway	9.44E-01	5E-02	NaN	EDN1	
Small Cell Lung Cancer Signaling	9.29E-01	2.04E-02	NaN	PIK3CD,SKP2	
UVA-Induced MAPK Signaling	9.29E-01	2.04E-02	NaN	FOS,PIK3CD	
RHO GTPases activate PAKs	9.24E-01	4.76E-02	NaN	PAK3	
3-phosphoinositide Degradation	9.21E-01	1.5E-02	NaN	INPP5J,NUDT11,SOCS3	
Cellular Effects of Sildenafil (Viagra)	9.2E-01	1.02E-02	NaN	ADGRA2,CELSR2,GPR85,HTR1D,OXTR,PIK3CD,PTGER2	
Pulmonary Healing Signaling Pathway	9.16E-01	1.49E-02	NaN	CXCL12,WNT3,WNT5B	
Ephrin Receptor Signaling	9.12E-01	1.49E-02	NaN	CXCL12,ITGB4,PAK3	
Apelin Cardiac Fibroblast Signaling Pathway	8.87E-01	4.35E-02	NaN	CCN2	
IL-8 Signaling	8.84E-01	1.44E-02	NaN	DIRAS3,FOS,PIK3CD	
HIF1α Signaling	8.75E-01	1.43E-02	NaN	CAMK4,EDN1,PIK3CD	
Sleep REM Signaling Pathway	8.74E-01	1.89E-02	NaN	EGR1,FOS	
CDK5 Signaling	8.74E-01	1.89E-02	NaN	EGR1,FOSB	
Interleukin-7 signaling	8.7E-01	4.17E-02	NaN	CISH	
Interleukin-6 family signaling	8.7E-01	4.17E-02	NaN	SOCS3	
IL-22 Signaling	8.7E-01	4.17E-02	NaN	SOCS3	
Tryptophan Degradation III (Eukaryotic)	8.7E-01	4.17E-02	NaN	ACAT2	
RHO GTPase cycle	8.67E-01	1.11E-02	NaN	AMIGO2,ARHGAP33,NET1,PAK3,PLEKHG6	
Signaling by VEGF	8.67E-01	1.87E-02	NaN	AXL,PAK3	
Telomerase Signaling	8.61E-01	1.85E-02	NaN	PIK3CD,TERT	
3-phosphoinositide Biosynthesis	8.53E-01	1.4E-02	NaN	NUDT11,PIK3CD,SOCS3	
Gap Junction Signaling	8.42E-01	1.19E-02	NaN	OXTR,PIK3CD,PTGER2,SKP2	
Interleukin-4 and Interleukin-13 signaling	8.42E-01	1.8E-02	NaN	FOS,SOCS3	
Calcium Signaling	8.41E-01	1.38E-02	NaN	CAMK4,RYR3,TPM1	
Interleukin-20 family signaling	8.38E-01	3.85E-02	NaN	SOCS3	
Signaling by Erythropoietin	8.38E-01	3.85E-02	NaN	PIK3CD	
IL-17A Signaling in Gastric Cells	8.38E-01	3.85E-02	NaN	FOS	
Estrogen-mediated S-phase Entry	8.38E-01	3.85E-02	NaN	SKP2	
Autophagy	8.36E-01	1.37E-02	NaN	FOS,PIK3CD,SLC7A5	
RHOGDI Signaling	8.32E-01	1.36E-02	NaN	DIRAS3,ITGB4,PAK3	
