© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Molecular Mechanisms of Cancer	3.64E00	3.14E-02	NaN	ADCY5,ADCY8,ADORA2B,BMPR1B,CDKN1A,EDNRA,FZD8,GABBR2,GALR2,GNA15,GNAO1,GPR143,GPR87,GRM8,GRPR,HGF,IL22RA1,ITGA9,ITGAM,MC5R,MMP23B,NPFFR2,PMAIP1,RASGRF1,RND1,RND3,S1PR4	
GABA receptor activation	3.59E00	1E-01	NaN	ADCY5,ADCY8,GABBR2,GABRG3,GABRR3,KCNJ3	
WNT/SHH Axonal Guidance Signaling Pathway	3.36E00	5.96E-02	NaN	ADCY5,ADCY8,FZD8,HCK,HHIP,SFN,TRPC3,WNT2,WNT9A	
Cellular Effects of Sildenafil (Viagra)	3.2E00	3.21E-02	NaN	ADCY5,ADCY8,ADORA2B,ATP2A1,CACNA1C,CAPN6,CAPN8,EDNRA,FZD8,GABBR2,GALR2,GPR143,GPR87,GRM8,GRPR,MC5R,MYO18B,NPFFR2,PGF,PPARGC1A,PPM1J,S1PR4	
Serotonin Receptor Signaling	3.14E00	3.62E-02	NaN	ADCY5,ADCY8,ADIPOQ,CACNA1C,GCH1,GNA15,GNAO1,H3C14,HCK,KCNJ3,PLB1,PPARGC1A,RASGRF1,RND1,RND3,TRPC3,TTN	
Axonal Guidance Signaling	3.11E00	3.48E-02	NaN	ADAM29,ADAMTS17,ADAMTS18,EPHA10,FZD8,GNA15,GNAO1,HHIP,ITGA9,ITGAM,MMP23B,NGF,NTNG2,PGF,RND1,SEMA4D,WNT2,WNT9A	
GABA Receptor Signaling	3.07E00	6.02E-02	NaN	ADCY5,ADCY8,CACNA1C,GABBR2,GABRG3,GABRR3,GNA15,GNAO1	
Pulmonary Healing Signaling Pathway	3.06E00	4.98E-02	NaN	BMPR1B,FZD8,HCK,JAG1,MMP23B,NOTCH4,PGF,TNFRSF1B,WNT2,WNT9A	
GABAergic Receptor Signaling Pathway (Enhanced)	2.93E00	5.71E-02	NaN	ADCY5,ADCY8,CACNA1C,GABBR2,GABRG3,GABRR3,GNAO1,KCNJ3	
S100 Family Signaling Pathway	2.81E00	2.94E-02	NaN	ADORA2B,AREG,CACNA1C,CDKN1A,CYBB,EDNRA,ESR2,FZD8,GABBR2,GALR2,GPR143,GPR87,GRM8,GRPR,MC5R,MMP23B,NGF,NPFFR2,PGF,S100A5,S1PR4,WNT2,WNT9A	
RHOGDI Signaling	2.76E00	4.55E-02	NaN	CDH17,CDH3,ESR2,GNA15,GNAO1,ITGA9,ITGAM,MYO18B,RND1,RND3	
Sphingosine-1-phosphate Signaling	2.7E00	5.88E-02	NaN	ACER2,ADCY5,ADCY8,RND1,RND3,S1PR4,SPHK1	
Lung Ionic Balance Signaling Pathway	2.66E00	3.26E-02	NaN	ADORA2B,EDNRA,ESR2,FZD8,GABBR2,GALR2,GPR143,GPR87,GRM8,GRPR,HCK,KCNU1,MC5R,NPFFR2,PPM1J,S1PR4,SLC12A1	
CREB Signaling in Neurons	2.64E00	3.08E-02	NaN	ADCY5,ADCY8,ADORA2B,BMPR1B,CACNA1C,EDNRA,FZD8,GABBR2,GALR2,GNA15,GNAO1,GPR143,GPR87,GRM8,GRPR,HGF,MC5R,NPFFR2,S1PR4	
Colorectal Cancer Metastasis Signaling	2.6E00	4.06E-02	NaN	ADCY5,ADCY8,FZD8,GNA15,GNAO1,MMP23B,PGF,RND1,RND3,WNT2,WNT9A	
Gαs Signaling	2.54E00	5.51E-02	NaN	ADCY5,ADCY8,ADORA2B,GNA15,GNAO1,HCK,MC5R	
PXR/RXR Activation	2.5E00	7.46E-02	NaN	CES3,CYP3A4,NR1I2,NR1I3,PPARGC1A	
Pulmonary Fibrosis Idiopathic Signaling Pathway	2.44E00	3.68E-02	NaN	AREG,COL17A1,COL5A3,COL7A1,EDNRA,FZD8,JAG1,MMP23B,NOTCH4,PMAIP1,WNT2,WNT9A	
Cardiac β-adrenergic Signaling	2.4E00	4.71E-02	NaN	ADCY5,ADCY8,ATP2A1,CACNA1C,GNA15,GNAO1,PDE2A,PPM1J	
Phagosome Formation	2.34E00	2.83E-02	NaN	ADORA2B,CR1,EDNRA,FZD8,GABBR2,GALR2,GPR143,GPR87,GRM8,GRPR,HCK,ITGA9,ITGAM,MC5R,MYO18B,NPFFR2,PLB1,S1PR4,SPHK1,TTN	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	2.26E00	6.58E-02	NaN	ADCY5,ADCY8,GNA15,GRPR,VIP	
Maturity Onset Diabetes of Young (MODY) Signaling	2.22E00	6.41E-02	NaN	ADIPOQ,CACNA1C,CEL,GCK,UCP2	
Ion channel transport	2.21E00	4.37E-02	NaN	ATP2A1,ATP2B2,ATP6V0D2,ATP8A2,FXYD3,STOM,TRPC3,TRPV2	
Endocannabinoid Cancer Inhibition Pathway	2.19E00	4.76E-02	NaN	ADCY5,ADCY8,ATF3,CDKN1A,DDIT3,GNAO1,PGF	
BEX2 Signaling Pathway	2.13E00	6.1E-02	NaN	BEX2,CDKN1A,NGF,PGF,PPM1J	
Sleep NREM Signaling Pathway	2.11E00	5.17E-02	NaN	ADCY5,ADCY8,ADORA2B,GABRG3,GABRR3,SFN	
Neurovascular Coupling Signaling Pathway	2.1E00	3.88E-02	NaN	ADORA2B,CACNA1C,GABBR2,GABRG3,GABRR3,KCNJ3,KCNU1,PLB1,TRPC3	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	2.09E00	4.17E-02	NaN	COL17A1,COL5A3,COL7A1,EDNRA,HGF,MYO18B,PGF,TNFRSF1B	
Calcium Transport I	2.04E00	2E-01	NaN	ATP2A1,ATP2B2	
Osteoarthritis Pathway	2.03E00	3.78E-02	NaN	ADIPOQ,FZD8,ITGA9,ITGAM,JAG1,PGF,PPARGC1A,SPHK1,TNFRSF1B	
Hepatic Fibrosis Signaling Pathway	2.02E00	3.12E-02	NaN	CACNA1C,CYBB,EDNRA,FZD8,ITGA9,ITGAM,PGF,RND1,RND3,TNFRSF1B,TTN,WNT2,WNT9A	
Glutaminergic Receptor Signaling Pathway (Enhanced)	2.01E00	3.37E-02	NaN	ADCY5,ADCY8,CACNA1C,DGKI,GABBR2,GABRG3,GABRR3,GNAO1,GRM8,PLB1,SCN7A	
PI3K/AKT Signaling	1.99E00	4E-02	NaN	CDKN1A,GDF15,IL22RA1,INPP5D,ITGA9,ITGAM,PPM1J,SFN	
HEY1 Signaling Pathway	1.98E00	4.35E-02	NaN	BMPR1B,CDKN1A,ERBB4,JAG1,MMP23B,NOTCH4,PGF	
ID1 Signaling Pathway	1.97E00	3.96E-02	NaN	ATF3,BMPR1B,CDKN1A,CHRNA3,HCK,PGF,PLAC8,TNFRSF1B	
Cell junction organization	1.92E00	5.43E-02	NaN	CADM1,CDH17,CDH3,COL17A1,NECTIN4	
Mitochondrial Division Signaling Pathway	1.92E00	4.22E-02	NaN	CACNA1C,GNA15,HGF,PGF,PPM1J,S1PR4,TNFRSF1B	
GP6 Signaling Pathway	1.91E00	4.69E-02	NaN	BTK,COL17A1,COL5A3,COL7A1,FYB1,ITK	
Specification of primordial germ cells	1.88E00	1.67E-01	NaN	EOMES,PRDM1	
UDP-N-acetyl-D-galactosamine Biosynthesis II	1.88E00	1.67E-01	NaN	GALE,GCK	
Class B/2 (Secretin family receptors)	1.87E00	5.26E-02	NaN	FZD8,UCN2,VIP,WNT2,WNT9A	
Gustation Pathway	1.86E00	3.79E-02	NaN	ADCY5,ADCY8,CACNA1C,GABRG3,GABRR3,PKD2L1,SCN7A,SLC5A1	
Cardiac Hypertrophy Signaling (Enhanced)	1.83E00	2.79E-02	NaN	ADCY5,ADCY8,ATP2A1,CACNA1C,CYBB,EDNRA,FZD8,GNA15,IL22RA1,ITGA9,ITGAM,PDE2A,TNFRSF1B,WNT2,WNT9A	
UDP-N-acetyl-D-galactosamine Biosynthesis I	1.83E00	1E00	NaN	GALE	
Nucleotide catabolism	1.83E00	8.57E-02	NaN	NT5M,PNP,UPP1	
Sperm Motility	1.83E00	3.5E-02	NaN	BMX,BTK,ERBB4,GNA15,GNAO1,HCK,ITK,PDE2A,PLB1	
