© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Ribavirin ADME	1.76E00	5.97E-02	NaN	CDKL1,PNP,SPHK1,STK32A	
Guanosine Nucleotides Degradation III	1.75E00	1.43E-01	NaN	NT5M,PNP	
Notch Signaling	1.73E00	7.89E-02	NaN	HES7,JAG1,NOTCH4	
Signaling by Rho Family GTPases	1.73E00	3.37E-02	NaN	CDH17,CDH3,CYBB,GNA15,GNAO1,ITGA9,ITGAM,RND1,RND3	
GPER1 signaling	1.73E00	4.85E-02	NaN	ADCY5,ADCY8,CDKL1,SPHK1,STK32A	
Circadian Rhythm Signaling	1.7E00	3.33E-02	NaN	ADCY5,ADCY8,CACNA1C,GNA15,GRPR,H3C14,HCK,NGF,VIP	
Synaptogenesis Signaling Pathway	1.7E00	3.16E-02	NaN	ADCY5,ADCY8,CADM1,CDH17,CDH3,EPHA10,GRM8,HCK,RASGRF1,THBS4	
Response of EIF2AK1 (HRI) to heme deficiency	1.69E00	1.33E-01	NaN	ATF3,DDIT3	
Urate Biosynthesis/Inosine 5'-phosphate Degradation	1.69E00	1.33E-01	NaN	NT5M,PNP	
G-Protein Coupled Receptor Signaling	1.69E00	2.52E-02	NaN	ADCY5,ADCY8,ADORA2B,EDNRA,FZD8,GABBR2,GALR2,GNA15,GNAO1,GPR143,GPR87,GRM8,GRPR,MC5R,NPFFR2,PDE2A,S1PR4,TTN	
Basal Cell Carcinoma Signaling	1.67E00	5.63E-02	NaN	FZD8,HHIP,WNT2,WNT9A	
PIP3 activates AKT signaling	1.67E00	4.14E-02	NaN	AREG,CDKN1A,ERBB4,ESR2,HGF,KITLG	
G alpha (s) signalling events	1.67E00	4.14E-02	NaN	ADCY5,ADCY8,ADORA2B,MC5R,PDE2A,VIP	
Dopamine Receptor Signaling	1.65E00	5.56E-02	NaN	ADCY5,ADCY8,GCH1,PPM1J	
Integration of energy metabolism	1.65E00	4.63E-02	NaN	ADCY5,ADCY8,ADIPOQ,CACNA1C,GNA15	
Gαi Signaling	1.65E00	4.08E-02	NaN	ADCY5,ADCY8,GABBR2,GNA15,GNAO1,GRM8	
Endocannabinoid Neuronal Synapse Pathway	1.61E00	4E-02	NaN	ADCY5,ADCY8,CACNA1C,GNA15,GNAO1,KCNJ3	
Opioid Signaling Pathway	1.6E00	3.2E-02	NaN	ADCY5,ADCY8,CACNA1C,GNA15,GNAO1,HCK,KCNJ3,RGS9,SCN7A	
Dilated Cardiomyopathy Signaling Pathway	1.6E00	3.97E-02	NaN	ADCY5,ADCY8,CACNA1C,MYO18B,PDE2A,TTN	
Adenosine Nucleotides Degradation II	1.59E00	1.18E-01	NaN	NT5M,PNP	
Phase I - Functionalization of compounds	1.57E00	4.42E-02	NaN	ACSS1,CES3,CYP11A1,CYP3A4,FDXR	
Collagen chain trimerization	1.56E00	6.82E-02	NaN	COL17A1,COL5A3,COL7A1	
cAMP-mediated signaling	1.56E00	3.32E-02	NaN	ADCY5,ADCY8,ADORA2B,GABBR2,GNAO1,GRM8,MC5R,PDE2A	
Orexin Signaling Pathway	1.55E00	3.31E-02	NaN	ADCY5,ADCY8,ADIPOQ,ATP6V0D2,CACNA1C,KCNJ3,PPARGC1A,TRPC3	
Human Embryonic Stem Cell Pluripotency	1.52E00	3.5E-02	NaN	BMPR1B,FZD8,INHBA,NGF,SPHK1,WNT2,WNT9A	
Neuregulin Signaling	1.5E00	4.24E-02	NaN	AREG,ERBB4,ITGA9,ITGAM,TMEFF2	
BBSome Signaling Pathway	1.48E00	2.64E-02	NaN	ADORA2B,ASXL3,EDNRA,FZD8,GABBR2,GALR2,GPR143,GPR87,GRM8,GRPR,MC5R,NPFFR2,S1PR4	
Purine Nucleotides Degradation II (Aerobic)	1.46E00	1E-01	NaN	NT5M,PNP	
IL-15 Production	1.45E00	4.1E-02	NaN	BMX,BTK,ERBB4,HCK,ITK	
Transcriptional Regulatory Network in Embryonic Stem Cells	1.45E00	3.66E-02	NaN	BMPR1B,EOMES,FZD8,INHBA,WNT2,WNT9A	
IL-8 Signaling	1.44E00	3.37E-02	NaN	CYBB,GNA15,GNAO1,ITGAM,PGF,RND1,RND3	
TP53 Regulates Transcription of Cell Cycle Genes	1.44E00	6.12E-02	NaN	BTG2,CDKN1A,SFN	
Apelin Muscle Signaling Pathway	1.44E00	6.12E-02	NaN	GNA15,GNAO1,PPARGC1A	
HOTAIR Regulatory Pathway	1.44E00	3.64E-02	NaN	CDKN1A,ESR2,H3C14,MMP23B,WNT2,WNT9A	
Integrin Signaling	1.43E00	3.33E-02	NaN	CAPN6,CAPN8,ITGA9,ITGAM,RND1,RND3,TTN	
Integrin cell surface interactions	1.42E00	4.71E-02	NaN	COL5A3,COL7A1,ITGA9,ITGAM	
Breast Cancer Regulation by Stathmin1	1.42E00	2.48E-02	NaN	ADORA2B,EDNRA,FZD8,GABBR2,GALR2,GPR143,GPR87,GRM8,GRPR,HGF,MC5R,NPFFR2,PGF,PPM1J,S1PR4	
Platelet homeostasis	1.41E00	4.65E-02	NaN	ATP2A1,ATP2B2,PDE2A,TRPC3	
Regulation of the Epithelial Mesenchymal Transition in Development Pathway	1.41E00	4.65E-02	NaN	FZD8,JAG1,WNT2,WNT9A	
G alpha (i) signalling events	1.41E00	3.1E-02	NaN	ADCY5,ADCY8,GABBR2,GALR2,GRM8,PPY,RGS9,S1PR4	
CXCR4 Signaling	1.4E00	3.57E-02	NaN	ADCY5,ADCY8,GNA15,GNAO1,RND1,RND3	
Glioblastoma Multiforme Signaling	1.37E00	3.51E-02	NaN	CDKN1A,FZD8,RND1,RND3,WNT2,WNT9A	
Regulation of Cellular Mechanics by Calpain Protease	1.36E00	4.49E-02	NaN	CAPN6,CAPN8,ITGA9,ITGAM	
Estrogen Receptor Signaling	1.36E00	2.68E-02	NaN	ADCY5,ADCY8,CACNA1C,CDKN1A,ESR2,GNA15,GNAO1,MDK,MMP23B,PGF,PPARGC1A	
Tetrahydrobiopterin Biosynthesis I	1.36E00	3.33E-01	NaN	GCH1	
Xanthine and Xanthosine Salvage	1.36E00	3.33E-01	NaN	PNP	
Tetrahydrobiopterin Biosynthesis II	1.36E00	3.33E-01	NaN	GCH1	
Cardiac conduction	1.35E00	3.85E-02	NaN	ATP2A1,ATP2B2,CACNA1C,FXYD3,SCN7A	
G Beta Gamma Signaling	1.35E00	3.85E-02	NaN	BTK,CACNA1C,GNA15,GNAO1,KCNJ3	
WNT/β-catenin Signaling	1.35E00	3.47E-02	NaN	CDH3,FZD8,GNAO1,PPM1J,WNT2,WNT9A	
Tuberculosis Latent Signaling Pathway	1.35E00	4.44E-02	NaN	ADCY5,ADCY8,PGF,TNFRSF1B	
Nucleotide salvage	1.35E00	8.7E-02	NaN	PNP,UPP1	
G alpha (q) signalling events	1.34E00	3.45E-02	NaN	BTK,EDNRA,GNA15,GPR143,GRPR,NPFFR2	
TR/RXR Activation	1.34E00	3.82E-02	NaN	ATP2A1,H3C14,PGF,PPARGC1A,UCP2	
Retinol Biosynthesis	1.34E00	5.56E-02	NaN	CEL,CES3,PLB1	
Ceramide Signaling	1.33E00	4.4E-02	NaN	PPM1J,S1PR4,SPHK1,TNFRSF1B	
Actin Nucleation by ARP-WASP Complex	1.33E00	4.4E-02	NaN	ITGA9,ITGAM,RND1,RND3	
Role of Osteoclasts in Rheumatoid Arthritis Signaling Pathway	1.32E00	2.84E-02	NaN	ADAM29,BTK,COL17A1,COL5A3,COL7A1,MMP23B,RND1,RND3,TNFRSF1B	
Dopamine-DARPP32 Feedback in cAMP Signaling	1.3E00	3.37E-02	NaN	ADCY5,ADCY8,ATP2A1,CACNA1C,KCNJ3,PPM1J	
Apelin Adipocyte Signaling Pathway	1.29E00	4.26E-02	NaN	ADCY5,ADCY8,CYBB,PPARGC1A	
Hereditary Breast Cancer Signaling	1.26E00	3.62E-02	NaN	CDKN1A,DDB2,HGF,PGF,SFN	
WNT ligand biogenesis and trafficking	1.25E00	7.69E-02	NaN	WNT2,WNT9A	
Estrogen-mediated S-phase Entry	1.25E00	7.69E-02	NaN	CDKN1A,ESR2	
Semaphorin Signaling in Neurons	1.24E00	5.08E-02	NaN	RND1,RND3,SEMA4D	
NGF processing	1.24E00	2.5E-01	NaN	NGF	
Galactose catabolism	1.24E00	2.5E-01	NaN	GALE	
Guanine and Guanosine Salvage I	1.24E00	2.5E-01	NaN	PNP	
Adenine and Adenosine Salvage I	1.24E00	2.5E-01	NaN	PNP	
IL-1 Signaling	1.24E00	4.08E-02	NaN	ADCY5,ADCY8,GNA15,GNAO1	
Signaling by NOTCH4	1.23E00	3.55E-02	NaN	CDKL1,JAG1,NOTCH4,SPHK1,STK32A	
PCP (Planar Cell Polarity) Pathway	1.23E00	5E-02	NaN	FZD8,WNT2,WNT9A	
Eicosanoid Signaling	1.22E00	2.84E-02	NaN	ADCY5,ADCY8,ATP2A1,GNA15,GNAO1,KCNU1,PGF,PLB1	
Class A/1 (Rhodopsin-like receptors)	1.22E00	2.71E-02	NaN	ADORA2B,EDNRA,GALR2,GPR143,GRPR,MC5R,NPFFR2,PPY,S1PR4	
Effects of PIP2 hydrolysis	1.22E00	7.41E-02	NaN	DGKI,TRPC3	
ATF4 activates genes in response to endoplasmic reticulum stress	1.22E00	7.41E-02	NaN	ATF3,DDIT3	
Assembly of collagen fibrils and other multimeric structures	1.21E00	4.92E-02	NaN	COL17A1,COL5A3,COL7A1	
CLEAR Signaling Pathway	1.2E00	2.81E-02	NaN	ATP6V0D2,BMPR1B,HGF,IFI30,PPARGC1A,PPM1J,SFN,TNFRSF1B	
Iron homeostasis signaling pathway	1.19E00	3.45E-02	NaN	ATP6V0D2,BMPR1B,ERFE,GDF15,HIF3A	
Gene Silencing by RNA	1.19E00	3.92E-02	NaN	H2BC13,PIWIL2,TDRD9,TDRKH	
Triacylglycerol Degradation	1.18E00	4.76E-02	NaN	CEL,CES3,PLB1	
Semaphorin Neuronal Repulsive Signaling Pathway	1.17E00	3.4E-02	NaN	CSPG4,ITGA9,ITGAM,RND1,SEMA4D	
TNFs bind their physiological receptors	1.17E00	6.9E-02	NaN	EDA2R,TNFRSF1B	
Collagen degradation	1.16E00	4.69E-02	NaN	COL17A1,COL5A3,COL7A1	
Leukocyte Extravasation Signaling	1.16E00	3.09E-02	NaN	BMX,BTK,CYBB,ITGAM,ITK,MMP23B	
Endothelin-1 Signaling	1.16E00	3.09E-02	NaN	ADCY5,ADCY8,EDNRA,GNA15,GNAO1,PLB1	
Regulation of the Epithelial-Mesenchymal Transition Pathway	1.16E00	3.09E-02	NaN	FZD8,HGF,JAG1,NOTCH4,WNT2,WNT9A	
Pancreatic Secretion Signaling Pathway	1.15E00	2.88E-02	NaN	ADCY5,ADCY8,ADORA2B,ATP2A1,ATP2B2,TRPC3,VIP	
Intestinal absorption	1.14E00	2E-01	NaN	SLC5A1	
Protein Citrullination	1.14E00	2E-01	NaN	PADI3	
Galactose Degradation I (Leloir Pathway)	1.14E00	2E-01	NaN	GALE	
Acetate Conversion to Acetyl-CoA	1.14E00	2E-01	NaN	ACSS1	
Role of JAK2 in Hormone-like Cytokine Signaling	1.14E00	4.62E-02	NaN	CYP3A4,PGF,PRLR	
AMPK Signaling	1.14E00	2.87E-02	NaN	ADIPOQ,CDKN1A,CHRNA3,GNA15,GNAO1,PPARGC1A,PPM1J	
FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes	1.14E00	6.67E-02	NaN	GCK,PPARGC1A	
CDK5 Signaling	1.14E00	3.77E-02	NaN	ADCY5,ADCY8,NGF,PPM1J	
RHO GTPase cycle	1.14E00	2.44E-02	NaN	ARHGAP44,CYBB,FGD5,GOLGA8K (includes others),JAG1,MPP7,PRAG1,RND1,RND3,STOM,WIPF3	
Tuberculosis Active Signaling Pathway	1.14E00	2.86E-02	NaN	ATP6V0D2,CR1,CYBB,H3C14,INPP5D,ITGAM,TNFRSF1B	
CDX Gastrointestinal Cancer Signaling Pathway	1.13E00	3.05E-02	NaN	CDH17,CYBB,FZD8,SLC15A1,WNT2,WNT9A	
PTEN Signaling	1.13E00	3.31E-02	NaN	BMPR1B,CDKN1A,INPP5D,ITGA9,ITGAM	
Synaptic Long Term Depression	1.12E00	3.03E-02	NaN	CACNA1C,GNA15,GNAO1,GRM8,PLB1,PPM1J	
Acetylcholine Receptor Signaling Pathway	1.12E00	3.03E-02	NaN	ADCY5,ADCY8,CACNA1C,CHRNA3,GNA15,GNAO1	
Signaling by BMP	1.11E00	6.45E-02	NaN	BMPR1B,INHBA	
Signaling by ALK	1.11E00	6.45E-02	NaN	MDK,PRDM1	
Signaling by CSF1 (M-CSF) in myeloid cells	1.11E00	6.45E-02	NaN	HCK,INPP5D	
Transcriptional regulation of brown and beige adipocyte differentiation	1.11E00	6.45E-02	NaN	PPARGC1A,ZNF423	
Transport of inorganic cations/anions and amino acids/oligopeptides	1.11E00	3.7E-02	NaN	SLC12A1,SLC15A1,SLC26A3,SLC36A2	
Collagen biosynthesis and modifying enzymes	1.11E00	4.48E-02	NaN	COL17A1,COL5A3,COL7A1	
Abacavir ADME	1.11E00	4.48E-02	NaN	CDKL1,SPHK1,STK32A	
Ephrin Receptor Signaling	1.09E00	2.97E-02	NaN	EPHA10,GNA15,GNAO1,ITGA9,ITGAM,PGF	
Relaxin Signaling	1.08E00	3.21E-02	NaN	ADCY5,ADCY8,GNA15,GNAO1,PDE2A	
Interleukin-4 and Interleukin-13 signaling	1.08E00	3.6E-02	NaN	CDKN1A,HGF,ITGAM,TNFRSF1B	
Regulation of Actin-based Motility by Rho	1.08E00	3.6E-02	NaN	ITGA9,ITGAM,RND1,RND3	
α-Adrenergic Signaling	1.08E00	3.6E-02	NaN	ADCY5,ADCY8,GNA15,GNAO1	
Choline catabolism	1.07E00	1.67E-01	NaN	DMGDH	
Trehalose Degradation II (Trehalase)	1.07E00	1.67E-01	NaN	GCK	
Epithelial Adherens Junction Signaling	1.06E00	3.16E-02	NaN	HGF,NANOS1,NOTCH4,PPM1J,SFN	
O-linked glycosylation	1.06E00	3.54E-02	NaN	ADAMTS17,ADAMTS18,MUC7,SEMA5B	
Ovarian Cancer Signaling	1.05E00	3.14E-02	NaN	EDNRA,FZD8,PGF,WNT2,WNT9A	
Signaling by NOTCH2	1.05E00	5.88E-02	NaN	JAG1,MDK	
Cargo concentration in the ER	1.05E00	5.88E-02	NaN	AREG,COL7A1	
Preeclampsia Signaling Pathway	1.04E00	3.11E-02	NaN	ADORA2B,FZD8,JAG1,KCNU1,PGF	
eNOS Signaling	1.04E00	3.11E-02	NaN	ADCY5,ADCY8,CHRNA3,ESR2,PGF	
HIF1α Signaling	1.03E00	2.86E-02	NaN	CDKN1A,CYBB,GCK,HGF,MMP23B,PGF	
Cardiac Hypertrophy Signaling	1.02E00	2.68E-02	NaN	ADCY5,ADCY8,CACNA1C,GNA15,GNAO1,RND1,RND3	
Amyotrophic Lateral Sclerosis Signaling	1.02E00	3.42E-02	NaN	CACNA1C,CAPN6,CAPN8,PGF	
Epithelial-Mesenchymal Transition (EMT) during gastrulation	1E00	1.43E-01	NaN	EOMES	
Mitochondrial Uncoupling	1E00	1.43E-01	NaN	UCP2	
Arsenate Detoxification I (Glutaredoxin)	1E00	1.43E-01	NaN	PNP	
Phosphatidylcholine Biosynthesis I	1E00	1.43E-01	NaN	PCYT1B	
Ceramide Degradation	1E00	1.43E-01	NaN	ACER2	
Salvage Pathways of Pyrimidine Deoxyribonucleotides	1E00	1.43E-01	NaN	UPP1	
Extra-nuclear estrogen signaling	9.99E-01	4E-02	NaN	AREG,ESR2,SPHK1	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	9.96E-01	3.36E-02	NaN	ADCY5,ADCY8,CACNA1C,GNA15	
Plasma lipoprotein assembly, remodeling, and clearance	9.86E-01	3.95E-02	NaN	APOBR,CES3,MTTP	
Nitric Oxide Signaling in the Cardiovascular System	9.86E-01	3.33E-02	NaN	ATP2A1,CACNA1C,PDE2A,PGF	
Pre-NOTCH Expression and Processing	9.74E-01	3.9E-02	NaN	ATP2A1,H2BC13,NOTCH4	
Calcium Signaling	9.73E-01	2.75E-02	NaN	ATP2A1,ATP2B2,CACNA1C,CHRNA3,MYO18B,TRPC3	
Gαq Signaling	9.7E-01	2.96E-02	NaN	BTK,GNA15,GNAO1,RND1,RND3	
Metabolism of steroid hormones	9.64E-01	5.26E-02	NaN	CYP11A1,FDXR	
Cell Cycle Regulation by BTG Family Proteins	9.64E-01	5.26E-02	NaN	BTG2,PPM1J	
Inhibition of Matrix Metalloproteases	9.64E-01	5.26E-02	NaN	MMP23B,TFPI2	
Role of WNT/GSK-3β Signaling in the Pathogenesis of Influenza	9.61E-01	3.85E-02	NaN	FZD8,WNT2,WNT9A	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	9.57E-01	3.25E-02	NaN	BMPR1B,FZD8,WNT2,WNT9A	
Histidine catabolism	9.49E-01	1.25E-01	NaN	FTCD	
Adenine and Adenosine Salvage III	9.49E-01	1.25E-01	NaN	PNP	
Purine Ribonucleosides Degradation to Ribose-1-phosphate	9.49E-01	1.25E-01	NaN	PNP	
Synaptic Long Term Potentiation	9.48E-01	3.23E-02	NaN	ADCY8,CACNA1C,GNA15,GRM8	
L1CAM interactions	9.48E-01	3.23E-02	NaN	DCX,ITGA9,NFASC,SCN7A	
Complement System	9.45E-01	5.13E-02	NaN	CR1,ITGAM	
Thrombin Signaling	9.39E-01	2.69E-02	NaN	ADCY5,ADCY8,GNA15,GNAO1,RND1,RND3	
Class C/3 (Metabotropic glutamate/pheromone receptors)	9.27E-01	5E-02	NaN	GABBR2,GRM8	
Degradation of the extracellular matrix	9.25E-01	3.7E-02	NaN	ADAMTS18,CAPN6,CAPN8	
Androgen Signaling	9.23E-01	2.86E-02	NaN	CACNA1C,GNA15,GNAO1,H3C14,TAF7L	
Insulin Secretion Signaling Pathway	9.13E-01	2.51E-02	NaN	ADCY5,ADCY8,CACNA1C,GCK,GNA15,HCK,PRLR	
ROBO SLIT Signaling Pathway	9.11E-01	3.12E-02	NaN	CDKN1A,HCK,PGF,ROBO4	
DAG and IP3 signaling	9.09E-01	4.88E-02	NaN	ADCY5,ADCY8	
Atorvastatin ADME	9.01E-01	1.11E-01	NaN	CYP3A4	
Sphingosine and Sphingosine-1-phosphate Metabolism	9.01E-01	1.11E-01	NaN	ACER2	
Histidine Degradation III	9.01E-01	1.11E-01	NaN	FTCD	
GDP-glucose Biosynthesis	9.01E-01	1.11E-01	NaN	GCK	
Costimulation by the CD28 family	8.85E-01	3.05E-02	NaN	BTLA,CDKL1,SPHK1,STK32A	
HGF Signaling	8.85E-01	3.05E-02	NaN	CDKN1A,HGF,ITGA9,ITGAM	
Activation of NMDA receptors and postsynaptic events	8.79E-01	3.53E-02	NaN	ADCY8,ERBB4,RASGRF1	
Protein Sorting Signaling Pathway	8.79E-01	2.76E-02	NaN	ADCY5,ADCY8,ATP8A2,COL7A1,HCK	
Signaling by SCF-KIT	8.76E-01	4.65E-02	NaN	KITLG,PTPRU	
Vasopressin regulates renal water homeostasis via Aquaporins	8.76E-01	4.65E-02	NaN	ADCY5,ADCY8	
RHO GTPases Activate WASPs and WAVEs	8.76E-01	4.65E-02	NaN	HCK,WIPF3	
TP53 Regulates Transcription of Cell Death Genes	8.6E-01	4.55E-02	NaN	BCL2L14,PMAIP1	
Retinoid metabolism and transport	8.6E-01	4.55E-02	NaN	GPC3,PLB1	
