© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Transcriptional regulation by RUNX1	1.69E00	4.61E-02	NaN	CLDN5,CTSV,H2AX,H2AZ2,H2BC17,MYB,TP73	
Bladder Cancer Signaling	1.68E00	5.04E-02	NaN	E2F1,E2F2,E2F8,RBL1,RPS6KA5,SUV39H1	
Hepatitis B Chronic Liver Pathogenesis Signaling Pathway	1.68E00	4.26E-02	NaN	APOBEC3B,BUB1B,CDC20,ETV4,FOXM1,HMGB1,MAD2L1,MXD3	
p75 NTR receptor-mediated signalling	1.61E00	4.43E-02	NaN	ARHGEF39,CIT,ECT2,ITGB3BP,PLK4,RTN4R,SORCS3	
Epithelial Adherens Junction Signaling	1.61E00	4.43E-02	NaN	ECT2,KIF20A,KIF23,LEF1,NECTIN1,RACGAP1,WWC1	
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	1.54E00	8.11E-02	NaN	H2AX,H2AZ2,H2BC17	
Non-Small Cell Lung Cancer Signaling	1.53E00	5.21E-02	NaN	E2F1,E2F2,E2F8,RBL1,SUV39H1	
Regulation of TP53 Expression and Degradation	1.51E00	7.89E-02	NaN	CCNA2,CDK1,CDK2	
NoRC negatively regulates rRNA expression	1.49E00	5.97E-02	NaN	H2AX,H2AZ2,H2BC17,POLR1G	
Granzyme B Signaling	1.48E00	1.25E-01	NaN	LMNB1,LMNB2	
Asparagine Degradation I	1.45E00	5E-01	NaN	ASRGL1	
Putrescine Biosynthesis III	1.45E00	5E-01	NaN	ODC1	
Glycine Biosynthesis I	1.45E00	5E-01	NaN	SHMT1	
Metabolism of folate and pterines	1.44E00	1.18E-01	NaN	DHFR,SHMT1	
RAN Signaling	1.44E00	1.18E-01	NaN	KPNA2,RANBP1	
mRNA 3 Prime End Processing Signaling Pathway	1.43E00	4.9E-02	NaN	BARD1,BRCA1,E2F1,E2F2,E2F8	
RNA Polymerase I Transcription	1.35E00	5.41E-02	NaN	H2AX,H2AZ2,H2BC17,POLR1G	
