© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Integrin cell surface interactions	1.64E01	2.24E-01	NaN	COL18A1,COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,COL6A1,COL6A2,FBN1,FN1,ITGA10,ITGA11,ITGB8,JAM2,LUM,PECAM1,THBS1,TNC,VTN	
Extracellular matrix organization	1.33E01	1.68E-01	NaN	COL18A1,COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,COL6A1,COL6A2,DCN,FN1,LUM,SERPINE1,SPARC,TGFB2,TGFB3,TNC,VCAN,VTN	
Cohesin Chromatin Regulation Pathway	1.23E01	9.51E-02	NaN	DCHS1,H2AB3,PCDH18,PCDHA6,PCDHB10,PCDHB11,PCDHB12,PCDHB14,PCDHB16,PCDHB3,PCDHB4,PCDHB6,PCDHB7,PCDHB8,PCDHB9,PCDHGA10,PCDHGA11,PCDHGA5,PCDHGA6,PCDHGA7,PCDHGA9,PCDHGB3,PCDHGB4,PCDHGB7,PCDHGC4	
Pulmonary Fibrosis Idiopathic Signaling Pathway	1.19E01	8.28E-02	NaN	ACTC1,ACTG2,CCN4,COL18A1,COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,COL6A1,COL6A2,FN1,MAPK11,MMP11,MUC1,PDGFD,PDGFRB,PRKN,SERPINE1,SMO,SNAI1,TCF7L1,TGFB2,TGFB3,THBS1,WNT10B,WNT2B	
Elastic fibre formation	1.17E01	2.73E-01	NaN	EFEMP1,EFEMP2,EMILIN1,FBN1,FN1,ITGB8,LOXL1,LTBP1,MFAP4,TGFB2,TGFB3,VTN	
Syndecan interactions	9.81E00	3.33E-01	NaN	COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,FN1,THBS1,TNC,VTN	
Collagen biosynthesis and modifying enzymes	9.41E00	1.79E-01	NaN	COL18A1,COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,COL6A1,COL6A2,P3H3,P4HA1,PCOLCE,SERPINH1	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	8.12E00	8.85E-02	NaN	CCL5,COL18A1,COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,COL6A1,COL6A2,FN1,IGFBP4,PDGFD,PDGFRB,SERPINE1,TGFB2,TGFB3,TNFRSF11B	
Hepatic Fibrosis Signaling Pathway	8.11E00	6.01E-02	NaN	CACNA2D1,CCL5,COL1A1,COL1A2,COL3A1,ITGA10,ITGA11,ITGB8,MAPK11,OPN1SW,PDGFD,PDGFRB,PDK1,PTCH2,RHOJ,SERPINE1,SMO,SNAI1,SUCNR1,TCF7L1,TGFB2,TGFB3,TNFRSF11B,WNT10B,WNT2B	
Signaling by PDGF	7.77E00	1.72E-01	NaN	COL3A1,COL5A1,COL5A2,COL6A1,COL6A2,PDGFD,PDGFRB,STAT5A,THBS1,THBS2	
Assembly of collagen fibrils and other multimeric structures	7.55E00	1.64E-01	NaN	COL18A1,COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,COL6A1,COL6A2,LOXL1,PCOLCE	
Collagen chain trimerization	6.51E00	1.82E-01	NaN	COL18A1,COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,COL6A1,COL6A2	
Collagen degradation	6.26E00	1.41E-01	NaN	COL18A1,COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,COL6A1,COL6A2,MMP11	
Sheddase Signaling Pathway	6.18E00	7.35E-02	NaN	COL1A1,COL1A2,DDIT4,F2RL1,FN1,IGFBP4,ITGB8,MAPK11,MMP11,OPN1SW,PDGFRB,TGFB2,TGFB3,TIMP3,TMPRSS15	
Osteoarthritis Pathway	5.35E00	6.3E-02	NaN	CCN4,DCN,DDIT4,FN1,HTRA1,ITGA10,ITGA11,ITGB8,PTCH2,PTGS2,RARRES2,SMAD6,SMO,TCF7L1,TIMP3	
Response to elevated platelet cytosolic Ca2+	5.21E00	8.33E-02	NaN	FN1,GAS6,PECAM1,PROS1,RARRES2,SERPINE1,SPARC,TGFB2,TGFB3,THBS1,TIMP3	
Wound Healing Signaling Pathway	5.11E00	6.02E-02	NaN	CCL5,COL18A1,COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,COL6A1,COL6A2,FN1,PDGFD,TGFB2,TGFB3,TNFRSF11B,TNFSF10	
Bone Mineralization Signaling Pathway	4.85E00	7.64E-02	NaN	COL1A1,COL1A2,COL3A1,DBP,FGF14,SMO,STAT5A,TCF7L1,TNFRSF11B,WNT10B,WNT2B	
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by IGFBPs	4.66E00	8.06E-02	NaN	C4A,FBN1,FN1,GAS6,IGFBP4,LTBP1,MXRA8,PAPPA2,TNC,VCAN	
Complement System	4.58E00	1.54E-01	NaN	C1R,C1S,C4A,C4B,CFH,CFI	
